# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 21896287.800000004
# --> MT-AL_F127_220228_389c7d5d-ee7b-437a-a95a-09af3fe05338_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.727532e-03
  4.756484e-03    1.364384e-03
  5.055415e-03    9.851763e-04
  5.354345e-03    6.986114e-04
  5.653276e-03    5.434091e-04
  5.952206e-03    8.885830e-04
  6.251136e-03    8.084583e-04
  6.550067e-03    6.973789e-04
  6.848997e-03    5.899824e-04
  7.147927e-03    4.981186e-04
  7.446858e-03    4.251795e-04
  7.745788e-03    3.644312e-04
  8.044719e-03    3.143147e-04
  8.343649e-03    2.743380e-04
  8.642579e-03    2.398124e-04
  8.941510e-03    2.110222e-04
  9.240440e-03    1.871117e-04
  9.539371e-03    1.660011e-04
  9.838301e-03    1.478760e-04
  1.013723e-02    1.329328e-04
  1.043616e-02    1.196405e-04
  1.073509e-02    1.074603e-04
  1.103402e-02    9.735056e-05
  1.133295e-02    8.848061e-05
  1.163188e-02    8.071691e-05
  1.193081e-02    7.376751e-05
  1.222974e-02    6.758269e-05
  1.252867e-02    6.222659e-05
  1.282760e-02    5.725116e-05
  1.312654e-02    5.285645e-05
  1.342547e-02    4.898109e-05
  1.372440e-02    4.551887e-05
  1.402333e-02    4.240123e-05
  1.432226e-02    3.930827e-05
  1.462119e-02    3.662696e-05
  1.492012e-02    3.427975e-05
  1.521905e-02    3.213350e-05
  1.551798e-02    3.031480e-05
  1.581691e-02    2.840778e-05
  1.611584e-02    2.675616e-05
  1.641477e-02    2.529976e-05
  1.671370e-02    2.392463e-05
  1.701263e-02    2.268612e-05
  1.731156e-02    2.159756e-05
  1.761049e-02    2.045612e-05
  1.790942e-02    1.941833e-05
  1.820835e-02    1.855099e-05
  1.850728e-02    1.767290e-05
  1.880621e-02    1.687006e-05
  1.910514e-02    1.609936e-05
  1.940407e-02    1.541321e-05
  1.970300e-02    1.485962e-05
  2.000193e-02    1.430710e-05
  2.030086e-02    1.382551e-05
  2.059979e-02    1.337061e-05
  2.089873e-02    1.291457e-05
  2.119766e-02    1.248976e-05
  2.149659e-02    1.209734e-05
  2.179552e-02    1.170770e-05
  2.209445e-02    1.136359e-05
  2.239338e-02    1.102450e-05
  2.269231e-02    1.070858e-05
  2.299124e-02    1.041823e-05
  2.329017e-02    1.013610e-05
  2.358910e-02    9.849677e-06
  2.388803e-02    9.642024e-06
  2.418696e-02    9.393975e-06
  2.448589e-02    9.232675e-06
  2.478482e-02    9.025710e-06
  2.508375e-02    8.815091e-06
  2.538268e-02    8.684503e-06
  2.568161e-02    8.489440e-06
  2.598054e-02    8.305326e-06
  2.627947e-02    8.180938e-06
  2.657840e-02    8.045020e-06
  2.687733e-02    7.932898e-06
  2.717626e-02    7.799816e-06
  2.747519e-02    7.714881e-06
  2.777412e-02    7.555504e-06
  2.807305e-02    7.434891e-06
  2.837198e-02    7.386939e-06
  2.867092e-02    7.331368e-06
  2.896985e-02    7.210551e-06
  2.926878e-02    7.094620e-06
  2.956771e-02    6.992935e-06
  2.986664e-02    6.892692e-06
  3.016557e-02    6.844058e-06
  3.046450e-02    6.782274e-06
  3.076343e-02    6.701236e-06
  3.106236e-02    6.621766e-06
  3.136129e-02    6.554444e-06
  3.166022e-02    6.503672e-06
  3.195915e-02    6.435711e-06
  3.225808e-02    6.384910e-06
  3.255701e-02    6.344724e-06
  3.285594e-02    6.288328e-06
  3.315487e-02    6.231816e-06
  3.345380e-02    6.175523e-06
  3.375273e-02    6.093444e-06
  3.405166e-02    6.030703e-06
  3.435059e-02    5.994720e-06
  3.464952e-02    5.904238e-06
  3.494845e-02    5.886810e-06
  3.524738e-02    5.863681e-06
  3.554631e-02    5.790717e-06
  3.584524e-02    5.746433e-06
  3.614417e-02    5.688471e-06
  3.644310e-02    5.664519e-06
  3.674204e-02    5.609766e-06
