# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 11038970.200000001
# --> MT-AL_F127_220228_3e7741a7-c79f-41cb-b0fd-baab8bb09ff7_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.417100e-03
  4.756484e-03    1.104520e-03
  5.055415e-03    7.807916e-04
  5.354345e-03    5.392788e-04
  5.653276e-03    4.095667e-04
  5.952206e-03    6.523224e-04
  6.251136e-03    5.954073e-04
  6.550067e-03    5.195749e-04
  6.848997e-03    4.435687e-04
  7.147927e-03    3.765069e-04
  7.446858e-03    3.212760e-04
  7.745788e-03    2.752640e-04
  8.044719e-03    2.370895e-04
  8.343649e-03    2.066997e-04
  8.642579e-03    1.809486e-04
  8.941510e-03    1.594418e-04
  9.240440e-03    1.411150e-04
  9.539371e-03    1.256817e-04
  9.838301e-03    1.120549e-04
  1.013723e-02    9.995155e-05
  1.043616e-02    8.991495e-05
  1.073509e-02    8.108814e-05
  1.103402e-02    7.334782e-05
  1.133295e-02    6.652845e-05
  1.163188e-02    6.067619e-05
  1.193081e-02    5.551570e-05
  1.222974e-02    5.099368e-05
  1.252867e-02    4.675424e-05
  1.282760e-02    4.295047e-05
  1.312654e-02    3.961855e-05
  1.342547e-02    3.660413e-05
  1.372440e-02    3.400894e-05
  1.402333e-02    3.163124e-05
  1.432226e-02    2.942542e-05
  1.462119e-02    2.741002e-05
  1.492012e-02    2.570339e-05
  1.521905e-02    2.409637e-05
  1.551798e-02    2.265435e-05
  1.581691e-02    2.127984e-05
  1.611584e-02    2.010009e-05
  1.641477e-02    1.903285e-05
  1.671370e-02    1.784604e-05
  1.701263e-02    1.684239e-05
  1.731156e-02    1.600849e-05
  1.761049e-02    1.515487e-05
  1.790942e-02    1.440105e-05
  1.820835e-02    1.374799e-05
  1.850728e-02    1.321440e-05
  1.880621e-02    1.268545e-05
  1.910514e-02    1.213369e-05
  1.940407e-02    1.157211e-05
  1.970300e-02    1.112362e-05
  2.000193e-02    1.070399e-05
  2.030086e-02    1.033227e-05
  2.059979e-02    9.983332e-06
  2.089873e-02    9.583706e-06
  2.119766e-02    9.281820e-06
  2.149659e-02    9.042338e-06
  2.179552e-02    8.722338e-06
  2.209445e-02    8.396451e-06
  2.239338e-02    8.210843e-06
  2.269231e-02    8.059848e-06
  2.299124e-02    7.850508e-06
  2.329017e-02    7.592275e-06
  2.358910e-02    7.357550e-06
  2.388803e-02    7.197594e-06
  2.418696e-02    7.039077e-06
  2.448589e-02    6.908102e-06
  2.478482e-02    6.748486e-06
  2.508375e-02    6.637075e-06
  2.538268e-02    6.477602e-06
  2.568161e-02    6.334268e-06
  2.598054e-02    6.205824e-06
  2.627947e-02    6.091296e-06
  2.657840e-02    6.031588e-06
  2.687733e-02    5.976046e-06
  2.717626e-02    5.912845e-06
  2.747519e-02    5.816083e-06
  2.777412e-02    5.661632e-06
  2.807305e-02    5.580162e-06
  2.837198e-02    5.526289e-06
  2.867092e-02    5.474197e-06
  2.896985e-02    5.408864e-06
  2.926878e-02    5.345624e-06
  2.956771e-02    5.264462e-06
  2.986664e-02    5.206925e-06
  3.016557e-02    5.179266e-06
  3.046450e-02    5.130711e-06
  3.076343e-02    5.054601e-06
  3.106236e-02    5.011564e-06
  3.136129e-02    5.022139e-06
  3.166022e-02    4.937987e-06
  3.195915e-02    4.897402e-06
  3.225808e-02    4.857257e-06
  3.255701e-02    4.797098e-06
  3.285594e-02    4.736884e-06
  3.315487e-02    4.683759e-06
  3.345380e-02    4.675673e-06
  3.375273e-02    4.603929e-06
  3.405166e-02    4.529647e-06
  3.435059e-02    4.466792e-06
  3.464952e-02    4.422416e-06
  3.494845e-02    4.386664e-06
  3.524738e-02    4.380095e-06
  3.554631e-02    4.336672e-06
  3.584524e-02    4.315893e-06
  3.614417e-02    4.289684e-06
  3.644310e-02    4.277810e-06
  3.674204e-02    4.198627e-06
  3.704097e-02    4.134861e-06
  3.733990e-02    4.098188e-06
  3.763883e-02    4.062023e-06
  3.793776e-02    4.056823e-06
  3.823669e-02    4.006572e-06
  3.853562e-02    3.989467e-06
  3.883455e-02    3.962130e-06
  3.913348e-02    3.930425e-06
  3.943241e-02    3.905799e-06
  3.973134e-02    3.883279e-06
  4.003027e-02    3.824066e-06
  4.032920e-02    3.832048e-06
  4.062813e-02    3.831962e-06
  4.092706e-02    3.802154e-06
  4.122599e-02    3.787663e-06
  4.152492e-02    3.751625e-06
  4.182385e-02    3.734258e-06
  4.212278e-02    3.696078e-06
  4.242171e-02    3.697591e-06
  4.272064e-02    3.733252e-06
  4.301957e-02    3.721210e-06
  4.331850e-02    3.675510e-06
  4.361743e-02    3.653040e-06
  4.391636e-02    3.631624e-06
  4.421529e-02    3.633815e-06
  4.451423e-02    3.649118e-06
  4.481316e-02    3.626849e-06
  4.511209e-02    3.613316e-06
  4.541102e-02    3.620511e-06
  4.570995e-02    3.628966e-06
  4.600888e-02    3.620744e-06
  4.630781e-02    3.573983e-06
  4.660674e-02    3.577445e-06
  4.690567e-02    3.565783e-06
  4.720460e-02    3.587370e-06
  4.750353e-02    3.597499e-06
  4.780246e-02    3.588985e-06
  4.810139e-02    3.569087e-06
  4.840032e-02    3.547429e-06
  4.869925e-02    3.549016e-06
  4.899818e-02    3.578965e-06
  4.929711e-02    3.580540e-06
  4.959604e-02    3.572321e-06
  4.989497e-02    3.568510e-06
  5.019390e-02    3.562995e-06
  5.049283e-02    3.533278e-06
  5.079176e-02    3.539189e-06
  5.109069e-02    3.568980e-06
  5.138962e-02    3.610508e-06
  5.168855e-02    3.676583e-06
  5.198748e-02    3.745851e-06
  5.228642e-02    3.741872e-06
  5.258535e-02    3.581151e-06
  5.288428e-02    3.543399e-06
  5.318321e-02    3.546245e-06
  5.348214e-02    3.538947e-06
  5.378107e-02    3.523181e-06
  5.408000e-02    3.521544e-06
  5.437893e-02    3.520444e-06
  5.467786e-02    3.505386e-06
  5.497679e-02    3.485211e-06
  5.527572e-02    3.521325e-06
  5.557465e-02    3.518907e-06
  5.587358e-02    3.488364e-06
  5.617251e-02    3.499651e-06
  5.647144e-02    3.517969e-06
  5.677037e-02    3.520844e-06
  5.706930e-02    3.514452e-06
  5.736823e-02    3.505218e-06
  5.766716e-02    3.527409e-06
  5.796609e-02    3.504610e-06
  5.826502e-02    3.513861e-06
  5.856395e-02    3.550178e-06
  5.886288e-02    3.547945e-06
  5.916181e-02    3.552478e-06
  5.946074e-02    3.562263e-06
  5.975967e-02    3.545299e-06
  6.005861e-02    3.541145e-06
  6.035754e-02    3.558431e-06
  6.065647e-02    3.580310e-06
  6.095540e-02    3.625121e-06
  6.125433e-02    3.670623e-06
  6.155326e-02    3.687652e-06
  6.185219e-02    3.627477e-06
  6.215112e-02    3.595222e-06
  6.245005e-02    3.599393e-06
  6.274898e-02    3.572630e-06
  6.304791e-02    3.572952e-06
  6.334684e-02    3.592513e-06
  6.364577e-02    3.602518e-06
  6.394470e-02    3.619123e-06
  6.424363e-02    3.606198e-06
  6.454256e-02    3.605527e-06
  6.484149e-02    3.614497e-06
  6.514042e-02    3.621038e-06
  6.543935e-02    3.632877e-06
  6.573828e-02    3.621014e-06
  6.603721e-02    3.625594e-06
  6.633614e-02    3.644079e-06
  6.663507e-02    3.654112e-06
  6.693400e-02    3.659544e-06
  6.723293e-02    3.674333e-06
  6.753186e-02    3.677766e-06
  6.783080e-02    3.683788e-06
  6.812973e-02    3.691359e-06
  6.842866e-02    3.666665e-06
  6.872759e-02    3.659619e-06
  6.902652e-02    3.655247e-06
  6.932545e-02    3.668648e-06
  6.962438e-02    3.684426e-06
  6.992331e-02    3.701117e-06
  7.022224e-02    3.707945e-06
  7.052117e-02    3.702688e-06
  7.082010e-02    3.707782e-06
  7.111903e-02    3.723556e-06
  7.141796e-02    3.729736e-06
  7.171689e-02    3.717259e-06
  7.201582e-02    3.745353e-06
  7.231475e-02    3.747849e-06
  7.261368e-02    3.721890e-06
  7.291261e-02    3.743007e-06
  7.321154e-02    3.763931e-06
  7.351047e-02    3.759656e-06
  7.380940e-02    3.771953e-06
  7.410833e-02    3.762035e-06
  7.440726e-02    3.759448e-06
  7.470619e-02    3.747993e-06
  7.500512e-02    3.718333e-06
  7.530405e-02    3.719180e-06
  7.560299e-02    3.711749e-06
  7.590192e-02    3.727007e-06
  7.620085e-02    3.739003e-06
  7.649978e-02    3.739033e-06
  7.679871e-02    3.722271e-06
  7.709764e-02    3.730875e-06
  7.739657e-02    3.728286e-06
  7.769550e-02    3.711346e-06
  7.799443e-02    3.714167e-06
  7.829336e-02    3.738892e-06
  7.859229e-02    3.740677e-06
  7.889122e-02    3.723824e-06
  7.919015e-02    3.717305e-06
  7.948908e-02    3.713527e-06
  7.978801e-02    3.710556e-06
  8.008694e-02    3.686227e-06
