# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1685480.8
# --> MT-AL_F127_220228_5c1f9d38-08e0-46a3-8c09-77c72ffb2929_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    7.513139e-03
  4.756484e-03    5.855575e-03
  5.055415e-03    4.120358e-03
  5.354345e-03    2.856352e-03
  5.653276e-03    2.155015e-03
  5.952206e-03    3.417593e-03
  6.251136e-03    3.129756e-03
  6.550067e-03    2.729292e-03
  6.848997e-03    2.334591e-03
  7.147927e-03    1.976035e-03
  7.446858e-03    1.686234e-03
  7.745788e-03    1.444864e-03
  8.044719e-03    1.243980e-03
  8.343649e-03    1.089053e-03
  8.642579e-03    9.518728e-04
  8.941510e-03    8.361136e-04
  9.240440e-03    7.388209e-04
  9.539371e-03    6.563924e-04
  9.838301e-03    5.880671e-04
  1.013723e-02    5.243077e-04
  1.043616e-02    4.724056e-04
  1.073509e-02    4.249532e-04
  1.103402e-02    3.848862e-04
  1.133295e-02    3.487276e-04
  1.163188e-02    3.181307e-04
  1.193081e-02    2.906896e-04
  1.222974e-02    2.663010e-04
  1.252867e-02    2.447599e-04
  1.282760e-02    2.245307e-04
  1.312654e-02    2.068537e-04
  1.342547e-02    1.913890e-04
  1.372440e-02    1.780140e-04
  1.402333e-02    1.655427e-04
  1.432226e-02    1.539294e-04
  1.462119e-02    1.433464e-04
  1.492012e-02    1.336638e-04
  1.521905e-02    1.244656e-04
  1.551798e-02    1.174256e-04
  1.581691e-02    1.108366e-04
  1.611584e-02    1.037896e-04
  1.641477e-02    9.735435e-05
  1.671370e-02    9.210033e-05
  1.701263e-02    8.787357e-05
  1.731156e-02    8.249977e-05
  1.761049e-02    7.803401e-05
  1.790942e-02    7.464959e-05
  1.820835e-02    7.140044e-05
  1.850728e-02    6.850906e-05
  1.880621e-02    6.572776e-05
  1.910514e-02    6.274454e-05
  1.940407e-02    5.996510e-05
  1.970300e-02    5.746169e-05
  2.000193e-02    5.537455e-05
  2.030086e-02    5.333012e-05
  2.059979e-02    5.140271e-05
  2.089873e-02    5.005574e-05
  2.119766e-02    4.833654e-05
  2.149659e-02    4.663067e-05
  2.179552e-02    4.527703e-05
  2.209445e-02    4.378554e-05
  2.239338e-02    4.277593e-05
  2.269231e-02    4.128786e-05
  2.299124e-02    4.026228e-05
  2.329017e-02    3.913129e-05
  2.358910e-02    3.840028e-05
  2.388803e-02    3.748800e-05
  2.418696e-02    3.636570e-05
  2.448589e-02    3.531855e-05
  2.478482e-02    3.485442e-05
  2.508375e-02    3.462793e-05
  2.538268e-02    3.410875e-05
  2.568161e-02    3.305483e-05
  2.598054e-02    3.243824e-05
  2.627947e-02    3.206938e-05
  2.657840e-02    3.172916e-05
  2.687733e-02    3.122772e-05
  2.717626e-02    3.050385e-05
  2.747519e-02    3.003934e-05
  2.777412e-02    2.972968e-05
  2.807305e-02    2.930782e-05
  2.837198e-02    2.894297e-05
  2.867092e-02    2.865871e-05
  2.896985e-02    2.822295e-05
  2.926878e-02    2.785795e-05
  2.956771e-02    2.769845e-05
  2.986664e-02    2.733522e-05
  3.016557e-02    2.685475e-05
  3.046450e-02    2.653078e-05
  3.076343e-02    2.635972e-05
  3.106236e-02    2.599705e-05
  3.136129e-02    2.567659e-05
  3.166022e-02    2.558143e-05
  3.195915e-02    2.536472e-05
  3.225808e-02    2.507126e-05
  3.255701e-02    2.461799e-05
  3.285594e-02    2.434697e-05
  3.315487e-02    2.412245e-05
  3.345380e-02    2.415184e-05
  3.375273e-02    2.388561e-05
  3.405166e-02    2.363736e-05
  3.435059e-02    2.343649e-05
  3.464952e-02    2.313322e-05
  3.494845e-02    2.293734e-05
  3.524738e-02    2.261398e-05
  3.554631e-02    2.243724e-05
  3.584524e-02    2.218963e-05
  3.614417e-02    2.189106e-05
  3.644310e-02    2.167214e-05
  3.674204e-02    2.149589e-05
  3.704097e-02    2.133177e-05
  3.733990e-02    2.137269e-05
  3.763883e-02    2.131063e-05
  3.793776e-02    2.111218e-05
  3.823669e-02    2.101910e-05
  3.853562e-02    2.068463e-05
  3.883455e-02    2.051185e-05
  3.913348e-02    2.033265e-05
  3.943241e-02    2.019660e-05
  3.973134e-02    2.018091e-05
  4.003027e-02    2.003160e-05
  4.032920e-02    1.991416e-05
  4.062813e-02    1.981289e-05
  4.092706e-02    1.962563e-05
  4.122599e-02    1.958043e-05
  4.152492e-02    1.935872e-05
  4.182385e-02    1.915612e-05
  4.212278e-02    1.913314e-05
  4.242171e-02    1.914956e-05
  4.272064e-02    1.917491e-05
  4.301957e-02    1.921824e-05
  4.331850e-02    1.906839e-05
  4.361743e-02    1.891534e-05
  4.391636e-02    1.886186e-05
  4.421529e-02    1.872164e-05
  4.451423e-02    1.893356e-05
  4.481316e-02    1.905254e-05
