# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 19892847.8
# --> MT-AL_F127_220228_63013fcc-ebcf-47c3-926f-4ef1131094bf_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.524889e-03
  4.756484e-03    2.029498e-03
  5.055415e-03    1.504859e-03
  5.354345e-03    1.099470e-03
  5.653276e-03    8.772872e-04
  5.952206e-03    1.413127e-03
  6.251136e-03    1.274883e-03
  6.550067e-03    1.090948e-03
  6.848997e-03    9.189106e-04
  7.147927e-03    7.757406e-04
  7.446858e-03    6.636399e-04
  7.745788e-03    5.702769e-04
  8.044719e-03    4.927512e-04
  8.343649e-03    4.310291e-04
  8.642579e-03    3.783283e-04
  8.941510e-03    3.340402e-04
  9.240440e-03    2.961002e-04
  9.539371e-03    2.630068e-04
  9.838301e-03    2.347913e-04
  1.013723e-02    2.106379e-04
  1.043616e-02    1.896128e-04
  1.073509e-02    1.706878e-04
  1.103402e-02    1.550055e-04
  1.133295e-02    1.408330e-04
  1.163188e-02    1.282761e-04
  1.193081e-02    1.172054e-04
  1.222974e-02    1.073435e-04
  1.252867e-02    9.872180e-05
  1.282760e-02    9.078014e-05
  1.312654e-02    8.361709e-05
  1.342547e-02    7.719770e-05
  1.372440e-02    7.160418e-05
  1.402333e-02    6.648444e-05
  1.432226e-02    6.177957e-05
  1.462119e-02    5.765669e-05
  1.492012e-02    5.400197e-05
  1.521905e-02    5.049987e-05
  1.551798e-02    4.735856e-05
  1.581691e-02    4.443928e-05
  1.611584e-02    4.179021e-05
  1.641477e-02    3.940432e-05
  1.671370e-02    3.727547e-05
  1.701263e-02    3.524043e-05
  1.731156e-02    3.327866e-05
  1.761049e-02    3.156681e-05
  1.790942e-02    3.006186e-05
  1.820835e-02    2.867835e-05
  1.850728e-02    2.731816e-05
  1.880621e-02    2.609924e-05
  1.910514e-02    2.502854e-05
  1.940407e-02    2.400327e-05
  1.970300e-02    2.301400e-05
  2.000193e-02    2.214682e-05
  2.030086e-02    2.127674e-05
  2.059979e-02    2.048708e-05
  2.089873e-02    1.974549e-05
  2.119766e-02    1.908518e-05
  2.149659e-02    1.854634e-05
  2.179552e-02    1.788522e-05
  2.209445e-02    1.728540e-05
  2.239338e-02    1.680894e-05
  2.269231e-02    1.631369e-05
  2.299124e-02    1.587677e-05
  2.329017e-02    1.539536e-05
  2.358910e-02    1.501165e-05
  2.388803e-02    1.459309e-05
  2.418696e-02    1.421634e-05
  2.448589e-02    1.388942e-05
  2.478482e-02    1.357715e-05
  2.508375e-02    1.332895e-05
  2.538268e-02    1.305769e-05
  2.568161e-02    1.277385e-05
  2.598054e-02    1.251985e-05
  2.627947e-02    1.228718e-05
  2.657840e-02    1.208855e-05
  2.687733e-02    1.188122e-05
  2.717626e-02    1.167293e-05
  2.747519e-02    1.147687e-05
  2.777412e-02    1.130944e-05
  2.807305e-02    1.114500e-05
  2.837198e-02    1.094904e-05
  2.867092e-02    1.079774e-05
  2.896985e-02    1.066081e-05
  2.926878e-02    1.052441e-05
  2.956771e-02    1.040200e-05
  2.986664e-02    1.021323e-05
  3.016557e-02    1.007719e-05
  3.046450e-02    1.000027e-05
  3.076343e-02    9.920312e-06
  3.106236e-02    9.796214e-06
  3.136129e-02    9.673653e-06
  3.166022e-02    9.610760e-06
  3.195915e-02    9.535244e-06
  3.225808e-02    9.417664e-06
  3.255701e-02    9.336949e-06
  3.285594e-02    9.239872e-06
  3.315487e-02    9.177243e-06
  3.345380e-02    9.079446e-06
  3.375273e-02    9.012349e-06
  3.405166e-02    8.949703e-06
  3.435059e-02    8.858275e-06
  3.464952e-02    8.764935e-06
  3.494845e-02    8.685593e-06
  3.524738e-02    8.599646e-06
  3.554631e-02    8.514303e-06
  3.584524e-02    8.502098e-06
  3.614417e-02    8.447030e-06
  3.644310e-02    8.385369e-06
  3.674204e-02    8.299841e-06
  3.704097e-02    8.225666e-06
  3.733990e-02    8.160027e-06
  3.763883e-02    8.103758e-06
  3.793776e-02    8.053396e-06
  3.823669e-02    7.997040e-06
  3.853562e-02    7.973333e-06
  3.883455e-02    7.917401e-06
  3.913348e-02    7.880835e-06
  3.943241e-02    7.843075e-06
  3.973134e-02    7.811058e-06
  4.003027e-02    7.749047e-06
  4.032920e-02    7.713962e-06
  4.062813e-02    7.698899e-06
  4.092706e-02    7.632896e-06
  4.122599e-02    7.558518e-06
  4.152492e-02    7.588020e-06
  4.182385e-02    7.581927e-06
  4.212278e-02    7.516950e-06
  4.242171e-02    7.502885e-06
  4.272064e-02    7.484327e-06
  4.301957e-02    7.449768e-06
  4.331850e-02    7.436548e-06
  4.361743e-02    7.394693e-06
  4.391636e-02    7.372070e-06
  4.421529e-02    7.374359e-06
  4.451423e-02    7.366769e-06
  4.481316e-02    7.355236e-06
  4.511209e-02    7.328889e-06
  4.541102e-02    7.322647e-06
  4.570995e-02    7.323538e-06
  4.600888e-02    7.327825e-06
  4.630781e-02    7.308451e-06
  4.660674e-02    7.297428e-06
  4.690567e-02    7.293288e-06
  4.720460e-02    7.284639e-06
  4.750353e-02    7.288797e-06
  4.780246e-02    7.292225e-06
  4.810139e-02    7.279719e-06
  4.840032e-02    7.260562e-06
  4.869925e-02    7.272567e-06
  4.899818e-02    7.282816e-06
  4.929711e-02    7.270014e-06
  4.959604e-02    7.239092e-06
  4.989497e-02    7.233168e-06
  5.019390e-02    7.244553e-06
  5.049283e-02    7.237023e-06
  5.079176e-02    7.233851e-06
  5.109069e-02    7.249329e-06
  5.138962e-02    7.286344e-06
  5.168855e-02    7.384262e-06
  5.198748e-02    7.450200e-06
  5.228642e-02    7.394751e-06
  5.258535e-02    7.271970e-06
  5.288428e-02    7.225359e-06
  5.318321e-02    7.231331e-06
  5.348214e-02    7.227380e-06
  5.378107e-02    7.216833e-06
  5.408000e-02    7.216906e-06
  5.437893e-02    7.213800e-06
  5.467786e-02    7.232153e-06
  5.497679e-02    7.246565e-06
  5.527572e-02    7.236750e-06
  5.557465e-02    7.265041e-06
  5.587358e-02    7.255810e-06
  5.617251e-02    7.246563e-06
  5.647144e-02    7.259672e-06
  5.677037e-02    7.288027e-06
  5.706930e-02    7.297546e-06
  5.736823e-02    7.302189e-06
  5.766716e-02    7.306246e-06
  5.796609e-02    7.319901e-06
  5.826502e-02    7.304103e-06
  5.856395e-02    7.323744e-06
  5.886288e-02    7.327282e-06
  5.916181e-02    7.335239e-06
  5.946074e-02    7.352979e-06
  5.975967e-02    7.367092e-06
  6.005861e-02    7.394138e-06
  6.035754e-02    7.432415e-06
  6.065647e-02    7.425094e-06
  6.095540e-02    7.462536e-06
  6.125433e-02    7.507336e-06
  6.155326e-02    7.527997e-06
  6.185219e-02    7.489056e-06
  6.215112e-02    7.472790e-06
  6.245005e-02    7.454091e-06
  6.274898e-02    7.457790e-06
  6.304791e-02    7.465956e-06
  6.334684e-02    7.477251e-06
  6.364577e-02    7.498012e-06
  6.394470e-02    7.495801e-06
  6.424363e-02    7.517362e-06
  6.454256e-02    7.543076e-06
  6.484149e-02    7.537761e-06
  6.514042e-02    7.541054e-06
  6.543935e-02    7.548670e-06
  6.573828e-02    7.553926e-06
  6.603721e-02    7.570182e-06
  6.633614e-02    7.619023e-06
  6.663507e-02    7.593988e-06
  6.693400e-02    7.591817e-06
  6.723293e-02    7.590520e-06
  6.753186e-02    7.600449e-06
  6.783080e-02    7.628099e-06
  6.812973e-02    7.662761e-06
  6.842866e-02    7.668082e-06
  6.872759e-02    7.689979e-06
  6.902652e-02    7.679752e-06
  6.932545e-02    7.686588e-06
  6.962438e-02    7.675319e-06
  6.992331e-02    7.699422e-06
  7.022224e-02    7.715897e-06
  7.052117e-02    7.757253e-06
  7.082010e-02    7.751418e-06
  7.111903e-02    7.741630e-06
  7.141796e-02    7.738607e-06
  7.171689e-02    7.759746e-06
  7.201582e-02    7.772004e-06
  7.231475e-02    7.777156e-06
  7.261368e-02    7.800161e-06
  7.291261e-02    7.793416e-06
  7.321154e-02    7.780936e-06
  7.351047e-02    7.799605e-06
  7.380940e-02    7.794753e-06
  7.410833e-02    7.812273e-06
  7.440726e-02    7.807386e-06
  7.470619e-02    7.819373e-06
  7.500512e-02    7.816164e-06
  7.530405e-02    7.816060e-06
  7.560299e-02    7.807736e-06
  7.590192e-02    7.825935e-06
  7.620085e-02    7.829091e-06
  7.649978e-02    7.836437e-06
  7.679871e-02    7.827263e-06
  7.709764e-02    7.829717e-06
  7.739657e-02    7.835047e-06
  7.769550e-02    7.809609e-06
  7.799443e-02    7.815653e-06
  7.829336e-02    7.825773e-06
  7.859229e-02    7.817870e-06
  7.889122e-02    7.804960e-06
  7.919015e-02    7.783354e-06
  7.948908e-02    7.778244e-06
  7.978801e-02    7.797070e-06
  8.008694e-02    7.798963e-06
  8.038587e-02    7.799636e-06
  8.068480e-02    7.780818e-06
  8.098373e-02    7.781302e-06
  8.128266e-02    7.783873e-06
  8.158159e-02    7.774431e-06
  8.188052e-02    7.762936e-06
  8.217945e-02    7.753742e-06
  8.247838e-02    7.765484e-06
  8.277731e-02    7.762106e-06
  8.307624e-02    7.744749e-06
  8.337518e-02    7.734940e-06
  8.367411e-02    7.740318e-06
  8.397304e-02    7.716401e-06
  8.427197e-02    7.696662e-06
  8.457090e-02    7.687551e-06
  8.486983e-02    7.691877e-06
  8.516876e-02    7.694773e-06
  8.546769e-02    7.683851e-06
  8.576662e-02    7.674387e-06
  8.606555e-02    7.654252e-06
  8.636448e-02    7.626763e-06
  8.666341e-02    7.622168e-06
  8.696234e-02    7.620837e-06
  8.726127e-02    7.609824e-06
  8.756020e-02    7.602195e-06
