# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 16851000.200000003
# --> MT-AL_F127_220228_7f9b315c-bebb-449c-bfd0-b81f87a03254_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.468295e-03
  4.756484e-03    1.145723e-03
  5.055415e-03    8.120630e-04
  5.354345e-03    5.649616e-04
  5.653276e-03    4.296531e-04
  5.952206e-03    6.861304e-04
  6.251136e-03    6.269588e-04
  6.550067e-03    5.447021e-04
  6.848997e-03    4.642584e-04
  7.147927e-03    3.926320e-04
  7.446858e-03    3.351643e-04
  7.745788e-03    2.871965e-04
  8.044719e-03    2.476177e-04
  8.343649e-03    2.161961e-04
  8.642579e-03    1.891868e-04
  8.941510e-03    1.662552e-04
  9.240440e-03    1.472570e-04
  9.539371e-03    1.313429e-04
  9.838301e-03    1.171447e-04
  1.013723e-02    1.048409e-04
  1.043616e-02    9.421303e-05
  1.073509e-02    8.456486e-05
  1.103402e-02    7.676165e-05
  1.133295e-02    6.973958e-05
  1.163188e-02    6.344563e-05
  1.193081e-02    5.788186e-05
  1.222974e-02    5.309254e-05
  1.252867e-02    4.872031e-05
  1.282760e-02    4.482392e-05
  1.312654e-02    4.149372e-05
  1.342547e-02    3.833959e-05
  1.372440e-02    3.557083e-05
  1.402333e-02    3.306141e-05
  1.432226e-02    3.076073e-05
  1.462119e-02    2.869058e-05
  1.492012e-02    2.685489e-05
  1.521905e-02    2.518611e-05
  1.551798e-02    2.353010e-05
  1.581691e-02    2.208684e-05
  1.611584e-02    2.087641e-05
  1.641477e-02    1.972842e-05
  1.671370e-02    1.861824e-05
  1.701263e-02    1.761384e-05
  1.731156e-02    1.666934e-05
  1.761049e-02    1.587466e-05
  1.790942e-02    1.511871e-05
  1.820835e-02    1.437588e-05
  1.850728e-02    1.370795e-05
  1.880621e-02    1.317230e-05
  1.910514e-02    1.264844e-05
  1.940407e-02    1.214119e-05
  1.970300e-02    1.169279e-05
  2.000193e-02    1.118215e-05
  2.030086e-02    1.075935e-05
  2.059979e-02    1.041816e-05
  2.089873e-02    1.006455e-05
  2.119766e-02    9.746946e-06
  2.149659e-02    9.438481e-06
  2.179552e-02    9.144840e-06
  2.209445e-02    8.823516e-06
  2.239338e-02    8.574754e-06
  2.269231e-02    8.324629e-06
  2.299124e-02    8.073352e-06
  2.329017e-02    7.903928e-06
  2.358910e-02    7.725850e-06
  2.388803e-02    7.536758e-06
  2.418696e-02    7.358045e-06
  2.448589e-02    7.199489e-06
  2.478482e-02    7.061511e-06
  2.508375e-02    6.900278e-06
  2.538268e-02    6.768169e-06
  2.568161e-02    6.660335e-06
  2.598054e-02    6.504948e-06
  2.627947e-02    6.407573e-06
  2.657840e-02    6.300369e-06
  2.687733e-02    6.190819e-06
  2.717626e-02    6.108309e-06
  2.747519e-02    6.015094e-06
  2.777412e-02    5.932925e-06
  2.807305e-02    5.854322e-06
  2.837198e-02    5.785723e-06
  2.867092e-02    5.725958e-06
  2.896985e-02    5.661781e-06
  2.926878e-02    5.585882e-06
  2.956771e-02    5.494924e-06
  2.986664e-02    5.439576e-06
  3.016557e-02    5.387820e-06
  3.046450e-02    5.289427e-06
  3.076343e-02    5.237435e-06
  3.106236e-02    5.245120e-06
  3.136129e-02    5.175477e-06
  3.166022e-02    5.115020e-06
  3.195915e-02    5.078005e-06
  3.225808e-02    4.992555e-06
  3.255701e-02    4.946181e-06
  3.285594e-02    4.941754e-06
  3.315487e-02    4.865331e-06
  3.345380e-02    4.844470e-06
  3.375273e-02    4.783305e-06
  3.405166e-02    4.729027e-06
  3.435059e-02    4.687886e-06
  3.464952e-02    4.639980e-06
  3.494845e-02    4.600990e-06
  3.524738e-02    4.563962e-06
  3.554631e-02    4.511100e-06
  3.584524e-02    4.489423e-06
  3.614417e-02    4.442932e-06
  3.644310e-02    4.386311e-06
  3.674204e-02    4.373291e-06
  3.704097e-02    4.355782e-06
  3.733990e-02    4.324399e-06
  3.763883e-02    4.281308e-06
  3.793776e-02    4.270333e-06
  3.823669e-02    4.224511e-06
  3.853562e-02    4.184534e-06
  3.883455e-02    4.156346e-06
  3.913348e-02    4.098981e-06
  3.943241e-02    4.106457e-06
  3.973134e-02    4.092631e-06
  4.003027e-02    4.025103e-06
  4.032920e-02    4.025896e-06
  4.062813e-02    4.033594e-06
  4.092706e-02    4.000203e-06
  4.122599e-02    3.989011e-06
  4.152492e-02    3.964254e-06
  4.182385e-02    3.946373e-06
  4.212278e-02    3.924489e-06
  4.242171e-02    3.874780e-06
  4.272064e-02    3.884396e-06
  4.301957e-02    3.886290e-06
  4.331850e-02    3.882910e-06
  4.361743e-02    3.873486e-06
  4.391636e-02    3.851182e-06
  4.421529e-02    3.853073e-06
  4.451423e-02    3.830597e-06
  4.481316e-02    3.837781e-06
  4.511209e-02    3.847725e-06
  4.541102e-02    3.828109e-06
  4.570995e-02    3.805187e-06
  4.600888e-02    3.785894e-06
  4.630781e-02    3.796589e-06
  4.660674e-02    3.782911e-06
  4.690567e-02    3.778467e-06
  4.720460e-02    3.778295e-06
  4.750353e-02    3.764187e-06
  4.780246e-02    3.774865e-06
  4.810139e-02    3.792414e-06
  4.840032e-02    3.786027e-06
  4.869925e-02    3.777390e-06
  4.899818e-02    3.746127e-06
  4.929711e-02    3.754454e-06
  4.959604e-02    3.775780e-06
  4.989497e-02    3.775590e-06
  5.019390e-02    3.770122e-06
  5.049283e-02    3.759063e-06
  5.079176e-02    3.775660e-06
  5.109069e-02    3.784451e-06
  5.138962e-02    3.812241e-06
  5.168855e-02    3.873925e-06
  5.198748e-02    3.940555e-06
  5.228642e-02    3.907154e-06
  5.258535e-02    3.799382e-06
  5.288428e-02    3.774165e-06
  5.318321e-02    3.742484e-06
  5.348214e-02    3.729456e-06
  5.378107e-02    3.742509e-06
  5.408000e-02    3.748604e-06
  5.437893e-02    3.748870e-06
  5.467786e-02    3.735203e-06
  5.497679e-02    3.717584e-06
  5.527572e-02    3.715165e-06
  5.557465e-02    3.710925e-06
  5.587358e-02    3.747853e-06
  5.617251e-02    3.763136e-06
  5.647144e-02    3.747732e-06
  5.677037e-02    3.771894e-06
  5.706930e-02    3.774990e-06
  5.736823e-02    3.782517e-06
  5.766716e-02    3.772276e-06
  5.796609e-02    3.771282e-06
  5.826502e-02    3.762995e-06
  5.856395e-02    3.765953e-06
  5.886288e-02    3.761055e-06
  5.916181e-02    3.781156e-06
  5.946074e-02    3.802448e-06
  5.975967e-02    3.815911e-06
  6.005861e-02    3.811581e-06
  6.035754e-02    3.817140e-06
  6.065647e-02    3.834190e-06
  6.095540e-02    3.853888e-06
  6.125433e-02    3.901225e-06
  6.155326e-02    3.919447e-06
  6.185219e-02    3.882598e-06
  6.215112e-02    3.844659e-06
  6.245005e-02    3.850200e-06
  6.274898e-02    3.843941e-06
  6.304791e-02    3.834071e-06
  6.334684e-02    3.849605e-06
  6.364577e-02    3.875805e-06
  6.394470e-02    3.856435e-06
  6.424363e-02    3.862004e-06
  6.454256e-02    3.865013e-06
  6.484149e-02    3.855843e-06
  6.514042e-02    3.867119e-06
  6.543935e-02    3.889422e-06
  6.573828e-02    3.860508e-06
  6.603721e-02    3.865320e-06
  6.633614e-02    3.903874e-06
  6.663507e-02    3.910088e-06
  6.693400e-02    3.916738e-06
  6.723293e-02    3.917816e-06
  6.753186e-02    3.904332e-06
  6.783080e-02    3.921454e-06
  6.812973e-02    3.936781e-06
  6.842866e-02    3.932619e-06
  6.872759e-02    3.952868e-06
  6.902652e-02    3.965927e-06
  6.932545e-02    3.978836e-06
  6.962438e-02    3.968900e-06
  6.992331e-02    3.969866e-06
  7.022224e-02    3.973245e-06
  7.052117e-02    3.989273e-06
  7.082010e-02    3.990732e-06
