# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2079106.2000000002
# --> MT-AL_F127_220228_88367c67-a8d4-4377-95bf-b5d6f242e6df_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.313308e-03
  4.756484e-03    1.790298e-03
  5.055415e-03    1.254030e-03
  5.354345e-03    8.680397e-04
  5.653276e-03    6.589083e-04
  5.952206e-03    9.966169e-04
  6.251136e-03    9.173863e-04
  6.550067e-03    8.028418e-04
  6.848997e-03    6.874690e-04
  7.147927e-03    5.822132e-04
  7.446858e-03    4.986132e-04
  7.745788e-03    4.288494e-04
  8.044719e-03    3.704729e-04
  8.343649e-03    3.246049e-04
  8.642579e-03    2.833824e-04
  8.941510e-03    2.503231e-04
  9.240440e-03    2.229364e-04
  9.539371e-03    1.986583e-04
  9.838301e-03    1.781208e-04
  1.013723e-02    1.590522e-04
  1.043616e-02    1.426299e-04
  1.073509e-02    1.286637e-04
  1.103402e-02    1.163422e-04
  1.133295e-02    1.052707e-04
  1.163188e-02    9.658281e-05
  1.193081e-02    8.789905e-05
  1.222974e-02    8.013183e-05
  1.252867e-02    7.320780e-05
  1.282760e-02    6.720016e-05
  1.312654e-02    6.226938e-05
  1.342547e-02    5.769735e-05
  1.372440e-02    5.357021e-05
  1.402333e-02    5.001455e-05
  1.432226e-02    4.611400e-05
  1.462119e-02    4.256430e-05
  1.492012e-02    3.953652e-05
  1.521905e-02    3.762533e-05
