# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3369207.8000000003
# --> MT-AL_F127_220228_9990aa8f-3e6f-440c-b1c9-69468aa6c9c7_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.201208e-02
  4.756484e-03    9.487159e-03
  5.055415e-03    6.862516e-03
  5.354345e-03    4.898676e-03
  5.653276e-03    3.836715e-03
  5.952206e-03    6.266800e-03
  6.251136e-03    5.684913e-03
  6.550067e-03    4.895711e-03
  6.848997e-03    4.140741e-03
  7.147927e-03    3.498260e-03
  7.446858e-03    2.982252e-03
  7.745788e-03    2.557053e-03
  8.044719e-03    2.206397e-03
  8.343649e-03    1.930383e-03
  8.642579e-03    1.686845e-03
  8.941510e-03    1.484541e-03
  9.240440e-03    1.318572e-03
  9.539371e-03    1.172330e-03
  9.838301e-03    1.045375e-03
  1.013723e-02    9.350224e-04
  1.043616e-02    8.412156e-04
  1.073509e-02    7.562781e-04
  1.103402e-02    6.850385e-04
  1.133295e-02    6.224576e-04
  1.163188e-02    5.679086e-04
  1.193081e-02    5.194169e-04
  1.222974e-02    4.754219e-04
  1.252867e-02    4.370502e-04
  1.282760e-02    4.033899e-04
  1.312654e-02    3.716628e-04
  1.342547e-02    3.434785e-04
  1.372440e-02    3.192275e-04
  1.402333e-02    2.963250e-04
  1.432226e-02    2.756620e-04
  1.462119e-02    2.579765e-04
  1.492012e-02    2.414413e-04
  1.521905e-02    2.253497e-04
  1.551798e-02    2.115299e-04
  1.581691e-02    1.998423e-04
  1.611584e-02    1.882633e-04
  1.641477e-02    1.772535e-04
  1.671370e-02    1.667830e-04
  1.701263e-02    1.578412e-04
  1.731156e-02    1.501509e-04
  1.761049e-02    1.430777e-04
  1.790942e-02    1.360361e-04
  1.820835e-02    1.288448e-04
  1.850728e-02    1.232538e-04
  1.880621e-02    1.178254e-04
  1.910514e-02    1.126410e-04
  1.940407e-02    1.081902e-04
  1.970300e-02    1.041713e-04
  2.000193e-02    1.002682e-04
  2.030086e-02    9.660461e-05
  2.059979e-02    9.349389e-05
  2.089873e-02    8.987288e-05
  2.119766e-02    8.688742e-05
  2.149659e-02    8.417613e-05
  2.179552e-02    8.191831e-05
  2.209445e-02    7.934085e-05
  2.239338e-02    7.676933e-05
  2.269231e-02    7.467755e-05
  2.299124e-02    7.242846e-05
  2.329017e-02    7.050701e-05
  2.358910e-02    6.878295e-05
  2.388803e-02    6.717341e-05
  2.418696e-02    6.557564e-05
  2.448589e-02    6.415020e-05
  2.478482e-02    6.268179e-05
  2.508375e-02    6.146984e-05
  2.538268e-02    6.036344e-05
  2.568161e-02    5.904951e-05
  2.598054e-02    5.795256e-05
  2.627947e-02    5.707761e-05
  2.657840e-02    5.618050e-05
  2.687733e-02    5.540088e-05
  2.717626e-02    5.467457e-05
  2.747519e-02    5.346015e-05
  2.777412e-02    5.273883e-05
  2.807305e-02    5.210483e-05
  2.837198e-02    5.137255e-05
  2.867092e-02    5.054868e-05
  2.896985e-02    4.981192e-05
  2.926878e-02    4.916733e-05
  2.956771e-02    4.860114e-05
  2.986664e-02    4.806044e-05
  3.016557e-02    4.738164e-05
  3.046450e-02    4.709719e-05
  3.076343e-02    4.660668e-05
  3.106236e-02    4.609045e-05
  3.136129e-02    4.571827e-05
  3.166022e-02    4.521462e-05
  3.195915e-02    4.481979e-05
  3.225808e-02    4.443345e-05
  3.255701e-02    4.412828e-05
  3.285594e-02    4.356392e-05
  3.315487e-02    4.320805e-05
  3.345380e-02    4.293142e-05
  3.375273e-02    4.253821e-05
  3.405166e-02    4.216040e-05
  3.435059e-02    4.163236e-05
  3.464952e-02    4.115581e-05
  3.494845e-02    4.082451e-05
  3.524738e-02    4.043525e-05
  3.554631e-02    4.033669e-05
  3.584524e-02    4.021315e-05
  3.614417e-02    3.974810e-05
  3.644310e-02    3.942565e-05
  3.674204e-02    3.901673e-05
  3.704097e-02    3.862209e-05
  3.733990e-02    3.848726e-05
  3.763883e-02    3.845679e-05
  3.793776e-02    3.853793e-05
  3.823669e-02    3.805026e-05
  3.853562e-02    3.749669e-05
  3.883455e-02    3.714850e-05
  3.913348e-02    3.698039e-05
  3.943241e-02    3.687892e-05
  3.973134e-02    3.664655e-05
  4.003027e-02    3.640203e-05
  4.032920e-02    3.622847e-05
  4.062813e-02    3.633219e-05
  4.092706e-02    3.625459e-05
  4.122599e-02    3.591957e-05
  4.152492e-02    3.574552e-05
  4.182385e-02    3.554573e-05
  4.212278e-02    3.555150e-05
  4.242171e-02    3.543536e-05
  4.272064e-02    3.534476e-05
  4.301957e-02    3.523745e-05
  4.331850e-02    3.506929e-05
  4.361743e-02    3.506707e-05
  4.391636e-02    3.508100e-05
  4.421529e-02    3.496911e-05
  4.451423e-02    3.483140e-05
  4.481316e-02    3.488748e-05
  4.511209e-02    3.459279e-05
  4.541102e-02    3.452431e-05
  4.570995e-02    3.452091e-05
  4.600888e-02    3.461726e-05
  4.630781e-02    3.461626e-05
  4.660674e-02    3.458223e-05
  4.690567e-02    3.455517e-05
  4.720460e-02    3.472759e-05
  4.750353e-02    3.474556e-05
  4.780246e-02    3.461085e-05
  4.810139e-02    3.448840e-05
  4.840032e-02    3.441104e-05
  4.869925e-02    3.423911e-05
  4.899818e-02    3.415817e-05
  4.929711e-02    3.413376e-05
  4.959604e-02    3.423561e-05
  4.989497e-02    3.431982e-05
  5.019390e-02    3.435290e-05
  5.049283e-02    3.442105e-05
  5.079176e-02    3.434716e-05
  5.109069e-02    3.434656e-05
  5.138962e-02    3.447069e-05
  5.168855e-02    3.497037e-05
  5.198748e-02    3.548350e-05
  5.228642e-02    3.534305e-05
  5.258535e-02    3.449865e-05
  5.288428e-02    3.417642e-05
  5.318321e-02    3.414999e-05
  5.348214e-02    3.431443e-05
  5.378107e-02    3.444487e-05
  5.408000e-02    3.440349e-05
  5.437893e-02    3.424267e-05
  5.467786e-02    3.420568e-05
  5.497679e-02    3.434785e-05
  5.527572e-02    3.449801e-05
  5.557465e-02    3.442622e-05
  5.587358e-02    3.443236e-05
  5.617251e-02    3.455830e-05
  5.647144e-02    3.445802e-05
  5.677037e-02    3.429833e-05
  5.706930e-02    3.435223e-05
  5.736823e-02    3.443621e-05
  5.766716e-02    3.459227e-05
  5.796609e-02    3.457052e-05
  5.826502e-02    3.473257e-05
  5.856395e-02    3.479850e-05
  5.886288e-02    3.478438e-05
  5.916181e-02    3.487672e-05
  5.946074e-02    3.480552e-05
  5.975967e-02    3.475750e-05
  6.005861e-02    3.481431e-05
  6.035754e-02    3.494223e-05
  6.065647e-02    3.515212e-05
  6.095540e-02    3.543872e-05
  6.125433e-02    3.573770e-05
  6.155326e-02    3.591628e-05
  6.185219e-02    3.555486e-05
  6.215112e-02    3.531941e-05
  6.245005e-02    3.539871e-05
  6.274898e-02    3.539068e-05
  6.304791e-02    3.551183e-05
  6.334684e-02    3.548581e-05
  6.364577e-02    3.554508e-05
  6.394470e-02    3.560150e-05
  6.424363e-02    3.572506e-05
  6.454256e-02    3.569993e-05
  6.484149e-02    3.564249e-05
  6.514042e-02    3.562869e-05
  6.543935e-02    3.585886e-05
  6.573828e-02    3.588730e-05
  6.603721e-02    3.587193e-05
  6.633614e-02    3.603214e-05
  6.663507e-02    3.606896e-05
  6.693400e-02    3.604861e-05
  6.723293e-02    3.607463e-05
  6.753186e-02    3.608071e-05
  6.783080e-02    3.619239e-05
  6.812973e-02    3.633150e-05
  6.842866e-02    3.634300e-05
  6.872759e-02    3.631682e-05
  6.902652e-02    3.632472e-05
  6.932545e-02    3.656585e-05
  6.962438e-02    3.655580e-05
  6.992331e-02    3.649739e-05
  7.022224e-02    3.662521e-05
  7.052117e-02    3.675051e-05
  7.082010e-02    3.680023e-05
  7.111903e-02    3.679837e-05
  7.141796e-02    3.675843e-05
  7.171689e-02    3.686452e-05
  7.201582e-02    3.701998e-05
  7.231475e-02    3.708614e-05
  7.261368e-02    3.699050e-05
  7.291261e-02    3.684661e-05
  7.321154e-02    3.702081e-05
  7.351047e-02    3.713412e-05
  7.380940e-02    3.698129e-05
  7.410833e-02    3.702366e-05
  7.440726e-02    3.713313e-05
  7.470619e-02    3.710052e-05
  7.500512e-02    3.711417e-05
  7.530405e-02    3.718799e-05
  7.560299e-02    3.712663e-05
  7.590192e-02    3.712813e-05
  7.620085e-02    3.708346e-05
  7.649978e-02    3.704021e-05
  7.679871e-02    3.703048e-05
  7.709764e-02    3.721823e-05
  7.739657e-02    3.720254e-05
  7.769550e-02    3.710187e-05
  7.799443e-02    3.713970e-05
  7.829336e-02    3.720501e-05
  7.859229e-02    3.701422e-05
  7.889122e-02    3.699252e-05
  7.919015e-02    3.694225e-05
  7.948908e-02    3.693161e-05
  7.978801e-02    3.690472e-05
  8.008694e-02    3.688045e-05
  8.038587e-02    3.678666e-05
  8.068480e-02    3.681787e-05
  8.098373e-02    3.682267e-05
  8.128266e-02    3.674690e-05
  8.158159e-02    3.673190e-05
  8.188052e-02    3.669173e-05
  8.217945e-02    3.661243e-05
  8.247838e-02    3.660289e-05
  8.277731e-02    3.651616e-05
  8.307624e-02    3.650371e-05
  8.337518e-02    3.647156e-05
  8.367411e-02    3.649178e-05
  8.397304e-02    3.646885e-05
  8.427197e-02    3.643803e-05
  8.457090e-02    3.644753e-05
  8.486983e-02    3.641396e-05
  8.516876e-02    3.630075e-05
  8.546769e-02    3.626043e-05
  8.576662e-02    3.616344e-05
  8.606555e-02    3.625752e-05
  8.636448e-02    3.625778e-05
  8.666341e-02    3.615233e-05
  8.696234e-02    3.605046e-05
  8.726127e-02    3.586510e-05
  8.756020e-02    3.572975e-05
  8.785913e-02    3.579150e-05
  8.815806e-02    3.587115e-05
  8.845699e-02    3.574309e-05
  8.875592e-02    3.562129e-05
  8.905485e-02    3.556014e-05
  8.935378e-02    3.552705e-05
  8.965271e-02    3.551358e-05
  8.995164e-02    3.530123e-05
  9.025057e-02    3.513866e-05
  9.054950e-02    3.517322e-05
  9.084843e-02    3.523440e-05
  9.114737e-02    3.519082e-05
  9.144630e-02    3.500090e-05
  9.174523e-02    3.491090e-05
  9.204416e-02    3.487992e-05
  9.234309e-02    3.489984e-05
  9.264202e-02    3.486725e-05
  9.294095e-02    3.472445e-05
  9.323988e-02    3.464890e-05
  9.353881e-02    3.467357e-05
  9.383774e-02    3.459082e-05
  9.413667e-02    3.460740e-05
  9.443560e-02    3.448863e-05
  9.473453e-02    3.435721e-05
  9.503346e-02    3.440990e-05
  9.533239e-02    3.429898e-05
  9.563132e-02    3.426988e-05
  9.593025e-02    3.429182e-05
  9.622918e-02    3.424798e-05
  9.652811e-02    3.412039e-05
  9.682704e-02    3.418408e-05
  9.712597e-02    3.419779e-05
  9.742490e-02    3.406712e-05
  9.772383e-02    3.403268e-05
  9.802276e-02    3.403178e-05
  9.832169e-02    3.377168e-05
