# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 171382.6
# --> MT-AL_F127_220228_a88a99e0-2e33-4a21-9545-fc7bba88966d_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.815563e-03
  4.756484e-03    1.683543e-03
  5.055415e-03    1.436307e-03
  5.354345e-03    1.182730e-03
  5.653276e-03    1.021122e-03
  5.952206e-03    1.392340e-03
  6.251136e-03    1.333004e-03
  6.550067e-03    1.178413e-03
  6.848997e-03    1.018480e-03
  7.147927e-03    8.927820e-04
  7.446858e-03    7.773765e-04
  7.745788e-03    6.791563e-04
  8.044719e-03    5.985255e-04
  8.343649e-03    5.259279e-04
  8.642579e-03    4.682987e-04
  8.941510e-03    4.170940e-04
  9.240440e-03    3.733102e-04
  9.539371e-03    3.317761e-04
  9.838301e-03    2.977724e-04
  1.013723e-02    2.690735e-04
  1.043616e-02    2.461483e-04
  1.073509e-02    2.214389e-04
  1.103402e-02    2.025764e-04
  1.133295e-02    1.826467e-04
  1.163188e-02    1.651307e-04
  1.193081e-02    1.512204e-04
  1.222974e-02    1.361661e-04
  1.252867e-02    1.211998e-04
  1.282760e-02    1.125499e-04
  1.312654e-02    1.040482e-04
  1.342547e-02    9.353061e-05
  1.372440e-02    8.567466e-05
  1.402333e-02    7.915180e-05
  1.432226e-02    7.382300e-05
  1.462119e-02    6.660607e-05
  1.492012e-02    6.122140e-05
  1.521905e-02    5.726862e-05
  1.551798e-02    5.398659e-05
  1.581691e-02    4.939625e-05
  1.611584e-02    4.463443e-05
  1.641477e-02    4.180194e-05
  1.671370e-02    3.809873e-05
  1.701263e-02    3.558191e-05
  1.731156e-02    3.460334e-05
  1.761049e-02    3.282733e-05
  1.790942e-02    2.975537e-05
  1.820835e-02    2.831565e-05
  1.850728e-02    2.722764e-05
  1.880621e-02    2.604006e-05
  1.910514e-02    2.389827e-05
  1.940407e-02    2.234345e-05
  1.970300e-02    2.088752e-05
  2.000193e-02    2.031932e-05
  2.030086e-02    1.997698e-05
  2.059979e-02    1.826592e-05
  2.089873e-02    1.746345e-05
  2.119766e-02    1.681749e-05
  2.149659e-02    1.581853e-05
  2.179552e-02    1.477490e-05
  2.209445e-02    1.460051e-05
  2.239338e-02    1.420531e-05
  2.269231e-02    1.315516e-05
  2.299124e-02    1.197450e-05
  2.329017e-02    1.161051e-05
  2.358910e-02    1.118617e-05
  2.388803e-02    1.028879e-05
  2.418696e-02    9.748516e-06
  2.448589e-02    9.284001e-06
  2.478482e-02    9.227738e-06
  2.508375e-02    9.686613e-06
  2.538268e-02    9.390335e-06
  2.568161e-02    8.726757e-06
  2.598054e-02    8.546470e-06
  2.627947e-02    8.325439e-06
  2.657840e-02    8.154158e-06
  2.687733e-02    8.102311e-06
  2.717626e-02    7.576720e-06
  2.747519e-02    7.061797e-06
  2.777412e-02    7.136619e-06
  2.807305e-02    6.684304e-06
  2.837198e-02    6.460274e-06
  2.867092e-02    6.528726e-06
  2.896985e-02    6.499822e-06
  2.926878e-02    6.409244e-06
  2.956771e-02    6.088418e-06
  2.986664e-02    5.678028e-06
  3.016557e-02    5.600666e-06
  3.046450e-02    5.580022e-06
  3.076343e-02    5.414455e-06
  3.106236e-02    5.527713e-06
  3.136129e-02    5.312120e-06
  3.166022e-02    5.110730e-06
  3.195915e-02    5.012250e-06
  3.225808e-02    4.913240e-06
  3.255701e-02    4.777203e-06
  3.285594e-02    4.840947e-06
  3.315487e-02    4.575554e-06
  3.345380e-02    4.650345e-06
  3.375273e-02    4.725893e-06
  3.405166e-02    4.714509e-06
  3.435059e-02    4.442974e-06
  3.464952e-02    4.377450e-06
  3.494845e-02    4.081630e-06
  3.524738e-02    3.747732e-06
  3.554631e-02    3.512955e-06
  3.584524e-02    3.967183e-06
  3.614417e-02    3.890134e-06
  3.644310e-02    3.977093e-06
  3.674204e-02    3.928983e-06
  3.704097e-02    3.755835e-06
  3.733990e-02    3.523680e-06
  3.763883e-02    3.579454e-06
  3.793776e-02    3.443118e-06
  3.823669e-02    3.692280e-06
  3.853562e-02    3.513975e-06
  3.883455e-02    3.788600e-06
  3.913348e-02    3.570907e-06
  3.943241e-02    3.252245e-06
  3.973134e-02    3.323266e-06
  4.003027e-02    3.167933e-06
