# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4319846.4
# --> MT-AL_F127_220228_d2ad7edb-a1f9-4728-af4b-00d05d936f49_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.027637e-03
  4.756484e-03    1.581275e-03
  5.055415e-03    1.109037e-03
  5.354345e-03    7.635084e-04
  5.653276e-03    5.705842e-04
  5.952206e-03    8.951091e-04
  6.251136e-03    8.238422e-04
  6.550067e-03    7.190575e-04
  6.848997e-03    6.146851e-04
  7.147927e-03    5.214388e-04
  7.446858e-03    4.459496e-04
  7.745788e-03    3.817432e-04
  8.044719e-03    3.284497e-04
  8.343649e-03    2.873090e-04
  8.642579e-03    2.511778e-04
  8.941510e-03    2.214658e-04
  9.240440e-03    1.966920e-04
  9.539371e-03    1.743324e-04
  9.838301e-03    1.552328e-04
  1.013723e-02    1.392467e-04
  1.043616e-02    1.252938e-04
  1.073509e-02    1.123604e-04
  1.103402e-02    1.019380e-04
  1.133295e-02    9.258917e-05
  1.163188e-02    8.383904e-05
  1.193081e-02    7.675446e-05
  1.222974e-02    7.078014e-05
  1.252867e-02    6.499369e-05
  1.282760e-02    5.956548e-05
  1.312654e-02    5.506178e-05
  1.342547e-02    5.112567e-05
  1.372440e-02    4.713271e-05
  1.402333e-02    4.400608e-05
  1.432226e-02    4.104317e-05
  1.462119e-02    3.831312e-05
  1.492012e-02    3.568277e-05
  1.521905e-02    3.321411e-05
  1.551798e-02    3.126418e-05
  1.581691e-02    2.935391e-05
  1.611584e-02    2.755366e-05
  1.641477e-02    2.609192e-05
  1.671370e-02    2.451050e-05
  1.701263e-02    2.314004e-05
  1.731156e-02    2.207011e-05
  1.761049e-02    2.107446e-05
  1.790942e-02    2.011282e-05
  1.820835e-02    1.921826e-05
  1.850728e-02    1.834573e-05
  1.880621e-02    1.757316e-05
  1.910514e-02    1.674276e-05
  1.940407e-02    1.607906e-05
  1.970300e-02    1.543000e-05
  2.000193e-02    1.479657e-05
  2.030086e-02    1.435767e-05
  2.059979e-02    1.388549e-05
  2.089873e-02    1.330383e-05
  2.119766e-02    1.285508e-05
  2.149659e-02    1.240100e-05
  2.179552e-02    1.203223e-05
  2.209445e-02    1.174744e-05
  2.239338e-02    1.145726e-05
  2.269231e-02    1.111015e-05
  2.299124e-02    1.080258e-05
  2.329017e-02    1.043650e-05
  2.358910e-02    1.019130e-05
  2.388803e-02    1.007667e-05
  2.418696e-02    9.873824e-06
  2.448589e-02    9.616124e-06
  2.478482e-02    9.350016e-06
  2.508375e-02    9.220734e-06
  2.538268e-02    9.073339e-06
  2.568161e-02    8.977579e-06
  2.598054e-02    8.764011e-06
  2.627947e-02    8.550040e-06
  2.657840e-02    8.429482e-06
  2.687733e-02    8.332280e-06
  2.717626e-02    8.204443e-06
  2.747519e-02    8.050650e-06
  2.777412e-02    7.951032e-06
  2.807305e-02    7.867477e-06
  2.837198e-02    7.839325e-06
  2.867092e-02    7.710582e-06
  2.896985e-02    7.639119e-06
  2.926878e-02    7.493862e-06
  2.956771e-02    7.359579e-06
  2.986664e-02    7.286287e-06
  3.016557e-02    7.287241e-06
  3.046450e-02    7.158930e-06
  3.076343e-02    7.137888e-06
  3.106236e-02    7.072887e-06
  3.136129e-02    7.019009e-06
  3.166022e-02    6.910364e-06
  3.195915e-02    6.851318e-06
  3.225808e-02    6.815181e-06
  3.255701e-02    6.776561e-06
  3.285594e-02    6.737191e-06
  3.315487e-02    6.639440e-06
  3.345380e-02    6.532892e-06
  3.375273e-02    6.459755e-06
  3.405166e-02    6.418325e-06
  3.435059e-02    6.396804e-06
  3.464952e-02    6.254405e-06
  3.494845e-02    6.147116e-06
  3.524738e-02    6.164679e-06
  3.554631e-02    6.154560e-06
  3.584524e-02    6.065624e-06
  3.614417e-02    5.958691e-06
  3.644310e-02    5.899140e-06
  3.674204e-02    5.801530e-06
  3.704097e-02    5.750790e-06
  3.733990e-02    5.690069e-06
  3.763883e-02    5.634542e-06
  3.793776e-02    5.668872e-06
  3.823669e-02    5.661000e-06
  3.853562e-02    5.616288e-06
  3.883455e-02    5.552010e-06
  3.913348e-02    5.548293e-06
  3.943241e-02    5.477041e-06
  3.973134e-02    5.402611e-06
  4.003027e-02    5.346233e-06
  4.032920e-02    5.317049e-06
  4.062813e-02    5.280229e-06
  4.092706e-02    5.257596e-06
  4.122599e-02    5.210174e-06
  4.152492e-02    5.251440e-06
  4.182385e-02    5.216089e-06
  4.212278e-02    5.141167e-06
  4.242171e-02    5.103990e-06
  4.272064e-02    5.101611e-06
  4.301957e-02    5.140690e-06
  4.331850e-02    5.145695e-06
  4.361743e-02    5.124541e-06
  4.391636e-02    5.091023e-06
  4.421529e-02    5.052929e-06
  4.451423e-02    5.029281e-06
  4.481316e-02    5.029093e-06
  4.511209e-02    5.032421e-06
  4.541102e-02    5.023809e-06
  4.570995e-02    4.972751e-06
  4.600888e-02    4.980103e-06
  4.630781e-02    5.031235e-06
  4.660674e-02    4.982402e-06
  4.690567e-02    4.977639e-06
  4.720460e-02    4.970916e-06
  4.750353e-02    4.964428e-06
  4.780246e-02    4.926311e-06
  4.810139e-02    4.970937e-06
  4.840032e-02    4.994268e-06
  4.869925e-02    4.996074e-06
  4.899818e-02    4.973874e-06
  4.929711e-02    4.991700e-06
  4.959604e-02    4.966902e-06
  4.989497e-02    5.001266e-06
  5.019390e-02    4.966616e-06
  5.049283e-02    4.936002e-06
  5.079176e-02    4.936197e-06
  5.109069e-02    4.981046e-06
  5.138962e-02    5.086291e-06
  5.168855e-02    5.219031e-06
  5.198748e-02    5.267009e-06
  5.228642e-02    5.208742e-06
  5.258535e-02    5.018180e-06
  5.288428e-02    4.934410e-06
  5.318321e-02    4.896759e-06
  5.348214e-02    4.907143e-06
  5.378107e-02    4.913205e-06
  5.408000e-02    4.865085e-06
  5.437893e-02    4.872001e-06
  5.467786e-02    4.924498e-06
  5.497679e-02    4.936256e-06
  5.527572e-02    4.918771e-06
  5.557465e-02    4.893292e-06
  5.587358e-02    4.890001e-06
  5.617251e-02    4.861268e-06
  5.647144e-02    4.898113e-06
  5.677037e-02    4.917847e-06
  5.706930e-02    4.894741e-06
  5.736823e-02    4.861123e-06
  5.766716e-02    4.893768e-06
  5.796609e-02    4.953904e-06
  5.826502e-02    4.906102e-06
  5.856395e-02    4.870377e-06
  5.886288e-02    4.893469e-06
  5.916181e-02    4.930051e-06
  5.946074e-02    4.879647e-06
  5.975967e-02    4.928103e-06
  6.005861e-02    4.951983e-06
  6.035754e-02    4.952272e-06
  6.065647e-02    5.003797e-06
  6.095540e-02    5.103238e-06
  6.125433e-02    5.197394e-06
  6.155326e-02    5.154790e-06
  6.185219e-02    5.069708e-06
  6.215112e-02    5.046091e-06
  6.245005e-02    4.974273e-06
  6.274898e-02    4.964954e-06
  6.304791e-02    4.988299e-06
  6.334684e-02    5.011303e-06
  6.364577e-02    4.976868e-06
  6.394470e-02    4.973592e-06
  6.424363e-02    4.975288e-06
  6.454256e-02    4.997756e-06
  6.484149e-02    5.005049e-06
  6.514042e-02    5.034370e-06
  6.543935e-02    5.070678e-06
  6.573828e-02    5.057669e-06
  6.603721e-02    5.059917e-06
  6.633614e-02    5.053950e-06
  6.663507e-02    5.066136e-06
  6.693400e-02    5.079057e-06
  6.723293e-02    5.095555e-06
  6.753186e-02    5.088490e-06
  6.783080e-02    5.092049e-06
  6.812973e-02    5.141370e-06
  6.842866e-02    5.117091e-06
  6.872759e-02    5.092564e-06
  6.902652e-02    5.069330e-06
  6.932545e-02    5.088245e-06
  6.962438e-02    5.143705e-06
  6.992331e-02    5.140106e-06
  7.022224e-02    5.157172e-06
  7.052117e-02    5.186884e-06
  7.082010e-02    5.190640e-06
  7.111903e-02    5.194264e-06
  7.141796e-02    5.205981e-06
  7.171689e-02    5.211424e-06
  7.201582e-02    5.208994e-06
  7.231475e-02    5.192981e-06
  7.261368e-02    5.223774e-06
  7.291261e-02    5.257818e-06
  7.321154e-02    5.211799e-06
  7.351047e-02    5.183848e-06
  7.380940e-02    5.200142e-06
  7.410833e-02    5.246613e-06
  7.440726e-02    5.244088e-06
  7.470619e-02    5.226651e-06
  7.500512e-02    5.227074e-06
  7.530405e-02    5.234491e-06
  7.560299e-02    5.218373e-06
  7.590192e-02    5.226760e-06
  7.620085e-02    5.193847e-06
  7.649978e-02    5.161831e-06
  7.679871e-02    5.166038e-06
  7.709764e-02    5.191150e-06
  7.739657e-02    5.262017e-06
  7.769550e-02    5.237382e-06
  7.799443e-02    5.154556e-06
  7.829336e-02    5.178009e-06
  7.859229e-02    5.209457e-06
  7.889122e-02    5.235361e-06
  7.919015e-02    5.227594e-06
  7.948908e-02    5.203673e-06
  7.978801e-02    5.192905e-06
  8.008694e-02    5.198690e-06
  8.038587e-02    5.178194e-06
  8.068480e-02    5.155737e-06
  8.098373e-02    5.188010e-06
  8.128266e-02    5.143061e-06
  8.158159e-02    5.112586e-06
  8.188052e-02    5.160922e-06
  8.217945e-02    5.161074e-06
  8.247838e-02    5.082745e-06
  8.277731e-02    5.120409e-06
  8.307624e-02    5.151820e-06
  8.337518e-02    5.104515e-06
  8.367411e-02    5.072869e-06
  8.397304e-02    5.108029e-06
  8.427197e-02    5.070189e-06
  8.457090e-02    5.068331e-06
  8.486983e-02    5.082132e-06
  8.516876e-02    5.049256e-06
  8.546769e-02    5.070951e-06
  8.576662e-02    5.051796e-06
  8.606555e-02    5.050664e-06
  8.636448e-02    5.030748e-06
  8.666341e-02    5.035993e-06
  8.696234e-02    5.050057e-06
  8.726127e-02    5.040810e-06
  8.756020e-02    5.049369e-06
  8.785913e-02    5.032914e-06
  8.815806e-02    4.974138e-06
  8.845699e-02    4.953886e-06
  8.875592e-02    4.930959e-06
  8.905485e-02    4.958190e-06
  8.935378e-02    4.947045e-06
  8.965271e-02    4.935836e-06
  8.995164e-02    4.924530e-06
  9.025057e-02    4.943277e-06
  9.054950e-02    4.952148e-06
  9.084843e-02    4.899328e-06
  9.114737e-02    4.882634e-06
  9.144630e-02    4.905716e-06
  9.174523e-02    4.873524e-06
  9.204416e-02    4.866702e-06
  9.234309e-02    4.847847e-06
  9.264202e-02    4.830621e-06
  9.294095e-02    4.820532e-06
  9.323988e-02    4.859509e-06
  9.353881e-02    4.844734e-06
  9.383774e-02    4.778336e-06
  9.413667e-02    4.756975e-06
  9.443560e-02    4.780375e-06
  9.473453e-02    4.752432e-06
  9.503346e-02    4.721197e-06
  9.533239e-02    4.761666e-06
  9.563132e-02    4.768522e-06
  9.593025e-02    4.777850e-06
  9.622918e-02    4.778017e-06
  9.652811e-02    4.798834e-06
  9.682704e-02    4.822977e-06
  9.712597e-02    4.830531e-06
  9.742490e-02    4.812837e-06
  9.772383e-02    4.792490e-06
  9.802276e-02    4.734478e-06
  9.832169e-02    4.700763e-06
  9.862062e-02    4.687475e-06
  9.891956e-02    4.693496e-06
  9.921849e-02    4.659822e-06
  9.951742e-02    4.660968e-06
  9.981635e-02    4.634649e-06
  1.001153e-01    4.589885e-06
  1.004142e-01    4.604852e-06
  1.007131e-01    4.595304e-06
  1.010121e-01    4.563743e-06
  1.013110e-01    4.575796e-06
  1.016099e-01    4.576137e-06
  1.019089e-01    4.566154e-06
  1.022078e-01    4.529458e-06
  1.025067e-01    4.522355e-06
  1.028057e-01    4.550368e-06
  1.031046e-01    4.548728e-06
  1.034035e-01    4.479289e-06
  1.037024e-01    4.494866e-06
  1.040014e-01    4.523024e-06
  1.043003e-01    4.518451e-06
  1.045992e-01    4.526939e-06
  1.048982e-01    4.518854e-06
  1.051971e-01    4.442951e-06
  1.054960e-01    4.429494e-06
  1.057950e-01    4.433420e-06
  1.060939e-01    4.422313e-06
  1.063928e-01    4.423148e-06
  1.066917e-01    4.426642e-06
  1.069907e-01    4.457474e-06
  1.072896e-01    4.410349e-06
  1.075885e-01    4.383436e-06
  1.078875e-01    4.393254e-06
  1.081864e-01    4.376784e-06
  1.084853e-01    4.388378e-06
