# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 18532420.400000002
# --> MT-AL_F127_220228_e1d3a64e-f60c-4cd1-848a-de3270b5e4b1_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.368358e-03
  4.756484e-03    1.062137e-03
  5.055415e-03    7.491196e-04
  5.354345e-03    5.157603e-04
  5.653276e-03    3.923652e-04
  5.952206e-03    6.378654e-04
  6.251136e-03    5.842619e-04
  6.550067e-03    5.073132e-04
  6.848997e-03    4.316351e-04
  7.147927e-03    3.641785e-04
  7.446858e-03    3.095329e-04
  7.745788e-03    2.655270e-04
  8.044719e-03    2.290776e-04
  8.343649e-03    1.994460e-04
  8.642579e-03    1.736037e-04
  8.941510e-03    1.527383e-04
  9.240440e-03    1.352860e-04
  9.539371e-03    1.202292e-04
  9.838301e-03    1.071354e-04
  1.013723e-02    9.599514e-05
  1.043616e-02    8.628127e-05
  1.073509e-02    7.731083e-05
  1.103402e-02    6.995746e-05
  1.133295e-02    6.365887e-05
  1.163188e-02    5.816447e-05
  1.193081e-02    5.333187e-05
  1.222974e-02    4.891504e-05
  1.252867e-02    4.477120e-05
  1.282760e-02    4.119595e-05
  1.312654e-02    3.812365e-05
  1.342547e-02    3.531105e-05
  1.372440e-02    3.270223e-05
  1.402333e-02    3.040395e-05
  1.432226e-02    2.833894e-05
  1.462119e-02    2.647195e-05
  1.492012e-02    2.469739e-05
  1.521905e-02    2.313201e-05
  1.551798e-02    2.176439e-05
  1.581691e-02    2.049940e-05
  1.611584e-02    1.940164e-05
  1.641477e-02    1.828894e-05
  1.671370e-02    1.727607e-05
  1.701263e-02    1.635033e-05
  1.731156e-02    1.556134e-05
  1.761049e-02    1.483336e-05
  1.790942e-02    1.409328e-05
  1.820835e-02    1.342025e-05
  1.850728e-02    1.283455e-05
  1.880621e-02    1.233020e-05
  1.910514e-02    1.177285e-05
  1.940407e-02    1.130573e-05
  1.970300e-02    1.087539e-05
  2.000193e-02    1.052016e-05
  2.030086e-02    1.015487e-05
  2.059979e-02    9.768789e-06
  2.089873e-02    9.428879e-06
  2.119766e-02    9.143859e-06
  2.149659e-02    8.874583e-06
  2.179552e-02    8.561221e-06
  2.209445e-02    8.308657e-06
  2.239338e-02    8.085412e-06
  2.269231e-02    7.893505e-06
  2.299124e-02    7.711295e-06
  2.329017e-02    7.493377e-06
  2.358910e-02    7.296569e-06
  2.388803e-02    7.140255e-06
  2.418696e-02    7.002495e-06
  2.448589e-02    6.803530e-06
  2.478482e-02    6.668623e-06
  2.508375e-02    6.532697e-06
  2.538268e-02    6.395298e-06
  2.568161e-02    6.310215e-06
  2.598054e-02    6.195038e-06
  2.627947e-02    6.093264e-06
  2.657840e-02    6.038613e-06
  2.687733e-02    5.937744e-06
  2.717626e-02    5.813084e-06
  2.747519e-02    5.719196e-06
  2.777412e-02    5.625822e-06
  2.807305e-02    5.563000e-06
  2.837198e-02    5.523847e-06
  2.867092e-02    5.455425e-06
  2.896985e-02    5.372553e-06
  2.926878e-02    5.304403e-06
  2.956771e-02    5.248860e-06
  2.986664e-02    5.203508e-06
  3.016557e-02    5.136419e-06
  3.046450e-02    5.039209e-06
  3.076343e-02    5.013686e-06
  3.106236e-02    4.980316e-06
  3.136129e-02    4.941663e-06
  3.166022e-02    4.896277e-06
  3.195915e-02    4.846722e-06
  3.225808e-02    4.808341e-06
  3.255701e-02    4.761514e-06
  3.285594e-02    4.730191e-06
  3.315487e-02    4.709977e-06
  3.345380e-02    4.663425e-06
  3.375273e-02    4.581720e-06
  3.405166e-02    4.532504e-06
  3.435059e-02    4.479383e-06
  3.464952e-02    4.448492e-06
  3.494845e-02    4.454032e-06
  3.524738e-02    4.413115e-06
  3.554631e-02    4.342600e-06
  3.584524e-02    4.317539e-06
  3.614417e-02    4.306919e-06
  3.644310e-02    4.273335e-06
  3.674204e-02    4.222588e-06
  3.704097e-02    4.152827e-06
  3.733990e-02    4.104684e-06
  3.763883e-02    4.098263e-06
  3.793776e-02    4.103210e-06
  3.823669e-02    4.099375e-06
  3.853562e-02    4.054336e-06
  3.883455e-02    4.001927e-06
  3.913348e-02    3.976572e-06
  3.943241e-02    3.965761e-06
  3.973134e-02    3.951824e-06
  4.003027e-02    3.930731e-06
  4.032920e-02    3.902528e-06
  4.062813e-02    3.856301e-06
  4.092706e-02    3.859081e-06
  4.122599e-02    3.858358e-06
  4.152492e-02    3.818487e-06
  4.182385e-02    3.787611e-06
  4.212278e-02    3.778440e-06
  4.242171e-02    3.793345e-06
  4.272064e-02    3.779401e-06
  4.301957e-02    3.744077e-06
  4.331850e-02    3.746050e-06
  4.361743e-02    3.718997e-06
  4.391636e-02    3.701965e-06
  4.421529e-02    3.725311e-06
  4.451423e-02    3.713967e-06
  4.481316e-02    3.710877e-06
  4.511209e-02    3.708602e-06
  4.541102e-02    3.709261e-06
  4.570995e-02    3.702452e-06
  4.600888e-02    3.673863e-06
  4.630781e-02    3.653553e-06
  4.660674e-02    3.674101e-06
  4.690567e-02    3.686474e-06
  4.720460e-02    3.679035e-06
  4.750353e-02    3.697473e-06
  4.780246e-02    3.684059e-06
  4.810139e-02    3.671368e-06
  4.840032e-02    3.664166e-06
  4.869925e-02    3.655329e-06
  4.899818e-02    3.650926e-06
  4.929711e-02    3.626628e-06
  4.959604e-02    3.640306e-06
  4.989497e-02    3.657713e-06
  5.019390e-02    3.667945e-06
  5.049283e-02    3.669665e-06
  5.079176e-02    3.650299e-06
  5.109069e-02    3.667156e-06
  5.138962e-02    3.708617e-06
  5.168855e-02    3.777548e-06
  5.198748e-02    3.832845e-06
  5.228642e-02    3.790548e-06
  5.258535e-02    3.659927e-06
  5.288428e-02    3.619346e-06
  5.318321e-02    3.634506e-06
  5.348214e-02    3.640670e-06
  5.378107e-02    3.636083e-06
  5.408000e-02    3.622667e-06
  5.437893e-02    3.644230e-06
  5.467786e-02    3.657044e-06
  5.497679e-02    3.658224e-06
  5.527572e-02    3.624131e-06
  5.557465e-02    3.620768e-06
  5.587358e-02    3.647178e-06
  5.617251e-02    3.653362e-06
  5.647144e-02    3.666965e-06
  5.677037e-02    3.659872e-06
  5.706930e-02    3.654903e-06
  5.736823e-02    3.658499e-06
  5.766716e-02    3.659805e-06
  5.796609e-02    3.656276e-06
  5.826502e-02    3.656613e-06
  5.856395e-02    3.659437e-06
  5.886288e-02    3.668538e-06
  5.916181e-02    3.658310e-06
  5.946074e-02    3.660854e-06
  5.975967e-02    3.689137e-06
  6.005861e-02    3.703663e-06
  6.035754e-02    3.715869e-06
  6.065647e-02    3.727360e-06
  6.095540e-02    3.749887e-06
  6.125433e-02    3.802584e-06
  6.155326e-02    3.802878e-06
  6.185219e-02    3.770197e-06
  6.215112e-02    3.740128e-06
  6.245005e-02    3.732289e-06
  6.274898e-02    3.721864e-06
  6.304791e-02    3.736268e-06
  6.334684e-02    3.759669e-06
  6.364577e-02    3.762415e-06
  6.394470e-02    3.767272e-06
  6.424363e-02    3.753544e-06
  6.454256e-02    3.753010e-06
  6.484149e-02    3.777031e-06
  6.514042e-02    3.778187e-06
  6.543935e-02    3.769030e-06
  6.573828e-02    3.802100e-06
  6.603721e-02    3.812571e-06
  6.633614e-02    3.805829e-06
  6.663507e-02    3.813538e-06
  6.693400e-02    3.806733e-06
  6.723293e-02    3.798591e-06
  6.753186e-02    3.820187e-06
  6.783080e-02    3.836336e-06
  6.812973e-02    3.832228e-06
  6.842866e-02    3.843839e-06
  6.872759e-02    3.847385e-06
  6.902652e-02    3.856328e-06
  6.932545e-02    3.871881e-06
  6.962438e-02    3.882665e-06
  6.992331e-02    3.863169e-06
  7.022224e-02    3.868714e-06
  7.052117e-02    3.891641e-06
  7.082010e-02    3.888067e-06
  7.111903e-02    3.897848e-06
  7.141796e-02    3.896667e-06
  7.171689e-02    3.902082e-06
  7.201582e-02    3.919422e-06
  7.231475e-02    3.918578e-06
  7.261368e-02    3.921541e-06
  7.291261e-02    3.927013e-06
  7.321154e-02    3.922027e-06
  7.351047e-02    3.923776e-06
  7.380940e-02    3.926558e-06
  7.410833e-02    3.934721e-06
  7.440726e-02    3.918584e-06
  7.470619e-02    3.916316e-06
  7.500512e-02    3.919255e-06
  7.530405e-02    3.921766e-06
  7.560299e-02    3.916778e-06
  7.590192e-02    3.921957e-06
  7.620085e-02    3.937570e-06
  7.649978e-02    3.943798e-06
  7.679871e-02    3.918639e-06
  7.709764e-02    3.929252e-06
  7.739657e-02    3.950958e-06
  7.769550e-02    3.935670e-06
  7.799443e-02    3.948414e-06
  7.829336e-02    3.923905e-06
  7.859229e-02    3.925396e-06
  7.889122e-02    3.935847e-06
  7.919015e-02    3.901841e-06
  7.948908e-02    3.907967e-06
  7.978801e-02    3.930331e-06
  8.008694e-02    3.915267e-06
  8.038587e-02    3.921425e-06
  8.068480e-02    3.927625e-06
  8.098373e-02    3.920032e-06
  8.128266e-02    3.906536e-06
  8.158159e-02    3.928174e-06
  8.188052e-02    3.886986e-06
  8.217945e-02    3.887728e-06
  8.247838e-02    3.915414e-06
  8.277731e-02    3.896196e-06
  8.307624e-02    3.888360e-06
  8.337518e-02    3.881773e-06
  8.367411e-02    3.863134e-06
  8.397304e-02    3.871325e-06
  8.427197e-02    3.864310e-06
