# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4404265.8
# --> MT-AL_F127_220228_fa7a130c-fa58-4363-a1ae-726fba990db8_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.105476e-03
  4.756484e-03    1.645550e-03
  5.055415e-03    1.148636e-03
  5.354345e-03    7.881760e-04
  5.653276e-03    5.924226e-04
  5.952206e-03    9.317692e-04
  6.251136e-03    8.487581e-04
  6.550067e-03    7.408336e-04
  6.848997e-03    6.339839e-04
  7.147927e-03    5.366885e-04
  7.446858e-03    4.585060e-04
  7.745788e-03    3.920190e-04
  8.044719e-03    3.383040e-04
  8.343649e-03    2.961270e-04
  8.642579e-03    2.596408e-04
  8.941510e-03    2.279812e-04
  9.240440e-03    2.017435e-04
  9.539371e-03    1.799212e-04
  9.838301e-03    1.606091e-04
  1.013723e-02    1.434996e-04
  1.043616e-02    1.295416e-04
  1.073509e-02    1.160376e-04
  1.103402e-02    1.046563e-04
  1.133295e-02    9.500467e-05
  1.163188e-02    8.675923e-05
  1.193081e-02    7.925661e-05
  1.222974e-02    7.249160e-05
  1.252867e-02    6.683594e-05
  1.282760e-02    6.150141e-05
  1.312654e-02    5.641792e-05
  1.342547e-02    5.216159e-05
  1.372440e-02    4.860018e-05
  1.402333e-02    4.525012e-05
  1.432226e-02    4.201848e-05
  1.462119e-02    3.917929e-05
  1.492012e-02    3.653726e-05
  1.521905e-02    3.413966e-05
  1.551798e-02    3.226887e-05
  1.581691e-02    3.030382e-05
  1.611584e-02    2.844016e-05
  1.641477e-02    2.696114e-05
  1.671370e-02    2.556064e-05
  1.701263e-02    2.392185e-05
  1.731156e-02    2.271149e-05
  1.761049e-02    2.155241e-05
  1.790942e-02    2.050141e-05
  1.820835e-02    1.960431e-05
  1.850728e-02    1.867420e-05
  1.880621e-02    1.795401e-05
  1.910514e-02    1.723686e-05
  1.940407e-02    1.646860e-05
  1.970300e-02    1.581817e-05
  2.000193e-02    1.530499e-05
  2.030086e-02    1.465772e-05
  2.059979e-02    1.408875e-05
  2.089873e-02    1.369477e-05
  2.119766e-02    1.311090e-05
  2.149659e-02    1.263267e-05
  2.179552e-02    1.239387e-05
  2.209445e-02    1.202211e-05
  2.239338e-02    1.164388e-05
  2.269231e-02    1.142382e-05
  2.299124e-02    1.122962e-05
  2.329017e-02    1.082791e-05
  2.358910e-02    1.061756e-05
  2.388803e-02    1.034121e-05
  2.418696e-02    1.005991e-05
  2.448589e-02    9.817701e-06
  2.478482e-02    9.613938e-06
  2.508375e-02    9.441423e-06
  2.538268e-02    9.313275e-06
  2.568161e-02    9.096031e-06
  2.598054e-02    8.947984e-06
  2.627947e-02    8.869282e-06
  2.657840e-02    8.712214e-06
  2.687733e-02    8.491120e-06
  2.717626e-02    8.428245e-06
  2.747519e-02    8.283669e-06
  2.777412e-02    8.118996e-06
  2.807305e-02    8.102512e-06
  2.837198e-02    8.097983e-06
  2.867092e-02    7.997783e-06
  2.896985e-02    7.765016e-06
  2.926878e-02    7.627920e-06
  2.956771e-02    7.657281e-06
  2.986664e-02    7.617246e-06
  3.016557e-02    7.504918e-06
  3.046450e-02    7.459295e-06
  3.076343e-02    7.219585e-06
  3.106236e-02    7.182640e-06
  3.136129e-02    7.116171e-06
  3.166022e-02    7.021998e-06
  3.195915e-02    6.995204e-06
  3.225808e-02    6.947360e-06
  3.255701e-02    6.893442e-06
  3.285594e-02    6.774962e-06
  3.315487e-02    6.755009e-06
  3.345380e-02    6.664960e-06
  3.375273e-02    6.606870e-06
  3.405166e-02    6.609744e-06
  3.435059e-02    6.534875e-06
  3.464952e-02    6.433528e-06
  3.494845e-02    6.365900e-06
  3.524738e-02    6.286119e-06
  3.554631e-02    6.267652e-06
  3.584524e-02    6.159150e-06
  3.614417e-02    6.050561e-06
  3.644310e-02    6.027689e-06
  3.674204e-02    5.976096e-06
  3.704097e-02    5.940185e-06
  3.733990e-02    5.900415e-06
  3.763883e-02    5.861106e-06
  3.793776e-02    5.751259e-06
  3.823669e-02    5.685529e-06
  3.853562e-02    5.706691e-06
  3.883455e-02    5.639893e-06
  3.913348e-02    5.613615e-06
  3.943241e-02    5.598126e-06
  3.973134e-02    5.534895e-06
  4.003027e-02    5.515119e-06
  4.032920e-02    5.469705e-06
  4.062813e-02    5.451078e-06
  4.092706e-02    5.426914e-06
  4.122599e-02    5.396010e-06
  4.152492e-02    5.368423e-06
  4.182385e-02    5.273783e-06
  4.212278e-02    5.263790e-06
  4.242171e-02    5.257274e-06
  4.272064e-02    5.263751e-06
  4.301957e-02    5.274866e-06
  4.331850e-02    5.214430e-06
  4.361743e-02    5.218633e-06
  4.391636e-02    5.206530e-06
  4.421529e-02    5.148767e-06
  4.451423e-02    5.166808e-06
  4.481316e-02    5.092490e-06
  4.511209e-02    5.106197e-06
  4.541102e-02    5.153754e-06
