# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 25402671.200000003
# --> MT-AL_F127_220301_00482563-006d-4c5d-8eba-a98a032fecea_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.705402e-03
  4.756484e-03    1.347803e-03
  5.055415e-03    9.754549e-04
  5.354345e-03    6.964167e-04
  5.653276e-03    5.482170e-04
  5.952206e-03    8.976543e-04
  6.251136e-03    8.129690e-04
  6.550067e-03    6.995003e-04
  6.848997e-03    5.912189e-04
  7.147927e-03    4.984472e-04
  7.446858e-03    4.254045e-04
  7.745788e-03    3.655197e-04
  8.044719e-03    3.147696e-04
  8.343649e-03    2.746981e-04
  8.642579e-03    2.402030e-04
  8.941510e-03    2.113157e-04
  9.240440e-03    1.874668e-04
  9.539371e-03    1.662774e-04
  9.838301e-03    1.482286e-04
  1.013723e-02    1.330216e-04
  1.043616e-02    1.195418e-04
  1.073509e-02    1.078220e-04
  1.103402e-02    9.800572e-05
  1.133295e-02    8.880746e-05
  1.163188e-02    8.096023e-05
  1.193081e-02    7.400550e-05
  1.222974e-02    6.771863e-05
  1.252867e-02    6.235571e-05
  1.282760e-02    5.750074e-05
  1.312654e-02    5.298763e-05
  1.342547e-02    4.902705e-05
  1.372440e-02    4.543187e-05
  1.402333e-02    4.232062e-05
  1.432226e-02    3.938881e-05
  1.462119e-02    3.674558e-05
  1.492012e-02    3.437251e-05
  1.521905e-02    3.213609e-05
