# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1593619.5999999999
# --> MT-AL_F127_220301_04c3083e-c2c8-4f60-a7e5-5568979a8a1d_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    6.902403e-03
  4.756484e-03    5.351695e-03
  5.055415e-03    3.765283e-03
  5.354345e-03    2.615209e-03
  5.653276e-03    1.969050e-03
  5.952206e-03    3.068771e-03
  6.251136e-03    2.815419e-03
  6.550067e-03    2.458659e-03
  6.848997e-03    2.096473e-03
  7.147927e-03    1.772810e-03
  7.446858e-03    1.520067e-03
  7.745788e-03    1.303267e-03
  8.044719e-03    1.119772e-03
  8.343649e-03    9.775980e-04
  8.642579e-03    8.548935e-04
  8.941510e-03    7.504575e-04
  9.240440e-03    6.650061e-04
  9.539371e-03    5.925347e-04
  9.838301e-03    5.271683e-04
  1.013723e-02    4.723953e-04
  1.043616e-02    4.242584e-04
  1.073509e-02    3.806697e-04
  1.103402e-02    3.433485e-04
  1.133295e-02    3.132007e-04
  1.163188e-02    2.875661e-04
  1.193081e-02    2.617099e-04
  1.222974e-02    2.379433e-04
  1.252867e-02    2.188858e-04
  1.282760e-02    2.015922e-04
  1.312654e-02    1.865855e-04
  1.342547e-02    1.724696e-04
  1.372440e-02    1.593199e-04
  1.402333e-02    1.484738e-04
  1.432226e-02    1.384739e-04
  1.462119e-02    1.284725e-04
  1.492012e-02    1.197709e-04
  1.521905e-02    1.121428e-04
  1.551798e-02    1.055428e-04
  1.581691e-02    9.906452e-05
  1.611584e-02    9.267829e-05
  1.641477e-02    8.809339e-05
  1.671370e-02    8.307382e-05
  1.701263e-02    7.851714e-05
  1.731156e-02    7.452312e-05
