# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 23984700.2
# --> MT-AL_F127_220301_062de01b-9885-4991-9b11-0b62b4440159_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.828185e-03
  4.756484e-03    1.458615e-03
  5.055415e-03    1.065109e-03
  5.354345e-03    7.723403e-04
  5.653276e-03    6.130421e-04
  5.952206e-03    9.797724e-04
  6.251136e-03    8.901946e-04
  6.550067e-03    7.700620e-04
  6.848997e-03    6.521100e-04
  7.147927e-03    5.513825e-04
  7.446858e-03    4.717651e-04
  7.745788e-03    4.060039e-04
  8.044719e-03    3.508894e-04
  8.343649e-03    3.064889e-04
  8.642579e-03    2.686786e-04
  8.941510e-03    2.372382e-04
  9.240440e-03    2.104039e-04
  9.539371e-03    1.867673e-04
  9.838301e-03    1.664513e-04
  1.013723e-02    1.494209e-04
  1.043616e-02    1.344227e-04
  1.073509e-02    1.207776e-04
  1.103402e-02    1.094124e-04
  1.133295e-02    9.918067e-05
  1.163188e-02    9.043805e-05
  1.193081e-02    8.272249e-05
  1.222974e-02    7.559639e-05
  1.252867e-02    6.943935e-05
  1.282760e-02    6.398337e-05
  1.312654e-02    5.893005e-05
  1.342547e-02    5.444264e-05
  1.372440e-02    5.038176e-05
  1.402333e-02    4.679010e-05
  1.432226e-02    4.354427e-05
  1.462119e-02    4.060248e-05
  1.492012e-02    3.792307e-05
  1.521905e-02    3.540111e-05
  1.551798e-02    3.314600e-05
  1.581691e-02    3.114008e-05
  1.611584e-02    2.935129e-05
  1.641477e-02    2.766807e-05
  1.671370e-02    2.602817e-05
  1.701263e-02    2.452026e-05
  1.731156e-02    2.321421e-05
  1.761049e-02    2.205080e-05
  1.790942e-02    2.094708e-05
  1.820835e-02    1.991734e-05
  1.850728e-02    1.896947e-05
  1.880621e-02    1.817025e-05
  1.910514e-02    1.738368e-05
  1.940407e-02    1.666230e-05
  1.970300e-02    1.595370e-05
  2.000193e-02    1.530767e-05
  2.030086e-02    1.474768e-05
  2.059979e-02    1.422510e-05
  2.089873e-02    1.373312e-05
  2.119766e-02    1.327551e-05
  2.149659e-02    1.281487e-05
  2.179552e-02    1.240971e-05
  2.209445e-02    1.203246e-05
