# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 26497516.400000002
# --> MT-AL_F127_220301_19d91f89-8d36-4a06-9a4a-8378a2731e48_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.784124e-03
  4.756484e-03    1.418016e-03
  5.055415e-03    1.034908e-03
  5.354345e-03    7.465500e-04
  5.653276e-03    5.883468e-04
  5.952206e-03    9.456579e-04
  6.251136e-03    8.565717e-04
  6.550067e-03    7.372603e-04
  6.848997e-03    6.216620e-04
  7.147927e-03    5.246075e-04
  7.446858e-03    4.485314e-04
  7.745788e-03    3.856581e-04
  8.044719e-03    3.333340e-04
  8.343649e-03    2.912523e-04
  8.642579e-03    2.548319e-04
  8.941510e-03    2.245015e-04
  9.240440e-03    1.991491e-04
  9.539371e-03    1.768430e-04
  9.838301e-03    1.578362e-04
  1.013723e-02    1.419231e-04
  1.043616e-02    1.279562e-04
  1.073509e-02    1.152028e-04
  1.103402e-02    1.044945e-04
  1.133295e-02    9.489702e-05
  1.163188e-02    8.648895e-05
  1.193081e-02    7.908200e-05
  1.222974e-02    7.259607e-05
  1.252867e-02    6.676329e-05
  1.282760e-02    6.140515e-05
  1.312654e-02    5.660105e-05
  1.342547e-02    5.247358e-05
  1.372440e-02    4.854816e-05
  1.402333e-02    4.510995e-05
  1.432226e-02    4.205873e-05
  1.462119e-02    3.923646e-05
  1.492012e-02    3.673200e-05
  1.521905e-02    3.434380e-05
  1.551798e-02    3.225395e-05
  1.581691e-02    3.034714e-05
  1.611584e-02    2.863017e-05
  1.641477e-02    2.702324e-05
  1.671370e-02    2.544359e-05
  1.701263e-02    2.414298e-05
  1.731156e-02    2.293279e-05
  1.761049e-02    2.178798e-05
  1.790942e-02    2.073660e-05
  1.820835e-02    1.977864e-05
  1.850728e-02    1.889719e-05
  1.880621e-02    1.804385e-05
  1.910514e-02    1.726286e-05
  1.940407e-02    1.658896e-05
  1.970300e-02    1.588409e-05
  2.000193e-02    1.522214e-05
  2.030086e-02    1.465745e-05
  2.059979e-02    1.412795e-05
  2.089873e-02    1.363421e-05
  2.119766e-02    1.320349e-05
  2.149659e-02    1.275452e-05
  2.179552e-02    1.238161e-05
  2.209445e-02    1.198801e-05
  2.239338e-02    1.167313e-05
  2.269231e-02    1.134787e-05
  2.299124e-02    1.103365e-05
  2.329017e-02    1.074119e-05
  2.358910e-02    1.045801e-05
  2.388803e-02    1.020083e-05
  2.418696e-02    9.936481e-06
  2.448589e-02    9.716021e-06
  2.478482e-02    9.463140e-06
  2.508375e-02    9.299058e-06
  2.538268e-02    9.137290e-06
  2.568161e-02    8.952576e-06
  2.598054e-02    8.783765e-06
  2.627947e-02    8.623633e-06
  2.657840e-02    8.499166e-06
  2.687733e-02    8.343242e-06
  2.717626e-02    8.182952e-06
  2.747519e-02    8.054618e-06
  2.777412e-02    7.942434e-06
  2.807305e-02    7.831506e-06
  2.837198e-02    7.737976e-06
  2.867092e-02    7.643628e-06
  2.896985e-02    7.559371e-06
  2.926878e-02    7.468769e-06
  2.956771e-02    7.342634e-06
  2.986664e-02    7.249278e-06
  3.016557e-02    7.155144e-06
  3.046450e-02    7.070299e-06
  3.076343e-02    7.007219e-06
  3.106236e-02    6.940032e-06
  3.136129e-02    6.871662e-06
  3.166022e-02    6.817854e-06
  3.195915e-02    6.723638e-06
  3.225808e-02    6.665771e-06
  3.255701e-02    6.594292e-06
  3.285594e-02    6.556385e-06
  3.315487e-02    6.506232e-06
  3.345380e-02    6.426447e-06
  3.375273e-02    6.372716e-06
  3.405166e-02    6.313409e-06
  3.435059e-02    6.258084e-06
  3.464952e-02    6.202907e-06
  3.494845e-02    6.149300e-06
  3.524738e-02    6.129245e-06
  3.554631e-02    6.089470e-06
  3.584524e-02    6.014677e-06
  3.614417e-02    5.965333e-06
  3.644310e-02    5.937450e-06
  3.674204e-02    5.901118e-06
  3.704097e-02    5.860374e-06
  3.733990e-02    5.809249e-06
  3.763883e-02    5.757149e-06
  3.793776e-02    5.715076e-06
  3.823669e-02    5.688722e-06
  3.853562e-02    5.643100e-06
  3.883455e-02    5.608199e-06
  3.913348e-02    5.582138e-06
  3.943241e-02    5.550040e-06
  3.973134e-02    5.520279e-06
  4.003027e-02    5.483580e-06
  4.032920e-02    5.466832e-06
  4.062813e-02    5.449454e-06
  4.092706e-02    5.434926e-06
  4.122599e-02    5.425064e-06
  4.152492e-02    5.387534e-06
  4.182385e-02    5.372917e-06
  4.212278e-02    5.351677e-06
  4.242171e-02    5.339639e-06
  4.272064e-02    5.304717e-06
  4.301957e-02    5.299573e-06
  4.331850e-02    5.284741e-06
  4.361743e-02    5.277735e-06
  4.391636e-02    5.273183e-06
  4.421529e-02    5.265278e-06
  4.451423e-02    5.269113e-06
  4.481316e-02    5.238956e-06
  4.511209e-02    5.212902e-06
  4.541102e-02    5.211572e-06
  4.570995e-02    5.200587e-06
  4.600888e-02    5.184208e-06
  4.630781e-02    5.202396e-06
  4.660674e-02    5.204876e-06
  4.690567e-02    5.166439e-06
  4.720460e-02    5.167504e-06
  4.750353e-02    5.188347e-06
  4.780246e-02    5.185760e-06
  4.810139e-02    5.182439e-06
  4.840032e-02    5.198918e-06
  4.869925e-02    5.180358e-06
  4.899818e-02    5.158034e-06
  4.929711e-02    5.166452e-06
  4.959604e-02    5.142222e-06
  4.989497e-02    5.134370e-06
  5.019390e-02    5.150734e-06
  5.049283e-02    5.176800e-06
  5.079176e-02    5.183438e-06
  5.109069e-02    5.182479e-06
  5.138962e-02    5.198010e-06
  5.168855e-02    5.258551e-06
  5.198748e-02    5.314853e-06
  5.228642e-02    5.282567e-06
  5.258535e-02    5.195106e-06
  5.288428e-02    5.155164e-06
  5.318321e-02    5.161964e-06
  5.348214e-02    5.137809e-06
  5.378107e-02    5.145303e-06
  5.408000e-02    5.149900e-06
  5.437893e-02    5.149206e-06
  5.467786e-02    5.158105e-06
  5.497679e-02    5.144859e-06
  5.527572e-02    5.162166e-06
  5.557465e-02    5.174084e-06
  5.587358e-02    5.172875e-06
  5.617251e-02    5.187835e-06
  5.647144e-02    5.188846e-06
  5.677037e-02    5.189707e-06
  5.706930e-02    5.179550e-06
  5.736823e-02    5.195419e-06
  5.766716e-02    5.210788e-06
  5.796609e-02    5.213273e-06
  5.826502e-02    5.200755e-06
  5.856395e-02    5.199275e-06
  5.886288e-02    5.215029e-06
  5.916181e-02    5.221795e-06
  5.946074e-02    5.230714e-06
  5.975967e-02    5.224793e-06
  6.005861e-02    5.263621e-06
  6.035754e-02    5.264310e-06
  6.065647e-02    5.264522e-06
  6.095540e-02    5.300987e-06
  6.125433e-02    5.369915e-06
  6.155326e-02    5.401121e-06
  6.185219e-02    5.347835e-06
  6.215112e-02    5.323111e-06
  6.245005e-02    5.296486e-06
  6.274898e-02    5.310632e-06
  6.304791e-02    5.306209e-06
  6.334684e-02    5.316734e-06
  6.364577e-02    5.334294e-06
  6.394470e-02    5.354983e-06
  6.424363e-02    5.353560e-06
  6.454256e-02    5.369499e-06
  6.484149e-02    5.383153e-06
  6.514042e-02    5.383657e-06
  6.543935e-02    5.400295e-06
  6.573828e-02    5.401205e-06
  6.603721e-02    5.411830e-06
  6.633614e-02    5.400959e-06
  6.663507e-02    5.400157e-06
  6.693400e-02    5.424914e-06
  6.723293e-02    5.433856e-06
  6.753186e-02    5.440514e-06
  6.783080e-02    5.454380e-06
  6.812973e-02    5.458675e-06
  6.842866e-02    5.482281e-06
  6.872759e-02    5.496406e-06
  6.902652e-02    5.479036e-06
  6.932545e-02    5.480509e-06
  6.962438e-02    5.495468e-06
  6.992331e-02    5.518190e-06
  7.022224e-02    5.516640e-06
  7.052117e-02    5.528083e-06
  7.082010e-02    5.542016e-06
  7.111903e-02    5.535560e-06
  7.141796e-02    5.550260e-06
  7.171689e-02    5.551288e-06
  7.201582e-02    5.558611e-06
  7.231475e-02    5.558435e-06
  7.261368e-02    5.541700e-06
  7.291261e-02    5.556020e-06
  7.321154e-02    5.574722e-06
  7.351047e-02    5.591169e-06
  7.380940e-02    5.589023e-06
  7.410833e-02    5.584460e-06
  7.440726e-02    5.596764e-06
  7.470619e-02    5.589594e-06
  7.500512e-02    5.589498e-06
  7.530405e-02    5.591080e-06
  7.560299e-02    5.585081e-06
  7.590192e-02    5.570888e-06
  7.620085e-02    5.582304e-06
  7.649978e-02    5.596624e-06
  7.679871e-02    5.610264e-06
  7.709764e-02    5.588017e-06
  7.739657e-02    5.586882e-06
  7.769550e-02    5.601552e-06
  7.799443e-02    5.600190e-06
  7.829336e-02    5.603887e-06
  7.859229e-02    5.581525e-06
  7.889122e-02    5.581064e-06
  7.919015e-02    5.584985e-06
  7.948908e-02    5.556791e-06
  7.978801e-02    5.579823e-06
  8.008694e-02    5.582812e-06
  8.038587e-02    5.590033e-06
  8.068480e-02    5.584026e-06
  8.098373e-02    5.582640e-06
  8.128266e-02    5.584935e-06
  8.158159e-02    5.566084e-06
  8.188052e-02    5.563380e-06
  8.217945e-02    5.552587e-06
  8.247838e-02    5.540068e-06
  8.277731e-02    5.532832e-06
  8.307624e-02    5.562992e-06
  8.337518e-02    5.543077e-06
  8.367411e-02    5.507358e-06
  8.397304e-02    5.506070e-06
  8.427197e-02    5.520876e-06
  8.457090e-02    5.512990e-06
  8.486983e-02    5.487672e-06
  8.516876e-02    5.492991e-06
  8.546769e-02    5.484147e-06
  8.576662e-02    5.476839e-06
  8.606555e-02    5.456273e-06
  8.636448e-02    5.464356e-06
  8.666341e-02    5.475270e-06
  8.696234e-02    5.473879e-06
  8.726127e-02    5.450688e-06
  8.756020e-02    5.444825e-06
  8.785913e-02    5.423058e-06
  8.815806e-02    5.410868e-06
  8.845699e-02    5.407699e-06
  8.875592e-02    5.417555e-06
  8.905485e-02    5.400589e-06
  8.935378e-02    5.389336e-06
  8.965271e-02    5.372734e-06
  8.995164e-02    5.361983e-06
  9.025057e-02    5.356237e-06
  9.054950e-02    5.345504e-06
  9.084843e-02    5.339316e-06
  9.114737e-02    5.336509e-06
  9.144630e-02    5.321588e-06
  9.174523e-02    5.309274e-06
  9.204416e-02    5.302322e-06
  9.234309e-02    5.302714e-06
  9.264202e-02    5.290150e-06
  9.294095e-02    5.275191e-06
  9.323988e-02    5.255883e-06
  9.353881e-02    5.248440e-06
  9.383774e-02    5.237832e-06
  9.413667e-02    5.235322e-06
  9.443560e-02    5.233986e-06
  9.473453e-02    5.236142e-06
  9.503346e-02    5.215319e-06
  9.533239e-02    5.204597e-06
  9.563132e-02    5.195474e-06
  9.593025e-02    5.184256e-06
  9.622918e-02    5.195101e-06
  9.652811e-02    5.190888e-06
  9.682704e-02    5.187077e-06
  9.712597e-02    5.177245e-06
  9.742490e-02    5.159212e-06
  9.772383e-02    5.149420e-06
  9.802276e-02    5.140159e-06
  9.832169e-02    5.118317e-06
  9.862062e-02    5.097546e-06
  9.891956e-02    5.084139e-06
  9.921849e-02    5.078610e-06
  9.951742e-02    5.062294e-06
  9.981635e-02    5.041335e-06
  1.001153e-01    5.036747e-06
  1.004142e-01    5.026481e-06
  1.007131e-01    5.024420e-06
  1.010121e-01    5.015804e-06
  1.013110e-01    4.994560e-06
  1.016099e-01    4.995157e-06
  1.019089e-01    4.993741e-06
  1.022078e-01    4.981091e-06
  1.025067e-01    4.964726e-06
  1.028057e-01    4.954838e-06
  1.031046e-01    4.938008e-06
  1.034035e-01    4.927852e-06
  1.037024e-01    4.933232e-06
  1.040014e-01    4.927776e-06
  1.043003e-01    4.907555e-06
  1.045992e-01    4.896463e-06
  1.048982e-01    4.886580e-06
  1.051971e-01    4.868005e-06
  1.054960e-01    4.847174e-06
  1.057950e-01    4.852329e-06
  1.060939e-01    4.828441e-06
  1.063928e-01    4.824271e-06
  1.066917e-01    4.840734e-06
  1.069907e-01    4.827507e-06
  1.072896e-01    4.805114e-06
  1.075885e-01    4.789898e-06
  1.078875e-01    4.772628e-06
  1.081864e-01    4.777242e-06
  1.084853e-01    4.776053e-06
  1.087843e-01    4.772231e-06
  1.090832e-01    4.762539e-06
  1.093821e-01    4.733624e-06
  1.096810e-01    4.719506e-06
  1.099800e-01    4.709038e-06
  1.102789e-01    4.702767e-06
  1.105778e-01    4.683054e-06
  1.108768e-01    4.669930e-06
  1.111757e-01    4.644939e-06
  1.114746e-01    4.630352e-06
  1.117736e-01    4.620720e-06
  1.120725e-01    4.605312e-06
  1.123714e-01    4.621820e-06
  1.126704e-01    4.622054e-06
  1.129693e-01    4.594381e-06
  1.132682e-01    4.568541e-06
  1.135671e-01    4.561295e-06
  1.138661e-01    4.588788e-06
  1.141650e-01    4.598005e-06
  1.144639e-01    4.581756e-06
  1.147629e-01    4.554374e-06
  1.150618e-01    4.521653e-06
  1.153607e-01    4.553379e-06
  1.156597e-01    4.547600e-06
  1.159586e-01    4.540273e-06
  1.162575e-01    4.545549e-06
  1.165564e-01    4.530163e-06
  1.168554e-01    4.485681e-06
  1.171543e-01    4.487764e-06
  1.174532e-01    4.516051e-06
  1.177522e-01    4.508535e-06
  1.180511e-01    4.504575e-06
  1.183500e-01    4.495526e-06
  1.186490e-01    4.499270e-06
  1.189479e-01    4.481764e-06
  1.192468e-01    4.452223e-06
  1.195458e-01    4.435818e-06
  1.198447e-01    4.501029e-06
  1.201436e-01    4.494797e-06
  1.204425e-01    4.296949e-06
  1.207415e-01    3.993651e-06
  1.210404e-01    3.739584e-06
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
