# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 26081802.6
# --> MT-AL_F127_220301_21f5b60a-a342-4e72-9228-4184ff21cca2_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.750143e-03
  4.756484e-03    1.378665e-03
  5.055415e-03    9.986603e-04
  5.354345e-03    7.164718e-04
  5.653276e-03    5.660899e-04
  5.952206e-03    9.111422e-04
  6.251136e-03    8.259533e-04
  6.550067e-03    7.110371e-04
  6.848997e-03    6.014543e-04
  7.147927e-03    5.078326e-04
  7.446858e-03    4.333409e-04
  7.745788e-03    3.722397e-04
  8.044719e-03    3.218219e-04
  8.343649e-03    2.813632e-04
  8.642579e-03    2.461113e-04
  8.941510e-03    2.166517e-04
  9.240440e-03    1.921182e-04
  9.539371e-03    1.707487e-04
  9.838301e-03    1.521773e-04
  1.013723e-02    1.366335e-04
  1.043616e-02    1.231963e-04
  1.073509e-02    1.108790e-04
  1.103402e-02    1.003452e-04
  1.133295e-02    9.111645e-05
  1.163188e-02    8.303980e-05
  1.193081e-02    7.601301e-05
  1.222974e-02    6.969596e-05
  1.252867e-02    6.395853e-05
  1.282760e-02    5.895846e-05
  1.312654e-02    5.455972e-05
  1.342547e-02    5.037378e-05
  1.372440e-02    4.671788e-05
  1.402333e-02    4.346501e-05
  1.432226e-02    4.045706e-05
  1.462119e-02    3.765355e-05
  1.492012e-02    3.524174e-05
  1.521905e-02    3.304136e-05
  1.551798e-02    3.100261e-05
  1.581691e-02    2.916776e-05
  1.611584e-02    2.740426e-05
  1.641477e-02    2.584184e-05
  1.671370e-02    2.447347e-05
  1.701263e-02    2.315675e-05
  1.731156e-02    2.199805e-05
  1.761049e-02    2.095071e-05
  1.790942e-02    1.993446e-05
