# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5257781.8
# --> MT-AL_F127_220301_39c3e499-ca6c-46a4-a90a-002a60ae06cb_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.147444e-03
  4.756484e-03    1.656209e-03
  5.055415e-03    1.159490e-03
  5.354345e-03    8.022861e-04
  5.653276e-03    6.049961e-04
  5.952206e-03    9.576718e-04
  6.251136e-03    8.760099e-04
  6.550067e-03    7.617093e-04
  6.848997e-03    6.498965e-04
  7.147927e-03    5.529627e-04
  7.446858e-03    4.721931e-04
  7.745788e-03    4.052721e-04
  8.044719e-03    3.484822e-04
  8.343649e-03    3.031664e-04
  8.642579e-03    2.648626e-04
  8.941510e-03    2.328220e-04
  9.240440e-03    2.058520e-04
  9.539371e-03    1.829574e-04
  9.838301e-03    1.635328e-04
  1.013723e-02    1.463067e-04
  1.043616e-02    1.311764e-04
  1.073509e-02    1.176759e-04
  1.103402e-02    1.068206e-04
  1.133295e-02    9.706862e-05
  1.163188e-02    8.834568e-05
  1.193081e-02    8.052631e-05
  1.222974e-02    7.367363e-05
  1.252867e-02    6.771062e-05
  1.282760e-02    6.254704e-05
  1.312654e-02    5.742120e-05
  1.342547e-02    5.306278e-05
  1.372440e-02    4.908962e-05
  1.402333e-02    4.569574e-05
  1.432226e-02    4.246867e-05
  1.462119e-02    3.964797e-05
  1.492012e-02    3.712915e-05
  1.521905e-02    3.461254e-05
  1.551798e-02    3.262049e-05
  1.581691e-02    3.067750e-05
  1.611584e-02    2.871437e-05
  1.641477e-02    2.717548e-05
  1.671370e-02    2.575541e-05
  1.701263e-02    2.422083e-05
  1.731156e-02    2.287023e-05
  1.761049e-02    2.187223e-05
  1.790942e-02    2.075527e-05
  1.820835e-02    1.987869e-05
  1.850728e-02    1.906488e-05
  1.880621e-02    1.808579e-05
  1.910514e-02    1.724227e-05
  1.940407e-02    1.656203e-05
  1.970300e-02    1.603094e-05
  2.000193e-02    1.557805e-05
  2.030086e-02    1.494388e-05
  2.059979e-02    1.435329e-05
  2.089873e-02    1.389786e-05
  2.119766e-02    1.348125e-05
  2.149659e-02    1.296474e-05
  2.179552e-02    1.256548e-05
  2.209445e-02    1.217551e-05
  2.239338e-02    1.175639e-05
  2.269231e-02    1.147901e-05
  2.299124e-02    1.119477e-05
  2.329017e-02    1.097120e-05
  2.358910e-02    1.073487e-05
  2.388803e-02    1.042995e-05
  2.418696e-02    1.021498e-05
  2.448589e-02    1.001286e-05
  2.478482e-02    9.807051e-06
  2.508375e-02    9.629895e-06
  2.538268e-02    9.450283e-06
  2.568161e-02    9.326865e-06
  2.598054e-02    9.091742e-06
  2.627947e-02    8.938973e-06
  2.657840e-02    8.889258e-06
  2.687733e-02    8.732249e-06
  2.717626e-02    8.508418e-06
  2.747519e-02    8.405734e-06
  2.777412e-02    8.401534e-06
  2.807305e-02    8.217940e-06
  2.837198e-02    7.983290e-06
  2.867092e-02    7.957359e-06
  2.896985e-02    7.883394e-06
  2.926878e-02    7.755284e-06
  2.956771e-02    7.677453e-06
  2.986664e-02    7.618425e-06
  3.016557e-02    7.547088e-06
  3.046450e-02    7.433912e-06
  3.076343e-02    7.454556e-06
  3.106236e-02    7.381423e-06
  3.136129e-02    7.261472e-06
  3.166022e-02    7.203452e-06
  3.195915e-02    7.144826e-06
  3.225808e-02    7.062220e-06
  3.255701e-02    7.047282e-06
  3.285594e-02    6.988354e-06
  3.315487e-02    6.834391e-06
  3.345380e-02    6.779818e-06
  3.375273e-02    6.739346e-06
  3.405166e-02    6.653147e-06
  3.435059e-02    6.519368e-06
  3.464952e-02    6.507176e-06
  3.494845e-02    6.520557e-06
  3.524738e-02    6.410375e-06
  3.554631e-02    6.296012e-06
  3.584524e-02    6.282352e-06
  3.614417e-02    6.168522e-06
  3.644310e-02    6.159258e-06
  3.674204e-02    6.179976e-06
  3.704097e-02    6.088960e-06
  3.733990e-02    6.045089e-06
  3.763883e-02    6.003917e-06
  3.793776e-02    5.951994e-06
  3.823669e-02    5.940625e-06
  3.853562e-02    5.884369e-06
  3.883455e-02    5.798644e-06
  3.913348e-02    5.774446e-06
  3.943241e-02    5.737820e-06
  3.973134e-02    5.704298e-06
  4.003027e-02    5.649546e-06
  4.032920e-02    5.573981e-06
  4.062813e-02    5.570453e-06
  4.092706e-02    5.565961e-06
  4.122599e-02    5.535826e-06
  4.152492e-02    5.486480e-06
  4.182385e-02    5.441646e-06
  4.212278e-02    5.428844e-06
  4.242171e-02    5.422185e-06
  4.272064e-02    5.417523e-06
  4.301957e-02    5.375026e-06
  4.331850e-02    5.368195e-06
  4.361743e-02    5.383936e-06
  4.391636e-02    5.347175e-06
  4.421529e-02    5.307361e-06
  4.451423e-02    5.323769e-06
  4.481316e-02    5.352264e-06
  4.511209e-02    5.314779e-06
  4.541102e-02    5.282548e-06
  4.570995e-02    5.301378e-06
  4.600888e-02    5.257391e-06
  4.630781e-02    5.210206e-06
  4.660674e-02    5.222298e-06
  4.690567e-02    5.241457e-06
  4.720460e-02    5.260481e-06
  4.750353e-02    5.241192e-06
  4.780246e-02    5.250666e-06
  4.810139e-02    5.220776e-06
  4.840032e-02    5.194978e-06
  4.869925e-02    5.166572e-06
  4.899818e-02    5.177020e-06
  4.929711e-02    5.164582e-06
  4.959604e-02    5.150236e-06
  4.989497e-02    5.167014e-06
  5.019390e-02    5.207391e-06
  5.049283e-02    5.212605e-06
  5.079176e-02    5.211928e-06
  5.109069e-02    5.244213e-06
  5.138962e-02    5.319995e-06
  5.168855e-02    5.372059e-06
  5.198748e-02    5.471695e-06
  5.228642e-02    5.461163e-06
  5.258535e-02    5.239028e-06
  5.288428e-02    5.174823e-06
  5.318321e-02    5.181129e-06
  5.348214e-02    5.160803e-06
  5.378107e-02    5.125214e-06
  5.408000e-02    5.141713e-06
  5.437893e-02    5.167360e-06
  5.467786e-02    5.124624e-06
  5.497679e-02    5.120995e-06
  5.527572e-02    5.164894e-06
  5.557465e-02    5.153909e-06
  5.587358e-02    5.090983e-06
  5.617251e-02    5.155903e-06
  5.647144e-02    5.211702e-06
  5.677037e-02    5.189981e-06
  5.706930e-02    5.195367e-06
  5.736823e-02    5.220461e-06
  5.766716e-02    5.174586e-06
  5.796609e-02    5.158275e-06
  5.826502e-02    5.180073e-06
  5.856395e-02    5.178974e-06
  5.886288e-02    5.175839e-06
  5.916181e-02    5.176084e-06
  5.946074e-02    5.187625e-06
  5.975967e-02    5.169194e-06
  6.005861e-02    5.161581e-06
  6.035754e-02    5.199924e-06
  6.065647e-02    5.267152e-06
  6.095540e-02    5.326587e-06
  6.125433e-02    5.374920e-06
  6.155326e-02    5.424711e-06
  6.185219e-02    5.371864e-06
  6.215112e-02    5.320337e-06
  6.245005e-02    5.309934e-06
  6.274898e-02    5.252667e-06
  6.304791e-02    5.243651e-06
  6.334684e-02    5.268128e-06
  6.364577e-02    5.258773e-06
  6.394470e-02    5.261018e-06
  6.424363e-02    5.280194e-06
  6.454256e-02    5.304723e-06
  6.484149e-02    5.291682e-06
  6.514042e-02    5.302849e-06
  6.543935e-02    5.332938e-06
  6.573828e-02    5.318512e-06
  6.603721e-02    5.307651e-06
  6.633614e-02    5.327057e-06
  6.663507e-02    5.383873e-06
  6.693400e-02    5.398948e-06
  6.723293e-02    5.398505e-06
  6.753186e-02    5.373960e-06
  6.783080e-02    5.361842e-06
  6.812973e-02    5.388735e-06
  6.842866e-02    5.403864e-06
