# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3255368.8000000003
# --> MT-AL_F127_220301_3bd9cf54-a765-45d0-86ff-e96f9ae8b697_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.025705e-02
  4.756484e-03    8.101658e-03
  5.055415e-03    5.842533e-03
  5.354345e-03    4.166057e-03
  5.653276e-03    3.262400e-03
  5.952206e-03    5.377931e-03
  6.251136e-03    4.934879e-03
  6.550067e-03    4.292272e-03
  6.848997e-03    3.649081e-03
  7.147927e-03    3.079341e-03
  7.446858e-03    2.625377e-03
  7.745788e-03    2.246311e-03
  8.044719e-03    1.930212e-03
  8.343649e-03    1.680818e-03
  8.642579e-03    1.465141e-03
  8.941510e-03    1.283728e-03
  9.240440e-03    1.136557e-03
  9.539371e-03    1.008191e-03
  9.838301e-03    8.970965e-04
  1.013723e-02    8.037472e-04
  1.043616e-02    7.212173e-04
  1.073509e-02    6.454823e-04
  1.103402e-02    5.841276e-04
  1.133295e-02    5.292831e-04
  1.163188e-02    4.820007e-04
  1.193081e-02    4.405703e-04
  1.222974e-02    4.026288e-04
  1.252867e-02    3.690624e-04
  1.282760e-02    3.387812e-04
  1.312654e-02    3.131940e-04
  1.342547e-02    2.899542e-04
  1.372440e-02    2.679164e-04
  1.402333e-02    2.476209e-04
  1.432226e-02    2.297288e-04
  1.462119e-02    2.142048e-04
  1.492012e-02    2.004515e-04
  1.521905e-02    1.873933e-04
  1.551798e-02    1.752213e-04
  1.581691e-02    1.645982e-04
  1.611584e-02    1.548964e-04
  1.641477e-02    1.462369e-04
  1.671370e-02    1.379437e-04
  1.701263e-02    1.300728e-04
  1.731156e-02    1.227946e-04
  1.761049e-02    1.164261e-04
  1.790942e-02    1.107921e-04
  1.820835e-02    1.055316e-04
  1.850728e-02    1.009797e-04
  1.880621e-02    9.638163e-05
  1.910514e-02    9.189589e-05
  1.940407e-02    8.770399e-05
  1.970300e-02    8.433680e-05
  2.000193e-02    8.115612e-05
  2.030086e-02    7.799246e-05
  2.059979e-02    7.496803e-05
  2.089873e-02    7.256006e-05
  2.119766e-02    7.029835e-05
  2.149659e-02    6.779009e-05
