# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1731743.2000000002
# --> MT-AL_F127_220301_3e612500-a98f-400e-8c11-285eaaf0fdca_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    7.883030e-03
  4.756484e-03    6.081411e-03
  5.055415e-03    4.268871e-03
  5.354345e-03    2.971999e-03
  5.653276e-03    2.252940e-03
  5.952206e-03    3.560714e-03
  6.251136e-03    3.263418e-03
  6.550067e-03    2.849073e-03
  6.848997e-03    2.432874e-03
  7.147927e-03    2.058892e-03
  7.446858e-03    1.758778e-03
  7.745788e-03    1.505278e-03
  8.044719e-03    1.296702e-03
  8.343649e-03    1.129966e-03
  8.642579e-03    9.901159e-04
  8.941510e-03    8.718711e-04
  9.240440e-03    7.730516e-04
  9.539371e-03    6.875695e-04
  9.838301e-03    6.118132e-04
  1.013723e-02    5.462333e-04
  1.043616e-02    4.910808e-04
  1.073509e-02    4.422790e-04
  1.103402e-02    4.002082e-04
  1.133295e-02    3.638689e-04
  1.163188e-02    3.312651e-04
  1.193081e-02    3.017504e-04
  1.222974e-02    2.757808e-04
  1.252867e-02    2.539079e-04
  1.282760e-02    2.339811e-04
  1.312654e-02    2.150413e-04
  1.342547e-02    1.993324e-04
  1.372440e-02    1.847156e-04
  1.402333e-02    1.708353e-04
  1.432226e-02    1.595205e-04
  1.462119e-02    1.490165e-04
  1.492012e-02    1.383774e-04
  1.521905e-02    1.294960e-04
  1.551798e-02    1.217917e-04
  1.581691e-02    1.148934e-04
  1.611584e-02    1.074605e-04
  1.641477e-02    1.013019e-04
  1.671370e-02    9.584344e-05
  1.701263e-02    9.021441e-05
  1.731156e-02    8.561332e-05
  1.761049e-02    8.164636e-05
  1.790942e-02    7.769748e-05
  1.820835e-02    7.409337e-05
  1.850728e-02    7.085126e-05
  1.880621e-02    6.767950e-05
  1.910514e-02    6.502069e-05
  1.940407e-02    6.252861e-05
  1.970300e-02    5.991145e-05
  2.000193e-02    5.764845e-05
  2.030086e-02    5.556599e-05
  2.059979e-02    5.342431e-05
  2.089873e-02    5.150164e-05
  2.119766e-02    4.953566e-05
  2.149659e-02    4.814607e-05
  2.179552e-02    4.685233e-05
  2.209445e-02    4.514954e-05
  2.239338e-02    4.373909e-05
  2.269231e-02    4.241107e-05
  2.299124e-02    4.106458e-05
  2.329017e-02    4.042446e-05
  2.358910e-02    3.963631e-05
  2.388803e-02    3.868563e-05
  2.418696e-02    3.757884e-05
  2.448589e-02    3.676494e-05
  2.478482e-02    3.608006e-05
  2.508375e-02    3.543061e-05
  2.538268e-02    3.505117e-05
  2.568161e-02    3.414152e-05
  2.598054e-02    3.342410e-05
  2.627947e-02    3.292217e-05
  2.657840e-02    3.231067e-05
  2.687733e-02    3.161822e-05
  2.717626e-02    3.155295e-05
  2.747519e-02    3.097770e-05
  2.777412e-02    3.047888e-05
  2.807305e-02    3.017774e-05
  2.837198e-02    2.991698e-05
  2.867092e-02    2.947428e-05
  2.896985e-02    2.902854e-05
  2.926878e-02    2.858774e-05
  2.956771e-02    2.819755e-05
  2.986664e-02    2.787609e-05
  3.016557e-02    2.782101e-05
  3.046450e-02    2.750538e-05
  3.076343e-02    2.726415e-05
  3.106236e-02    2.695230e-05
  3.136129e-02    2.652052e-05
  3.166022e-02    2.632942e-05
  3.195915e-02    2.626978e-05
  3.225808e-02    2.585945e-05
  3.255701e-02    2.571580e-05
  3.285594e-02    2.545197e-05
  3.315487e-02    2.506884e-05
  3.345380e-02    2.518251e-05
  3.375273e-02    2.465389e-05
  3.405166e-02    2.441724e-05
  3.435059e-02    2.432209e-05
  3.464952e-02    2.417909e-05
  3.494845e-02    2.383600e-05
  3.524738e-02    2.353684e-05
  3.554631e-02    2.320303e-05
  3.584524e-02    2.293123e-05
  3.614417e-02    2.290039e-05
  3.644310e-02    2.247329e-05
  3.674204e-02    2.215704e-05
  3.704097e-02    2.205416e-05
  3.733990e-02    2.195395e-05
  3.763883e-02    2.191979e-05
  3.793776e-02    2.173778e-05
