# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 14450601.0
# --> MT-AL_F127_220301_47f4ed54-d62a-44e0-b6a9-93cc51935121_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.847976e-03
  4.756484e-03    1.448343e-03
  5.055415e-03    1.023848e-03
  5.354345e-03    7.107260e-04
  5.653276e-03    5.492696e-04
  5.952206e-03    8.919628e-04
  6.251136e-03    8.143188e-04
  6.550067e-03    7.084410e-04
  6.848997e-03    6.025847e-04
  7.147927e-03    5.090433e-04
  7.446858e-03    4.339555e-04
  7.745788e-03    3.722591e-04
  8.044719e-03    3.203654e-04
  8.343649e-03    2.795549e-04
  8.642579e-03    2.443257e-04
  8.941510e-03    2.146156e-04
  9.240440e-03    1.906877e-04
  9.539371e-03    1.693306e-04
  9.838301e-03    1.504512e-04
  1.013723e-02    1.350188e-04
  1.043616e-02    1.215130e-04
  1.073509e-02    1.094078e-04
  1.103402e-02    9.916151e-05
  1.133295e-02    8.995811e-05
  1.163188e-02    8.201987e-05
  1.193081e-02    7.484869e-05
  1.222974e-02    6.855607e-05
  1.252867e-02    6.308560e-05
  1.282760e-02    5.812240e-05
  1.312654e-02    5.361652e-05
  1.342547e-02    4.971705e-05
  1.372440e-02    4.609811e-05
  1.402333e-02    4.280918e-05
  1.432226e-02    3.988308e-05
  1.462119e-02    3.713353e-05
  1.492012e-02    3.466004e-05
  1.521905e-02    3.259135e-05
  1.551798e-02    3.076772e-05
  1.581691e-02    2.880042e-05
  1.611584e-02    2.711960e-05
  1.641477e-02    2.554393e-05
  1.671370e-02    2.430868e-05
  1.701263e-02    2.311968e-05
  1.731156e-02    2.192626e-05
  1.761049e-02    2.082966e-05
  1.790942e-02    1.984825e-05
  1.820835e-02    1.889354e-05
  1.850728e-02    1.801010e-05
  1.880621e-02    1.731687e-05
  1.910514e-02    1.661290e-05
  1.940407e-02    1.588779e-05
  1.970300e-02    1.519829e-05
  2.000193e-02    1.467001e-05
  2.030086e-02    1.411593e-05
  2.059979e-02    1.363477e-05
  2.089873e-02    1.316404e-05
  2.119766e-02    1.281538e-05
  2.149659e-02    1.239807e-05
  2.179552e-02    1.198217e-05
  2.209445e-02    1.167123e-05
  2.239338e-02    1.128039e-05
  2.269231e-02    1.097006e-05
  2.299124e-02    1.069292e-05
  2.329017e-02    1.041218e-05
  2.358910e-02    1.019308e-05
  2.388803e-02    9.947343e-06
  2.418696e-02    9.676770e-06
  2.448589e-02    9.480494e-06
  2.478482e-02    9.302918e-06
  2.508375e-02    9.166133e-06
  2.538268e-02    9.016571e-06
  2.568161e-02    8.829620e-06
  2.598054e-02    8.652602e-06
  2.627947e-02    8.497977e-06
  2.657840e-02    8.372238e-06
  2.687733e-02    8.252581e-06
  2.717626e-02    8.153985e-06
  2.747519e-02    8.038081e-06
  2.777412e-02    7.944496e-06
  2.807305e-02    7.811837e-06
  2.837198e-02    7.662470e-06
  2.867092e-02    7.565582e-06
  2.896985e-02    7.503258e-06
  2.926878e-02    7.392521e-06
  2.956771e-02    7.315847e-06
  2.986664e-02    7.210318e-06
  3.016557e-02    7.136878e-06
  3.046450e-02    7.061940e-06
  3.076343e-02    7.036821e-06
  3.106236e-02    6.971891e-06
  3.136129e-02    6.894357e-06
  3.166022e-02    6.845993e-06
  3.195915e-02    6.791111e-06
  3.225808e-02    6.690942e-06
