# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3951674.7999999993
# --> MT-AL_F127_220301_4a6257c8-b181-43ac-8b7a-5bc7d0c50d5f_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.824847e-03
  4.756484e-03    4.564528e-03
  5.055415e-03    3.249743e-03
  5.354345e-03    2.254963e-03
  5.653276e-03    1.715491e-03
  5.952206e-03    2.729746e-03
  6.251136e-03    2.498653e-03
  6.550067e-03    2.175549e-03
  6.848997e-03    1.850482e-03
  7.147927e-03    1.566499e-03
  7.446858e-03    1.338103e-03
  7.745788e-03    1.148707e-03
  8.044719e-03    9.901298e-04
  8.343649e-03    8.636920e-04
  8.642579e-03    7.571392e-04
  8.941510e-03    6.664530e-04
  9.240440e-03    5.898047e-04
  9.539371e-03    5.228858e-04
  9.838301e-03    4.656559e-04
  1.013723e-02    4.168912e-04
  1.043616e-02    3.749513e-04
  1.073509e-02    3.369684e-04
  1.103402e-02    3.055896e-04
  1.133295e-02    2.777534e-04
  1.163188e-02    2.527848e-04
  1.193081e-02    2.310090e-04
  1.222974e-02    2.114607e-04
  1.252867e-02    1.937664e-04
  1.282760e-02    1.789325e-04
  1.312654e-02    1.655869e-04
  1.342547e-02    1.532713e-04
  1.372440e-02    1.422268e-04
  1.402333e-02    1.317337e-04
  1.432226e-02    1.224761e-04
  1.462119e-02    1.141505e-04
  1.492012e-02    1.065327e-04
  1.521905e-02    9.965411e-05
  1.551798e-02    9.355250e-05
  1.581691e-02    8.786759e-05
  1.611584e-02    8.254525e-05
  1.641477e-02    7.794943e-05
  1.671370e-02    7.382863e-05
  1.701263e-02    6.976274e-05
  1.731156e-02    6.611838e-05
  1.761049e-02    6.303404e-05
  1.790942e-02    6.027413e-05
  1.820835e-02    5.733859e-05
  1.850728e-02    5.454420e-05
  1.880621e-02    5.202541e-05
  1.910514e-02    4.999979e-05
  1.940407e-02    4.792064e-05
  1.970300e-02    4.610201e-05
  2.000193e-02    4.438128e-05
  2.030086e-02    4.285589e-05
  2.059979e-02    4.145502e-05
  2.089873e-02    3.975002e-05
  2.119766e-02    3.836289e-05
  2.149659e-02    3.721526e-05
  2.179552e-02    3.614959e-05
  2.209445e-02    3.511713e-05
  2.239338e-02    3.397830e-05
  2.269231e-02    3.302514e-05
  2.299124e-02    3.210095e-05
  2.329017e-02    3.142201e-05
  2.358910e-02    3.047860e-05
  2.388803e-02    2.971289e-05
  2.418696e-02    2.903559e-05
  2.448589e-02    2.833029e-05
  2.478482e-02    2.779217e-05
  2.508375e-02    2.712930e-05
  2.538268e-02    2.664905e-05
  2.568161e-02    2.619399e-05
  2.598054e-02    2.564769e-05
  2.627947e-02    2.547756e-05
  2.657840e-02    2.507671e-05
  2.687733e-02    2.448739e-05
  2.717626e-02    2.426309e-05
  2.747519e-02    2.400182e-05
  2.777412e-02    2.358984e-05
  2.807305e-02    2.319708e-05
  2.837198e-02    2.299878e-05
  2.867092e-02    2.261867e-05
  2.896985e-02    2.216753e-05
  2.926878e-02    2.200250e-05
  2.956771e-02    2.170906e-05
  2.986664e-02    2.145518e-05
  3.016557e-02    2.133447e-05
  3.046450e-02    2.113057e-05
  3.076343e-02    2.087507e-05
  3.106236e-02    2.073513e-05
  3.136129e-02    2.054761e-05
  3.166022e-02    2.011424e-05
  3.195915e-02    1.996568e-05
  3.225808e-02    1.976169e-05
  3.255701e-02    1.948516e-05
  3.285594e-02    1.933847e-05
  3.315487e-02    1.929168e-05
  3.345380e-02    1.919273e-05
  3.375273e-02    1.889646e-05
  3.405166e-02    1.861738e-05
  3.435059e-02    1.844503e-05
  3.464952e-02    1.832842e-05
  3.494845e-02    1.821964e-05
  3.524738e-02    1.812247e-05
  3.554631e-02    1.785435e-05
  3.584524e-02    1.775314e-05
  3.614417e-02    1.763855e-05
  3.644310e-02    1.736835e-05
  3.674204e-02    1.725621e-05
  3.704097e-02    1.714470e-05
  3.733990e-02    1.700292e-05
  3.763883e-02    1.676130e-05
  3.793776e-02    1.660413e-05
  3.823669e-02    1.670996e-05
  3.853562e-02    1.653124e-05
  3.883455e-02    1.640396e-05
  3.913348e-02    1.636342e-05
  3.943241e-02    1.608037e-05
  3.973134e-02    1.598849e-05
  4.003027e-02    1.594982e-05
  4.032920e-02    1.582139e-05
  4.062813e-02    1.582287e-05
  4.092706e-02    1.581063e-05
  4.122599e-02    1.574579e-05
  4.152492e-02    1.564250e-05
  4.182385e-02    1.551684e-05
  4.212278e-02    1.544460e-05
  4.242171e-02    1.533895e-05
  4.272064e-02    1.530081e-05
  4.301957e-02    1.521828e-05
  4.331850e-02    1.526077e-05
  4.361743e-02    1.525000e-05
  4.391636e-02    1.529494e-05
  4.421529e-02    1.527506e-05
  4.451423e-02    1.516328e-05
  4.481316e-02    1.516336e-05
  4.511209e-02    1.500993e-05
  4.541102e-02    1.490737e-05
  4.570995e-02    1.499559e-05
  4.600888e-02    1.503727e-05
  4.630781e-02    1.504664e-05
  4.660674e-02    1.496816e-05
  4.690567e-02    1.491256e-05
  4.720460e-02    1.495756e-05
  4.750353e-02    1.496299e-05
  4.780246e-02    1.491849e-05
  4.810139e-02    1.484661e-05
  4.840032e-02    1.483418e-05
  4.869925e-02    1.481721e-05
  4.899818e-02    1.481219e-05
  4.929711e-02    1.488391e-05
  4.959604e-02    1.489018e-05
  4.989497e-02    1.477558e-05
  5.019390e-02    1.480350e-05
  5.049283e-02    1.486441e-05
  5.079176e-02    1.483882e-05
  5.109069e-02    1.481829e-05
  5.138962e-02    1.491824e-05
  5.168855e-02    1.523508e-05
  5.198748e-02    1.549436e-05
  5.228642e-02    1.537791e-05
  5.258535e-02    1.492569e-05
  5.288428e-02    1.469098e-05
  5.318321e-02    1.469712e-05
  5.348214e-02    1.468157e-05
  5.378107e-02    1.466482e-05
  5.408000e-02    1.473008e-05
  5.437893e-02    1.475833e-05
  5.467786e-02    1.472573e-05
  5.497679e-02    1.467712e-05
  5.527572e-02    1.470526e-05
  5.557465e-02    1.477692e-05
  5.587358e-02    1.472479e-05
  5.617251e-02    1.465795e-05
  5.647144e-02    1.476371e-05
  5.677037e-02    1.482947e-05
  5.706930e-02    1.481373e-05
  5.736823e-02    1.474731e-05
  5.766716e-02    1.480244e-05
  5.796609e-02    1.484695e-05
  5.826502e-02    1.473847e-05
  5.856395e-02    1.481906e-05
  5.886288e-02    1.484316e-05
  5.916181e-02    1.483261e-05
  5.946074e-02    1.487017e-05
  5.975967e-02    1.487630e-05
  6.005861e-02    1.487724e-05
  6.035754e-02    1.490122e-05
  6.065647e-02    1.505320e-05
  6.095540e-02    1.516873e-05
  6.125433e-02    1.534072e-05
  6.155326e-02    1.544654e-05
  6.185219e-02    1.524931e-05
  6.215112e-02    1.510681e-05
  6.245005e-02    1.514486e-05
  6.274898e-02    1.514102e-05
  6.304791e-02    1.514295e-05
  6.334684e-02    1.520505e-05
  6.364577e-02    1.514886e-05
  6.394470e-02    1.513668e-05
  6.424363e-02    1.519847e-05
  6.454256e-02    1.519237e-05
  6.484149e-02    1.524510e-05
  6.514042e-02    1.520914e-05
  6.543935e-02    1.518163e-05
  6.573828e-02    1.526402e-05
  6.603721e-02    1.531855e-05
  6.633614e-02    1.528304e-05
  6.663507e-02    1.527598e-05
  6.693400e-02    1.539520e-05
  6.723293e-02    1.540404e-05
  6.753186e-02    1.535972e-05
  6.783080e-02    1.541791e-05
  6.812973e-02    1.548449e-05
  6.842866e-02    1.548343e-05
  6.872759e-02    1.548336e-05
  6.902652e-02    1.554526e-05
  6.932545e-02    1.557143e-05
  6.962438e-02    1.560739e-05
  6.992331e-02    1.556944e-05
  7.022224e-02    1.554175e-05
  7.052117e-02    1.554749e-05
  7.082010e-02    1.557839e-05
  7.111903e-02    1.567561e-05
  7.141796e-02    1.575210e-05
  7.171689e-02    1.577552e-05
  7.201582e-02    1.566747e-05
  7.231475e-02    1.565937e-05
  7.261368e-02    1.573397e-05
  7.291261e-02    1.579965e-05
  7.321154e-02    1.581679e-05
  7.351047e-02    1.570615e-05
  7.380940e-02    1.569641e-05
  7.410833e-02    1.572044e-05
  7.440726e-02    1.576335e-05
  7.470619e-02    1.579150e-05
  7.500512e-02    1.578011e-05
  7.530405e-02    1.576199e-05
  7.560299e-02    1.581642e-05
  7.590192e-02    1.588385e-05
  7.620085e-02    1.588123e-05
  7.649978e-02    1.582275e-05
  7.679871e-02    1.574272e-05
  7.709764e-02    1.576336e-05
  7.739657e-02    1.578419e-05
  7.769550e-02    1.569289e-05
  7.799443e-02    1.570054e-05
  7.829336e-02    1.573933e-05
  7.859229e-02    1.574940e-05
  7.889122e-02    1.565564e-05
  7.919015e-02    1.572209e-05
  7.948908e-02    1.571709e-05
  7.978801e-02    1.558112e-05
  8.008694e-02    1.565688e-05
  8.038587e-02    1.563443e-05
  8.068480e-02    1.566687e-05
  8.098373e-02    1.578045e-05
  8.128266e-02    1.570128e-05
  8.158159e-02    1.563922e-05
  8.188052e-02    1.562753e-05
  8.217945e-02    1.566409e-05
