# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2299405.6
# --> MT-AL_F127_220301_50af3998-d39d-4bb7-833e-4189677193c4_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.754306e-02
  4.756484e-03    1.374538e-02
  5.055415e-03    9.836240e-03
  5.354345e-03    7.024693e-03
  5.653276e-03    5.501825e-03
  5.952206e-03    8.868563e-03
  6.251136e-03    8.064451e-03
  6.550067e-03    6.978899e-03
  6.848997e-03    5.907763e-03
  7.147927e-03    4.978949e-03
  7.446858e-03    4.252570e-03
  7.745788e-03    3.649578e-03
  8.044719e-03    3.145828e-03
  8.343649e-03    2.747668e-03
  8.642579e-03    2.407147e-03
  8.941510e-03    2.117269e-03
  9.240440e-03    1.874827e-03
  9.539371e-03    1.667235e-03
  9.838301e-03    1.485670e-03
  1.013723e-02    1.329845e-03
  1.043616e-02    1.197688e-03
  1.073509e-02    1.077589e-03
  1.103402e-02    9.780055e-04
  1.133295e-02    8.882086e-04
  1.163188e-02    8.091762e-04
  1.193081e-02    7.389525e-04
  1.222974e-02    6.770623e-04
  1.252867e-02    6.235744e-04
  1.282760e-02    5.741642e-04
  1.312654e-02    5.295485e-04
  1.342547e-02    4.903197e-04
  1.372440e-02    4.557320e-04
  1.402333e-02    4.233529e-04
  1.432226e-02    3.936707e-04
  1.462119e-02    3.672887e-04
  1.492012e-02    3.436900e-04
  1.521905e-02    3.220685e-04
  1.551798e-02    3.028377e-04
  1.581691e-02    2.836252e-04
  1.611584e-02    2.675408e-04
  1.641477e-02    2.532747e-04
  1.671370e-02    2.387765e-04
  1.701263e-02    2.266231e-04
  1.731156e-02    2.152163e-04
  1.761049e-02    2.042946e-04
  1.790942e-02    1.938037e-04
  1.820835e-02    1.850493e-04
  1.850728e-02    1.780013e-04
  1.880621e-02    1.708112e-04
  1.910514e-02    1.632065e-04
  1.940407e-02    1.560156e-04
  1.970300e-02    1.498426e-04
  2.000193e-02    1.443956e-04
  2.030086e-02    1.391753e-04
  2.059979e-02    1.345770e-04
  2.089873e-02    1.300494e-04
  2.119766e-02    1.255877e-04
  2.149659e-02    1.212293e-04
  2.179552e-02    1.175419e-04
  2.209445e-02    1.142722e-04
  2.239338e-02    1.109349e-04
  2.269231e-02    1.076823e-04
  2.299124e-02    1.050203e-04
  2.329017e-02    1.023115e-04
  2.358910e-02    9.969338e-05
  2.388803e-02    9.684218e-05
  2.418696e-02    9.487429e-05
  2.448589e-02    9.295075e-05
  2.478482e-02    9.092958e-05
  2.508375e-02    8.920896e-05
  2.538268e-02    8.711390e-05
  2.568161e-02    8.564411e-05
  2.598054e-02    8.444641e-05
  2.627947e-02    8.281528e-05
  2.657840e-02    8.156241e-05
  2.687733e-02    8.006641e-05
  2.717626e-02    7.887269e-05
  2.747519e-02    7.784282e-05
  2.777412e-02    7.644814e-05
  2.807305e-02    7.534811e-05
  2.837198e-02    7.451745e-05
  2.867092e-02    7.332987e-05
  2.896985e-02    7.262692e-05
  2.926878e-02    7.165077e-05
  2.956771e-02    7.057097e-05
  2.986664e-02    6.986524e-05
  3.016557e-02    6.905277e-05
  3.046450e-02    6.827539e-05
  3.076343e-02    6.758556e-05
  3.106236e-02    6.707845e-05
  3.136129e-02    6.646434e-05
  3.166022e-02    6.585960e-05
  3.195915e-02    6.497512e-05
  3.225808e-02    6.461872e-05
  3.255701e-02    6.399141e-05
  3.285594e-02    6.316676e-05
  3.315487e-02    6.273365e-05
  3.345380e-02    6.231311e-05
  3.375273e-02    6.172695e-05
  3.405166e-02    6.161958e-05
  3.435059e-02    6.094946e-05
  3.464952e-02    6.043759e-05
  3.494845e-02    5.991964e-05
  3.524738e-02    5.933223e-05
  3.554631e-02    5.863352e-05
  3.584524e-02    5.812170e-05
  3.614417e-02    5.781405e-05
  3.644310e-02    5.746034e-05
  3.674204e-02    5.690902e-05
  3.704097e-02    5.657473e-05
  3.733990e-02    5.614259e-05
  3.763883e-02    5.578638e-05
  3.793776e-02    5.549853e-05
  3.823669e-02    5.509005e-05
  3.853562e-02    5.470834e-05
  3.883455e-02    5.432298e-05
  3.913348e-02    5.398545e-05
  3.943241e-02    5.362699e-05
  3.973134e-02    5.337091e-05
  4.003027e-02    5.330380e-05
  4.032920e-02    5.300171e-05
  4.062813e-02    5.276284e-05
  4.092706e-02    5.270035e-05
  4.122599e-02    5.255111e-05
  4.152492e-02    5.215673e-05
  4.182385e-02    5.201450e-05
  4.212278e-02    5.192572e-05
  4.242171e-02    5.162015e-05
  4.272064e-02    5.158152e-05
  4.301957e-02    5.158880e-05
  4.331850e-02    5.115782e-05
  4.361743e-02    5.083939e-05
  4.391636e-02    5.088585e-05
  4.421529e-02    5.084524e-05
  4.451423e-02    5.071993e-05
  4.481316e-02    5.063783e-05
  4.511209e-02    5.074933e-05
  4.541102e-02    5.072206e-05
  4.570995e-02    5.055063e-05
  4.600888e-02    5.028268e-05
  4.630781e-02    5.045160e-05
  4.660674e-02    5.043253e-05
  4.690567e-02    5.015893e-05
  4.720460e-02    5.016018e-05
  4.750353e-02    4.998444e-05
  4.780246e-02    4.972396e-05
  4.810139e-02    4.995057e-05
  4.840032e-02    5.005046e-05
  4.869925e-02    5.008086e-05
  4.899818e-02    4.995625e-05
  4.929711e-02    4.981423e-05
  4.959604e-02    4.992230e-05
  4.989497e-02    4.993120e-05
  5.019390e-02    5.008665e-05
  5.049283e-02    5.006274e-05
  5.079176e-02    4.999954e-05
  5.109069e-02    5.023301e-05
  5.138962e-02    5.049838e-05
  5.168855e-02    5.098050e-05
  5.198748e-02    5.165772e-05
  5.228642e-02    5.141976e-05
  5.258535e-02    5.023465e-05
  5.288428e-02    4.994083e-05
  5.318321e-02    4.977743e-05
  5.348214e-02    4.975982e-05
  5.378107e-02    4.982292e-05
  5.408000e-02    4.973925e-05
  5.437893e-02    4.980601e-05
  5.467786e-02    4.998990e-05
  5.497679e-02    4.983116e-05
  5.527572e-02    4.985213e-05
  5.557465e-02    4.980556e-05
  5.587358e-02    4.971559e-05
  5.617251e-02    4.997893e-05
  5.647144e-02    5.028826e-05
  5.677037e-02    5.031669e-05
  5.706930e-02    5.011175e-05
  5.736823e-02    5.022722e-05
  5.766716e-02    5.016681e-05
  5.796609e-02    5.023693e-05
  5.826502e-02    5.042241e-05
  5.856395e-02    5.035786e-05
  5.886288e-02    5.041293e-05
  5.916181e-02    5.057901e-05
  5.946074e-02    5.062521e-05
  5.975967e-02    5.064467e-05
  6.005861e-02    5.090830e-05
  6.035754e-02    5.097080e-05
  6.065647e-02    5.105849e-05
  6.095540e-02    5.149752e-05
  6.125433e-02    5.204666e-05
  6.155326e-02    5.213598e-05
  6.185219e-02    5.167821e-05
  6.215112e-02    5.138084e-05
  6.245005e-02    5.139104e-05
  6.274898e-02    5.127572e-05
  6.304791e-02    5.124688e-05
  6.334684e-02    5.134678e-05
  6.364577e-02    5.156175e-05
  6.394470e-02    5.177816e-05
  6.424363e-02    5.200042e-05
  6.454256e-02    5.193116e-05
  6.484149e-02    5.179058e-05
  6.514042e-02    5.186484e-05
  6.543935e-02    5.192368e-05
  6.573828e-02    5.206615e-05
  6.603721e-02    5.196589e-05
  6.633614e-02    5.213045e-05
  6.663507e-02    5.244025e-05
  6.693400e-02    5.248750e-05
  6.723293e-02    5.254669e-05
  6.753186e-02    5.279799e-05
  6.783080e-02    5.284624e-05
  6.812973e-02    5.262472e-05
  6.842866e-02    5.284142e-05
  6.872759e-02    5.300517e-05
  6.902652e-02    5.310002e-05
  6.932545e-02    5.308210e-05
  6.962438e-02    5.309429e-05
  6.992331e-02    5.332999e-05
  7.022224e-02    5.320325e-05
  7.052117e-02    5.311142e-05
  7.082010e-02    5.341722e-05
  7.111903e-02    5.347910e-05
  7.141796e-02    5.346885e-05
  7.171689e-02    5.357855e-05
  7.201582e-02    5.360376e-05
  7.231475e-02    5.346132e-05
  7.261368e-02    5.355004e-05
  7.291261e-02    5.384734e-05
  7.321154e-02    5.381941e-05
  7.351047e-02    5.375818e-05
  7.380940e-02    5.385964e-05
  7.410833e-02    5.396167e-05
  7.440726e-02    5.399057e-05
  7.470619e-02    5.397075e-05
  7.500512e-02    5.385150e-05
  7.530405e-02    5.391071e-05
  7.560299e-02    5.406784e-05
  7.590192e-02    5.402501e-05
  7.620085e-02    5.406035e-05
  7.649978e-02    5.399659e-05
  7.679871e-02    5.407742e-05
  7.709764e-02    5.400564e-05
  7.739657e-02    5.402779e-05
  7.769550e-02    5.388036e-05
  7.799443e-02    5.374294e-05
  7.829336e-02    5.393304e-05
  7.859229e-02    5.394669e-05
  7.889122e-02    5.393685e-05
  7.919015e-02    5.411295e-05
  7.948908e-02    5.413497e-05
  7.978801e-02    5.391893e-05
  8.008694e-02    5.400214e-05
  8.038587e-02    5.377064e-05
  8.068480e-02    5.385986e-05
  8.098373e-02    5.389580e-05
  8.128266e-02    5.365161e-05
  8.158159e-02    5.370202e-05
  8.188052e-02    5.360637e-05
  8.217945e-02    5.349152e-05
  8.247838e-02    5.359745e-05
  8.277731e-02    5.348324e-05
  8.307624e-02    5.329690e-05
  8.337518e-02    5.334547e-05
  8.367411e-02    5.336766e-05
  8.397304e-02    5.339249e-05
  8.427197e-02    5.324677e-05
  8.457090e-02    5.315321e-05
  8.486983e-02    5.302885e-05
  8.516876e-02    5.309141e-05
  8.546769e-02    5.305243e-05
  8.576662e-02    5.280313e-05
  8.606555e-02    5.270227e-05
  8.636448e-02    5.271059e-05
  8.666341e-02    5.269931e-05
  8.696234e-02    5.254021e-05
  8.726127e-02    5.266720e-05
  8.756020e-02    5.268347e-05
  8.785913e-02    5.268059e-05
  8.815806e-02    5.262869e-05
  8.845699e-02    5.241852e-05
  8.875592e-02    5.221903e-05
  8.905485e-02    5.216764e-05
  8.935378e-02    5.215066e-05
  8.965271e-02    5.189974e-05
  8.995164e-02    5.182233e-05
  9.025057e-02    5.179595e-05
  9.054950e-02    5.159619e-05
  9.084843e-02    5.144415e-05
  9.114737e-02    5.127162e-05
  9.144630e-02    5.112365e-05
  9.174523e-02    5.123220e-05
  9.204416e-02    5.117514e-05
  9.234309e-02    5.110538e-05
  9.264202e-02    5.099542e-05
  9.294095e-02    5.090077e-05
  9.323988e-02    5.081326e-05
  9.353881e-02    5.063760e-05
  9.383774e-02    5.041032e-05
  9.413667e-02    5.045614e-05
  9.443560e-02    5.060178e-05
  9.473453e-02    5.041212e-05
  9.503346e-02    5.044804e-05
  9.533239e-02    5.050454e-05
  9.563132e-02    5.038733e-05
  9.593025e-02    5.021306e-05
  9.622918e-02    5.007084e-05
  9.652811e-02    5.015801e-05
  9.682704e-02    5.034713e-05
  9.712597e-02    5.030538e-05
  9.742490e-02    5.020803e-05
  9.772383e-02    5.004287e-05
  9.802276e-02    4.965879e-05
  9.832169e-02    4.926104e-05
  9.862062e-02    4.935241e-05
  9.891956e-02    4.931300e-05
  9.921849e-02    4.919045e-05
  9.951742e-02    4.921196e-05
  9.981635e-02    4.881556e-05
  1.001153e-01    4.867961e-05
  1.004142e-01    4.874598e-05
  1.007131e-01    4.860125e-05
  1.010121e-01    4.844872e-05
  1.013110e-01    4.845426e-05
  1.016099e-01    4.850005e-05
  1.019089e-01    4.813171e-05
  1.022078e-01    4.795899e-05
  1.025067e-01    4.804481e-05
  1.028057e-01    4.789035e-05
  1.031046e-01    4.785665e-05
  1.034035e-01    4.785601e-05
  1.037024e-01    4.778086e-05
  1.040014e-01    4.756625e-05
  1.043003e-01    4.735286e-05
  1.045992e-01    4.731398e-05
  1.048982e-01    4.713965e-05
  1.051971e-01    4.701769e-05
  1.054960e-01    4.704263e-05
  1.057950e-01    4.719891e-05
  1.060939e-01    4.691768e-05
  1.063928e-01    4.677115e-05
  1.066917e-01    4.681605e-05
  1.069907e-01    4.673727e-05
  1.072896e-01    4.655541e-05
  1.075885e-01    4.631405e-05
  1.078875e-01    4.611435e-05
  1.081864e-01    4.604489e-05
  1.084853e-01    4.631183e-05
  1.087843e-01    4.632411e-05
  1.090832e-01    4.611457e-05
  1.093821e-01    4.590183e-05
  1.096810e-01    4.549164e-05
  1.099800e-01    4.549596e-05
  1.102789e-01    4.547043e-05
  1.105778e-01    4.541499e-05
  1.108768e-01    4.508526e-05
  1.111757e-01    4.496816e-05
  1.114746e-01    4.493775e-05
  1.117736e-01    4.478034e-05
  1.120725e-01    4.471724e-05
  1.123714e-01    4.475080e-05
  1.126704e-01    4.455624e-05
  1.129693e-01    4.425954e-05
  1.132682e-01    4.399879e-05
  1.135671e-01    4.438431e-05
  1.138661e-01    4.433937e-05
  1.141650e-01    4.381562e-05
  1.144639e-01    4.377232e-05
  1.147629e-01    4.402460e-05
  1.150618e-01    4.400821e-05
  1.153607e-01    4.417702e-05
  1.156597e-01    4.381124e-05
  1.159586e-01    4.346350e-05
  1.162575e-01    4.326004e-05
  1.165564e-01    4.291029e-05
  1.168554e-01    4.302810e-05
  1.171543e-01    4.361030e-05
  1.174532e-01    4.387603e-05
  1.177522e-01    4.324143e-05
  1.180511e-01    4.335353e-05
  1.183500e-01    4.333421e-05
  1.186490e-01    4.333898e-05
  1.189479e-01    4.324675e-05
  1.192468e-01    4.288149e-05
  1.195458e-01    4.289089e-05
  1.198447e-01    4.271049e-05
  1.201436e-01    4.267905e-05
  1.204425e-01    4.270704e-05
  1.207415e-01    4.231313e-05
  1.210404e-01    4.222303e-05
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
