# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 15788892.600000003
# --> MT-AL_F127_220301_66d575cd-b423-4c03-8fbf-fdb0a75420ee_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.846892e-03
  4.756484e-03    1.433095e-03
  5.055415e-03    1.013594e-03
  5.354345e-03    7.066772e-04
  5.653276e-03    5.410637e-04
  5.952206e-03    8.756280e-04
  6.251136e-03    7.985536e-04
  6.550067e-03    6.927918e-04
  6.848997e-03    5.898050e-04
  7.147927e-03    4.979941e-04
  7.446858e-03    4.242316e-04
  7.745788e-03    3.635462e-04
  8.044719e-03    3.132623e-04
  8.343649e-03    2.733132e-04
  8.642579e-03    2.389589e-04
  8.941510e-03    2.101823e-04
  9.240440e-03    1.865255e-04
  9.539371e-03    1.658726e-04
  9.838301e-03    1.475379e-04
  1.013723e-02    1.320293e-04
  1.043616e-02    1.186406e-04
  1.073509e-02    1.066265e-04
  1.103402e-02    9.694468e-05
  1.133295e-02    8.785664e-05
  1.163188e-02    8.012922e-05
  1.193081e-02    7.314274e-05
  1.222974e-02    6.682355e-05
  1.252867e-02    6.143025e-05
  1.282760e-02    5.674851e-05
  1.312654e-02    5.233834e-05
  1.342547e-02    4.849235e-05
  1.372440e-02    4.495290e-05
  1.402333e-02    4.187740e-05
  1.432226e-02    3.898352e-05
  1.462119e-02    3.632999e-05
  1.492012e-02    3.404882e-05
  1.521905e-02    3.186520e-05
  1.551798e-02    2.998731e-05
  1.581691e-02    2.826304e-05
  1.611584e-02    2.641428e-05
  1.641477e-02    2.489545e-05
  1.671370e-02    2.355734e-05
  1.701263e-02    2.232962e-05
  1.731156e-02    2.125949e-05
  1.761049e-02    2.023413e-05
  1.790942e-02    1.926576e-05
  1.820835e-02    1.829819e-05
  1.850728e-02    1.741446e-05
  1.880621e-02    1.672243e-05
  1.910514e-02    1.598769e-05
  1.940407e-02    1.533798e-05
  1.970300e-02    1.477887e-05
  2.000193e-02    1.420435e-05
  2.030086e-02    1.375259e-05
  2.059979e-02    1.325342e-05
  2.089873e-02    1.272603e-05
  2.119766e-02    1.239016e-05
  2.149659e-02    1.203006e-05
  2.179552e-02    1.163543e-05
  2.209445e-02    1.128635e-05
  2.239338e-02    1.095966e-05
  2.269231e-02    1.068584e-05
  2.299124e-02    1.037868e-05
  2.329017e-02    1.007531e-05
  2.358910e-02    9.856065e-06
  2.388803e-02    9.673871e-06
  2.418696e-02    9.460090e-06
  2.448589e-02    9.252411e-06
  2.478482e-02    9.044230e-06
  2.508375e-02    8.888316e-06
  2.538268e-02    8.716139e-06
  2.568161e-02    8.560331e-06
  2.598054e-02    8.409928e-06
  2.627947e-02    8.245571e-06
  2.657840e-02    8.129427e-06
  2.687733e-02    8.006171e-06
  2.717626e-02    7.882771e-06
  2.747519e-02    7.753788e-06
  2.777412e-02    7.651473e-06
  2.807305e-02    7.543644e-06
  2.837198e-02    7.461087e-06
  2.867092e-02    7.333073e-06
  2.896985e-02    7.253975e-06
  2.926878e-02    7.177317e-06
  2.956771e-02    7.074957e-06
  2.986664e-02    7.017628e-06
  3.016557e-02    6.970148e-06
  3.046450e-02    6.864598e-06
  3.076343e-02    6.772775e-06
  3.106236e-02    6.717086e-06
  3.136129e-02    6.679870e-06
  3.166022e-02    6.609947e-06
  3.195915e-02    6.541708e-06
  3.225808e-02    6.485649e-06
  3.255701e-02    6.436345e-06
  3.285594e-02    6.367026e-06
  3.315487e-02    6.291313e-06
  3.345380e-02    6.262052e-06
  3.375273e-02    6.243591e-06
  3.405166e-02    6.168415e-06
  3.435059e-02    6.061586e-06
  3.464952e-02    6.001032e-06
  3.494845e-02    5.951734e-06
  3.524738e-02    5.891661e-06
  3.554631e-02    5.861868e-06
  3.584524e-02    5.851878e-06
  3.614417e-02    5.782988e-06
  3.644310e-02    5.704806e-06
  3.674204e-02    5.648735e-06
  3.704097e-02    5.625583e-06
  3.733990e-02    5.604544e-06
  3.763883e-02    5.530736e-06
  3.793776e-02    5.519864e-06
  3.823669e-02    5.484475e-06
  3.853562e-02    5.457201e-06
  3.883455e-02    5.442441e-06
  3.913348e-02    5.394771e-06
  3.943241e-02    5.382360e-06
  3.973134e-02    5.330927e-06
  4.003027e-02    5.304270e-06
  4.032920e-02    5.274047e-06
  4.062813e-02    5.262671e-06
  4.092706e-02    5.227371e-06
  4.122599e-02    5.198583e-06
  4.152492e-02    5.188935e-06
  4.182385e-02    5.160969e-06
  4.212278e-02    5.150205e-06
  4.242171e-02    5.135636e-06
  4.272064e-02    5.114437e-06
  4.301957e-02    5.083290e-06
  4.331850e-02    5.038015e-06
  4.361743e-02    5.022384e-06
  4.391636e-02    5.004060e-06
  4.421529e-02    5.009505e-06
  4.451423e-02    5.007789e-06
  4.481316e-02    5.022438e-06
  4.511209e-02    5.003548e-06
  4.541102e-02    5.007840e-06
  4.570995e-02    4.994031e-06
  4.600888e-02    4.999841e-06
  4.630781e-02    4.989851e-06
  4.660674e-02    4.985574e-06
  4.690567e-02    5.008555e-06
  4.720460e-02    5.004068e-06
  4.750353e-02    5.004262e-06
  4.780246e-02    4.984026e-06
  4.810139e-02    4.956119e-06
  4.840032e-02    4.953921e-06
  4.869925e-02    4.950515e-06
  4.899818e-02    4.952120e-06
  4.929711e-02    4.932524e-06
  4.959604e-02    4.944764e-06
  4.989497e-02    4.963266e-06
  5.019390e-02    4.974062e-06
  5.049283e-02    4.959396e-06
  5.079176e-02    4.949266e-06
  5.109069e-02    4.974048e-06
  5.138962e-02    5.003736e-06
  5.168855e-02    5.087576e-06
  5.198748e-02    5.190273e-06
  5.228642e-02    5.166552e-06
  5.258535e-02    4.997620e-06
  5.288428e-02    4.913029e-06
  5.318321e-02    4.943921e-06
  5.348214e-02    4.932427e-06
  5.378107e-02    4.906432e-06
  5.408000e-02    4.915495e-06
  5.437893e-02    4.911180e-06
  5.467786e-02    4.940661e-06
  5.497679e-02    4.956260e-06
  5.527572e-02    4.957185e-06
  5.557465e-02    4.932557e-06
  5.587358e-02    4.925188e-06
  5.617251e-02    4.953493e-06
  5.647144e-02    4.949258e-06
  5.677037e-02    4.956952e-06
  5.706930e-02    4.971130e-06
  5.736823e-02    4.975366e-06
  5.766716e-02    4.988919e-06
  5.796609e-02    4.969294e-06
  5.826502e-02    4.980087e-06
  5.856395e-02    4.993635e-06
  5.886288e-02    5.000719e-06
  5.916181e-02    5.000994e-06
  5.946074e-02    4.993488e-06
  5.975967e-02    5.029607e-06
  6.005861e-02    5.042879e-06
  6.035754e-02    5.065442e-06
  6.065647e-02    5.094214e-06
  6.095540e-02    5.114523e-06
  6.125433e-02    5.169660e-06
  6.155326e-02    5.190463e-06
  6.185219e-02    5.116870e-06
  6.215112e-02    5.090407e-06
  6.245005e-02    5.088353e-06
  6.274898e-02    5.111025e-06
  6.304791e-02    5.109985e-06
  6.334684e-02    5.100052e-06
  6.364577e-02    5.116874e-06
  6.394470e-02    5.137098e-06
  6.424363e-02    5.137219e-06
  6.454256e-02    5.129431e-06
  6.484149e-02    5.142605e-06
  6.514042e-02    5.166708e-06
  6.543935e-02    5.170038e-06
  6.573828e-02    5.131475e-06
  6.603721e-02    5.145763e-06
  6.633614e-02    5.189833e-06
  6.663507e-02    5.183455e-06
  6.693400e-02    5.205422e-06
  6.723293e-02    5.204439e-06
  6.753186e-02    5.193242e-06
  6.783080e-02    5.204151e-06
  6.812973e-02    5.215513e-06
  6.842866e-02    5.214308e-06
  6.872759e-02    5.216965e-06
  6.902652e-02    5.237357e-06
  6.932545e-02    5.267190e-06
  6.962438e-02    5.277194e-06
  6.992331e-02    5.252674e-06
  7.022224e-02    5.253878e-06
  7.052117e-02    5.270772e-06
  7.082010e-02    5.289765e-06
  7.111903e-02    5.302495e-06
  7.141796e-02    5.303814e-06
  7.171689e-02    5.294207e-06
  7.201582e-02    5.302761e-06
  7.231475e-02    5.337597e-06
  7.261368e-02    5.331146e-06
  7.291261e-02    5.324347e-06
  7.321154e-02    5.340708e-06
  7.351047e-02    5.318971e-06
  7.380940e-02    5.313735e-06
  7.410833e-02    5.325085e-06
  7.440726e-02    5.324626e-06
  7.470619e-02    5.363480e-06
  7.500512e-02    5.350550e-06
  7.530405e-02    5.334430e-06
  7.560299e-02    5.349572e-06
  7.590192e-02    5.365791e-06
  7.620085e-02    5.349861e-06
  7.649978e-02    5.355541e-06
  7.679871e-02    5.311837e-06
  7.709764e-02    5.328227e-06
  7.739657e-02    5.335095e-06
  7.769550e-02    5.337514e-06
  7.799443e-02    5.361185e-06
  7.829336e-02    5.355224e-06
  7.859229e-02    5.352859e-06
  7.889122e-02    5.362249e-06
  7.919015e-02    5.335452e-06
  7.948908e-02    5.298477e-06
  7.978801e-02    5.320440e-06
  8.008694e-02    5.349880e-06
  8.038587e-02    5.328235e-06
  8.068480e-02    5.320637e-06
  8.098373e-02    5.338065e-06
  8.128266e-02    5.317936e-06
  8.158159e-02    5.321291e-06
  8.188052e-02    5.315206e-06
  8.217945e-02    5.296607e-06
  8.247838e-02    5.295193e-06
  8.277731e-02    5.284758e-06
  8.307624e-02    5.290992e-06
  8.337518e-02    5.283662e-06
  8.367411e-02    5.262552e-06
  8.397304e-02    5.239031e-06
  8.427197e-02    5.240079e-06
  8.457090e-02    5.261819e-06
  8.486983e-02    5.263359e-06
  8.516876e-02    5.239475e-06
  8.546769e-02    5.222674e-06
  8.576662e-02    5.232472e-06
  8.606555e-02    5.218008e-06
  8.636448e-02    5.213058e-06
  8.666341e-02    5.205445e-06
  8.696234e-02    5.205481e-06
  8.726127e-02    5.188218e-06
  8.756020e-02    5.171765e-06
  8.785913e-02    5.190140e-06
  8.815806e-02    5.169441e-06
  8.845699e-02    5.143622e-06
  8.875592e-02    5.128510e-06
  8.905485e-02    5.119690e-06
  8.935378e-02    5.118283e-06
  8.965271e-02    5.093116e-06
  8.995164e-02    5.082767e-06
  9.025057e-02    5.075282e-06
  9.054950e-02    5.079280e-06
  9.084843e-02    5.059353e-06
  9.114737e-02    5.049269e-06
  9.144630e-02    5.054308e-06
  9.174523e-02    5.043051e-06
  9.204416e-02    5.016736e-06
  9.234309e-02    5.007083e-06
  9.264202e-02    5.019022e-06
  9.294095e-02    4.988813e-06
  9.323988e-02    4.993358e-06
  9.353881e-02    4.999956e-06
  9.383774e-02    4.974820e-06
  9.413667e-02    4.983334e-06
  9.443560e-02    4.979422e-06
  9.473453e-02    4.960529e-06
  9.503346e-02    4.953616e-06
  9.533239e-02    4.939551e-06
  9.563132e-02    4.944544e-06
  9.593025e-02    4.926385e-06
  9.622918e-02    4.925714e-06
  9.652811e-02    4.953152e-06
  9.682704e-02    4.976473e-06
  9.712597e-02    4.959326e-06
  9.742490e-02    4.915542e-06
  9.772383e-02    4.907351e-06
  9.802276e-02    4.883401e-06
  9.832169e-02    4.867681e-06
  9.862062e-02    4.846898e-06
  9.891956e-02    4.853446e-06
  9.921849e-02    4.829118e-06
  9.951742e-02    4.801006e-06
  9.981635e-02    4.789323e-06
  1.001153e-01    4.783590e-06
  1.004142e-01    4.763661e-06
  1.007131e-01    4.756953e-06
  1.010121e-01    4.752680e-06
  1.013110e-01    4.761656e-06
  1.016099e-01    4.735986e-06
  1.019089e-01    4.727229e-06
  1.022078e-01    4.717555e-06
  1.025067e-01    4.734639e-06
  1.028057e-01    4.751630e-06
  1.031046e-01    4.733491e-06
  1.034035e-01    4.691646e-06
  1.037024e-01    4.677805e-06
  1.040014e-01    4.671389e-06
  1.043003e-01    4.636107e-06
  1.045992e-01    4.618668e-06
  1.048982e-01    4.643903e-06
  1.051971e-01    4.640801e-06
  1.054960e-01    4.612850e-06
  1.057950e-01    4.604695e-06
  1.060939e-01    4.596322e-06
  1.063928e-01    4.580102e-06
  1.066917e-01    4.560466e-06
  1.069907e-01    4.569726e-06
  1.072896e-01    4.554373e-06
  1.075885e-01    4.551574e-06
  1.078875e-01    4.557418e-06
  1.081864e-01    4.551845e-06
  1.084853e-01    4.559133e-06
  1.087843e-01    4.539993e-06
  1.090832e-01    4.540778e-06
  1.093821e-01    4.532209e-06
  1.096810e-01    4.493460e-06
  1.099800e-01    4.473707e-06
  1.102789e-01    4.474888e-06
  1.105778e-01    4.465811e-06
  1.108768e-01    4.423844e-06
  1.111757e-01    4.426361e-06
  1.114746e-01    4.433048e-06
  1.117736e-01    4.437811e-06
  1.120725e-01    4.400287e-06
  1.123714e-01    4.392843e-06
  1.126704e-01    4.402722e-06
  1.129693e-01    4.384119e-06
  1.132682e-01    4.360192e-06
  1.135671e-01    4.362322e-06
  1.138661e-01    4.330751e-06
  1.141650e-01    4.299742e-06
  1.144639e-01    4.301246e-06
  1.147629e-01    4.301970e-06
  1.150618e-01    4.287745e-06
  1.153607e-01    4.271619e-06
  1.156597e-01    4.257744e-06
  1.159586e-01    4.280700e-06
  1.162575e-01    4.297899e-06
  1.165564e-01    4.300814e-06
  1.168554e-01    4.265504e-06
  1.171543e-01    4.255709e-06
  1.174532e-01    4.296573e-06
  1.177522e-01    4.274157e-06
  1.180511e-01    4.241668e-06
  1.183500e-01    4.267692e-06
