# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 28101121.60000001
# --> MT-AL_F127_220301_6bebabd1-b661-408b-88e4-ab924f344022_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.658865e-03
  4.756484e-03    1.318975e-03
  5.055415e-03    9.672174e-04
  5.354345e-03    6.994499e-04
  5.653276e-03    5.546963e-04
  5.952206e-03    9.164730e-04
  6.251136e-03    8.269841e-04
  6.550067e-03    7.083414e-04
  6.848997e-03    5.953662e-04
  7.147927e-03    5.009714e-04
  7.446858e-03    4.272615e-04
  7.745788e-03    3.669565e-04
  8.044719e-03    3.166894e-04
  8.343649e-03    2.766715e-04
  8.642579e-03    2.422391e-04
  8.941510e-03    2.131721e-04
  9.240440e-03    1.890594e-04
  9.539371e-03    1.681491e-04
  9.838301e-03    1.497995e-04
  1.013723e-02    1.344135e-04
  1.043616e-02    1.209565e-04
  1.073509e-02    1.088708e-04
  1.103402e-02    9.893328e-05
  1.133295e-02    8.993984e-05
  1.163188e-02    8.193840e-05
  1.193081e-02    7.505294e-05
  1.222974e-02    6.890200e-05
  1.252867e-02    6.331139e-05
  1.282760e-02    5.829826e-05
  1.312654e-02    5.384090e-05
  1.342547e-02    4.996041e-05
  1.372440e-02    4.638513e-05
  1.402333e-02    4.308773e-05
  1.432226e-02    4.005998e-05
  1.462119e-02    3.735601e-05
  1.492012e-02    3.499799e-05
  1.521905e-02    3.278378e-05
  1.551798e-02    3.074560e-05
  1.581691e-02    2.896679e-05
  1.611584e-02    2.730914e-05
  1.641477e-02    2.572028e-05
  1.671370e-02    2.438421e-05
  1.701263e-02    2.315962e-05
  1.731156e-02    2.201473e-05
  1.761049e-02    2.096881e-05
  1.790942e-02    1.985950e-05
  1.820835e-02    1.890908e-05
  1.850728e-02    1.810535e-05
  1.880621e-02    1.732514e-05
  1.910514e-02    1.660262e-05
  1.940407e-02    1.591087e-05
  1.970300e-02    1.528292e-05
  2.000193e-02    1.468975e-05
  2.030086e-02    1.414262e-05
  2.059979e-02    1.366272e-05
  2.089873e-02    1.319468e-05
  2.119766e-02    1.273582e-05
  2.149659e-02    1.233441e-05
  2.179552e-02    1.196610e-05
  2.209445e-02    1.162567e-05
  2.239338e-02    1.130103e-05
  2.269231e-02    1.092874e-05
  2.299124e-02    1.064083e-05
  2.329017e-02    1.038715e-05
  2.358910e-02    1.007081e-05
  2.388803e-02    9.847109e-06
  2.418696e-02    9.673386e-06
  2.448589e-02    9.463934e-06
  2.478482e-02    9.237890e-06
  2.508375e-02    9.045703e-06
  2.538268e-02    8.874415e-06
  2.568161e-02    8.703578e-06
  2.598054e-02    8.536275e-06
  2.627947e-02    8.407665e-06
  2.657840e-02    8.271006e-06
  2.687733e-02    8.108333e-06
  2.717626e-02    7.967895e-06
  2.747519e-02    7.860793e-06
  2.777412e-02    7.763486e-06
  2.807305e-02    7.665939e-06
  2.837198e-02    7.544466e-06
  2.867092e-02    7.427924e-06
  2.896985e-02    7.327027e-06
  2.926878e-02    7.204660e-06
  2.956771e-02    7.138308e-06
  2.986664e-02    7.064694e-06
  3.016557e-02    6.998976e-06
  3.046450e-02    6.912681e-06
  3.076343e-02    6.861000e-06
  3.106236e-02    6.790743e-06
  3.136129e-02    6.695327e-06
  3.166022e-02    6.623129e-06
  3.195915e-02    6.581291e-06
  3.225808e-02    6.534671e-06
  3.255701e-02    6.481224e-06
  3.285594e-02    6.421036e-06
  3.315487e-02    6.360762e-06
  3.345380e-02    6.316223e-06
  3.375273e-02    6.272580e-06
  3.405166e-02    6.239632e-06
  3.435059e-02    6.162585e-06
  3.464952e-02    6.081828e-06
  3.494845e-02    6.029414e-06
  3.524738e-02    6.003824e-06
  3.554631e-02    5.970218e-06
  3.584524e-02    5.897060e-06
  3.614417e-02    5.865418e-06
  3.644310e-02    5.853066e-06
  3.674204e-02    5.811485e-06
  3.704097e-02    5.747980e-06
  3.733990e-02    5.715784e-06
  3.763883e-02    5.668762e-06
  3.793776e-02    5.639728e-06
  3.823669e-02    5.616687e-06
  3.853562e-02    5.571086e-06
  3.883455e-02    5.554363e-06
  3.913348e-02    5.495116e-06
  3.943241e-02    5.463874e-06
  3.973134e-02    5.433846e-06
  4.003027e-02    5.413593e-06
  4.032920e-02    5.415555e-06
  4.062813e-02    5.401923e-06
  4.092706e-02    5.336800e-06
  4.122599e-02    5.332069e-06
  4.152492e-02    5.327628e-06
  4.182385e-02    5.287991e-06
  4.212278e-02    5.269671e-06
  4.242171e-02    5.253291e-06
  4.272064e-02    5.224947e-06
  4.301957e-02    5.232948e-06
  4.331850e-02    5.225761e-06
  4.361743e-02    5.201768e-06
  4.391636e-02    5.201744e-06
  4.421529e-02    5.181513e-06
  4.451423e-02    5.181292e-06
  4.481316e-02    5.185026e-06
  4.511209e-02    5.164070e-06
  4.541102e-02    5.170494e-06
  4.570995e-02    5.160098e-06
  4.600888e-02    5.141872e-06
  4.630781e-02    5.137360e-06
  4.660674e-02    5.154584e-06
  4.690567e-02    5.138701e-06
  4.720460e-02    5.146325e-06
  4.750353e-02    5.159661e-06
