# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 7058902.799999999
# --> MT-AL_F127_220301_6db36815-3041-4b9d-a94e-e05853c5999d_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.020856e-03
  4.756484e-03    1.558590e-03
  5.055415e-03    1.086021e-03
  5.354345e-03    7.464787e-04
  5.653276e-03    5.651222e-04
  5.952206e-03    8.926287e-04
  6.251136e-03    8.169131e-04
  6.550067e-03    7.149260e-04
  6.848997e-03    6.098985e-04
  7.147927e-03    5.161992e-04
  7.446858e-03    4.404581e-04
  7.745788e-03    3.767679e-04
  8.044719e-03    3.242298e-04
  8.343649e-03    2.831145e-04
  8.642579e-03    2.480813e-04
  8.941510e-03    2.182766e-04
  9.240440e-03    1.929553e-04
  9.539371e-03    1.715213e-04
  9.838301e-03    1.524432e-04
  1.013723e-02    1.366450e-04
  1.043616e-02    1.224593e-04
  1.073509e-02    1.104067e-04
  1.103402e-02    1.003879e-04
  1.133295e-02    9.096059e-05
  1.163188e-02    8.299216e-05
  1.193081e-02    7.586108e-05
  1.222974e-02    6.940655e-05
  1.252867e-02    6.378167e-05
  1.282760e-02    5.859962e-05
  1.312654e-02    5.388258e-05
  1.342547e-02    4.989257e-05
  1.372440e-02    4.639754e-05
  1.402333e-02    4.299308e-05
  1.432226e-02    3.993839e-05
  1.462119e-02    3.734156e-05
  1.492012e-02    3.505650e-05
  1.521905e-02    3.278964e-05
  1.551798e-02    3.089365e-05
  1.581691e-02    2.907155e-05
  1.611584e-02    2.741194e-05
  1.641477e-02    2.573669e-05
  1.671370e-02    2.426552e-05
  1.701263e-02    2.294815e-05
  1.731156e-02    2.179705e-05
  1.761049e-02    2.069780e-05
  1.790942e-02    1.975133e-05
  1.820835e-02    1.887070e-05
  1.850728e-02    1.800681e-05
  1.880621e-02    1.727702e-05
  1.910514e-02    1.647882e-05
  1.940407e-02    1.573431e-05
  1.970300e-02    1.525782e-05
  2.000193e-02    1.465640e-05
  2.030086e-02    1.403960e-05
  2.059979e-02    1.359560e-05
  2.089873e-02    1.326820e-05
  2.119766e-02    1.282973e-05
  2.149659e-02    1.244098e-05
  2.179552e-02    1.206114e-05
  2.209445e-02    1.158947e-05
  2.239338e-02    1.126567e-05
  2.269231e-02    1.101708e-05
  2.299124e-02    1.074428e-05
  2.329017e-02    1.046490e-05
  2.358910e-02    1.022144e-05
  2.388803e-02    9.998833e-06
  2.418696e-02    9.697359e-06
