# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 15846546.800000004
# --> MT-AL_F127_220301_6e6a896f-6162-40e1-9fd5-4a5bc2bf5f79_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.926356e-03
  4.756484e-03    1.520892e-03
  5.055415e-03    1.094941e-03
  5.354345e-03    7.817383e-04
  5.653276e-03    6.083847e-04
  5.952206e-03    9.630235e-04
  6.251136e-03    8.808880e-04
  6.550067e-03    7.672443e-04
  6.848997e-03    6.534884e-04
  7.147927e-03    5.531911e-04
  7.446858e-03    4.737579e-04
  7.745788e-03    4.069728e-04
  8.044719e-03    3.515711e-04
  8.343649e-03    3.071271e-04
  8.642579e-03    2.683799e-04
  8.941510e-03    2.369102e-04
  9.240440e-03    2.105588e-04
  9.539371e-03    1.870713e-04
  9.838301e-03    1.665340e-04
  1.013723e-02    1.491206e-04
  1.043616e-02    1.339430e-04
  1.073509e-02    1.202636e-04
  1.103402e-02    1.094456e-04
  1.133295e-02    9.927492e-05
  1.163188e-02    9.019118e-05
  1.193081e-02    8.249538e-05
  1.222974e-02    7.544516e-05
  1.252867e-02    6.932478e-05
  1.282760e-02    6.377710e-05
  1.312654e-02    5.865979e-05
  1.342547e-02    5.405401e-05
  1.372440e-02    5.014988e-05
  1.402333e-02    4.682772e-05
  1.432226e-02    4.360093e-05
  1.462119e-02    4.061280e-05
  1.492012e-02    3.780107e-05
  1.521905e-02    3.530984e-05
  1.551798e-02    3.305367e-05
  1.581691e-02    3.103293e-05
  1.611584e-02    2.915901e-05
  1.641477e-02    2.752636e-05
  1.671370e-02    2.596170e-05
  1.701263e-02    2.458388e-05
  1.731156e-02    2.329151e-05
  1.761049e-02    2.217170e-05
  1.790942e-02    2.103588e-05
  1.820835e-02    2.001273e-05
  1.850728e-02    1.915465e-05
  1.880621e-02    1.825985e-05
  1.910514e-02    1.740495e-05
  1.940407e-02    1.661594e-05
  1.970300e-02    1.603112e-05
  2.000193e-02    1.538638e-05
  2.030086e-02    1.474951e-05
  2.059979e-02    1.428394e-05
  2.089873e-02    1.380184e-05
  2.119766e-02    1.333086e-05
  2.149659e-02    1.278285e-05
  2.179552e-02    1.235814e-05
  2.209445e-02    1.206753e-05
  2.239338e-02    1.172622e-05
  2.269231e-02    1.138704e-05
  2.299124e-02    1.109526e-05
  2.329017e-02    1.082032e-05
  2.358910e-02    1.053693e-05
  2.388803e-02    1.026637e-05
  2.418696e-02    1.001288e-05
  2.448589e-02    9.730787e-06
