# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 10976718.200000001
# --> MT-AL_F127_220301_6f8779c3-e915-4ad8-acc9-031b507e4a84_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.003426e-03
  4.756484e-03    1.561571e-03
  5.055415e-03    1.101139e-03
  5.354345e-03    7.695567e-04
  5.653276e-03    5.904145e-04
  5.952206e-03    9.393041e-04
  6.251136e-03    8.629334e-04
  6.550067e-03    7.519191e-04
  6.848997e-03    6.398314e-04
  7.147927e-03    5.411048e-04
  7.446858e-03    4.610757e-04
  7.745788e-03    3.952265e-04
  8.044719e-03    3.408344e-04
  8.343649e-03    2.975957e-04
  8.642579e-03    2.605948e-04
  8.941510e-03    2.292837e-04
  9.240440e-03    2.024666e-04
  9.539371e-03    1.796015e-04
  9.838301e-03    1.597700e-04
  1.013723e-02    1.433332e-04
  1.043616e-02    1.290184e-04
  1.073509e-02    1.156791e-04
  1.103402e-02    1.045608e-04
  1.133295e-02    9.505918e-05
  1.163188e-02    8.667518e-05
  1.193081e-02    7.913015e-05
  1.222974e-02    7.254769e-05
  1.252867e-02    6.670859e-05
  1.282760e-02    6.151655e-05
  1.312654e-02    5.658260e-05
  1.342547e-02    5.217069e-05
  1.372440e-02    4.846525e-05
  1.402333e-02    4.488630e-05
  1.432226e-02    4.181607e-05
  1.462119e-02    3.905025e-05
  1.492012e-02    3.651575e-05
  1.521905e-02    3.410197e-05
  1.551798e-02    3.204476e-05
  1.581691e-02    3.014051e-05
  1.611584e-02    2.843513e-05
  1.641477e-02    2.675100e-05
  1.671370e-02    2.535765e-05
  1.701263e-02    2.403229e-05
  1.731156e-02    2.280555e-05
  1.761049e-02    2.166543e-05
  1.790942e-02    2.059875e-05
  1.820835e-02    1.958786e-05
  1.850728e-02    1.878063e-05
  1.880621e-02    1.787807e-05
  1.910514e-02    1.710591e-05
  1.940407e-02    1.652555e-05
  1.970300e-02    1.590097e-05
  2.000193e-02    1.526251e-05
  2.030086e-02    1.464940e-05
  2.059979e-02    1.410017e-05
  2.089873e-02    1.370391e-05
  2.119766e-02    1.327333e-05
  2.149659e-02    1.287144e-05
  2.179552e-02    1.237796e-05
  2.209445e-02    1.199872e-05
  2.239338e-02    1.171773e-05
  2.269231e-02    1.138780e-05
  2.299124e-02    1.102972e-05
  2.329017e-02    1.076173e-05
  2.358910e-02    1.054470e-05
  2.388803e-02    1.032797e-05
  2.418696e-02    1.013763e-05
  2.448589e-02    9.876625e-06
  2.478482e-02    9.634150e-06
  2.508375e-02    9.491395e-06
