# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 13081594.200000001
# --> MT-AL_F127_220301_77c7f0ff-6b20-425b-953c-60c8acd50527_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.417687e-03
  4.756484e-03    1.102310e-03
  5.055415e-03    7.802751e-04
  5.354345e-03    5.379902e-04
  5.653276e-03    4.041638e-04
  5.952206e-03    6.332091e-04
  6.251136e-03    5.803035e-04
  6.550067e-03    5.059796e-04
  6.848997e-03    4.311534e-04
  7.147927e-03    3.652542e-04
  7.446858e-03    3.127405e-04
  7.745788e-03    2.684275e-04
  8.044719e-03    2.307370e-04
  8.343649e-03    2.009402e-04
  8.642579e-03    1.758833e-04
  8.941510e-03    1.548729e-04
  9.240440e-03    1.373378e-04
  9.539371e-03    1.220733e-04
  9.838301e-03    1.084398e-04
  1.013723e-02    9.692063e-05
  1.043616e-02    8.742567e-05
  1.073509e-02    7.859460e-05
  1.103402e-02    7.120344e-05
  1.133295e-02    6.461511e-05
  1.163188e-02    5.870657e-05
  1.193081e-02    5.363338e-05
  1.222974e-02    4.918910e-05
  1.252867e-02    4.506731e-05
  1.282760e-02    4.173614e-05
  1.312654e-02    3.842926e-05
  1.342547e-02    3.556260e-05
  1.372440e-02    3.309480e-05
  1.402333e-02    3.058468e-05
  1.432226e-02    2.851553e-05
  1.462119e-02    2.661872e-05
  1.492012e-02    2.478383e-05
  1.521905e-02    2.329853e-05
  1.551798e-02    2.190456e-05
  1.581691e-02    2.067400e-05
  1.611584e-02    1.950099e-05
  1.641477e-02    1.837139e-05
  1.671370e-02    1.723603e-05
  1.701263e-02    1.635187e-05
  1.731156e-02    1.553656e-05
  1.761049e-02    1.469322e-05
  1.790942e-02    1.404756e-05
  1.820835e-02    1.339108e-05
  1.850728e-02    1.275574e-05
  1.880621e-02    1.225243e-05
  1.910514e-02    1.173743e-05
  1.940407e-02    1.119346e-05
  1.970300e-02    1.077301e-05
  2.000193e-02    1.038362e-05
  2.030086e-02    1.008093e-05
  2.059979e-02    9.711856e-06
  2.089873e-02    9.353136e-06
  2.119766e-02    9.088158e-06
  2.149659e-02    8.836681e-06
  2.179552e-02    8.558732e-06
  2.209445e-02    8.283730e-06
  2.239338e-02    8.046688e-06
  2.269231e-02    7.778531e-06
  2.299124e-02    7.581415e-06
  2.329017e-02    7.405236e-06
  2.358910e-02    7.205316e-06
  2.388803e-02    7.022328e-06
  2.418696e-02    6.829598e-06
  2.448589e-02    6.724727e-06
  2.478482e-02    6.637874e-06
  2.508375e-02    6.463242e-06
  2.538268e-02    6.325542e-06
  2.568161e-02    6.240103e-06
  2.598054e-02    6.107635e-06
  2.627947e-02    6.025302e-06
  2.657840e-02    5.951531e-06
  2.687733e-02    5.856869e-06
  2.717626e-02    5.732541e-06
  2.747519e-02    5.673389e-06
  2.777412e-02    5.579335e-06
  2.807305e-02    5.510693e-06
  2.837198e-02    5.438407e-06
  2.867092e-02    5.367964e-06
  2.896985e-02    5.303498e-06
  2.926878e-02    5.259670e-06
  2.956771e-02    5.195823e-06
  2.986664e-02    5.135681e-06
  3.016557e-02    5.062473e-06
  3.046450e-02    5.032013e-06
  3.076343e-02    4.975032e-06
  3.106236e-02    4.918257e-06
  3.136129e-02    4.859889e-06
  3.166022e-02    4.818600e-06
  3.195915e-02    4.765178e-06
  3.225808e-02    4.741422e-06
  3.255701e-02    4.711104e-06
  3.285594e-02    4.626103e-06
  3.315487e-02    4.577082e-06
  3.345380e-02    4.516182e-06
  3.375273e-02    4.446452e-06
  3.405166e-02    4.447242e-06
  3.435059e-02    4.403050e-06
  3.464952e-02    4.367788e-06
  3.494845e-02    4.348989e-06
  3.524738e-02    4.296078e-06
  3.554631e-02    4.237499e-06
  3.584524e-02    4.208061e-06
  3.614417e-02    4.134892e-06
  3.644310e-02    4.124855e-06
  3.674204e-02    4.119223e-06
  3.704097e-02    4.095544e-06
  3.733990e-02    4.050930e-06
  3.763883e-02    4.014483e-06
  3.793776e-02    3.973553e-06
  3.823669e-02    3.950530e-06
  3.853562e-02    3.954282e-06
  3.883455e-02    3.923831e-06
  3.913348e-02    3.857815e-06
  3.943241e-02    3.819709e-06
  3.973134e-02    3.843071e-06
  4.003027e-02    3.822000e-06
  4.032920e-02    3.795538e-06
  4.062813e-02    3.739457e-06
  4.092706e-02    3.746757e-06
  4.122599e-02    3.752838e-06
  4.152492e-02    3.719631e-06
  4.182385e-02    3.699386e-06
  4.212278e-02    3.674690e-06
  4.242171e-02    3.658571e-06
  4.272064e-02    3.636828e-06
  4.301957e-02    3.625237e-06
  4.331850e-02    3.640116e-06
  4.361743e-02    3.598749e-06
  4.391636e-02    3.579848e-06
  4.421529e-02    3.601800e-06
  4.451423e-02    3.587524e-06
  4.481316e-02    3.592870e-06
  4.511209e-02    3.587539e-06
  4.541102e-02    3.557334e-06
  4.570995e-02    3.570947e-06
  4.600888e-02    3.588187e-06
  4.630781e-02    3.562889e-06
  4.660674e-02    3.555191e-06
  4.690567e-02    3.544532e-06
  4.720460e-02    3.557383e-06
  4.750353e-02    3.551108e-06
  4.780246e-02    3.513678e-06
  4.810139e-02    3.515966e-06
  4.840032e-02    3.506192e-06
  4.869925e-02    3.534663e-06
  4.899818e-02    3.523006e-06
  4.929711e-02    3.523797e-06
  4.959604e-02    3.546215e-06
  4.989497e-02    3.524418e-06
  5.019390e-02    3.559070e-06
  5.049283e-02    3.570408e-06
  5.079176e-02    3.525436e-06
  5.109069e-02    3.525040e-06
  5.138962e-02    3.552103e-06
  5.168855e-02    3.599833e-06
  5.198748e-02    3.708327e-06
  5.228642e-02    3.705805e-06
  5.258535e-02    3.552894e-06
  5.288428e-02    3.493390e-06
  5.318321e-02    3.481527e-06
  5.348214e-02    3.458922e-06
  5.378107e-02    3.463774e-06
  5.408000e-02    3.472190e-06
  5.437893e-02    3.473586e-06
  5.467786e-02    3.487869e-06
  5.497679e-02    3.480231e-06
  5.527572e-02    3.492339e-06
  5.557465e-02    3.502637e-06
  5.587358e-02    3.501217e-06
  5.617251e-02    3.497066e-06
  5.647144e-02    3.509293e-06
  5.677037e-02    3.489301e-06
  5.706930e-02    3.472420e-06
  5.736823e-02    3.498670e-06
  5.766716e-02    3.480159e-06
  5.796609e-02    3.477787e-06
  5.826502e-02    3.496598e-06
  5.856395e-02    3.473985e-06
  5.886288e-02    3.475672e-06
  5.916181e-02    3.492231e-06
  5.946074e-02    3.512433e-06
  5.975967e-02    3.521582e-06
  6.005861e-02    3.523854e-06
  6.035754e-02    3.549110e-06
  6.065647e-02    3.566675e-06
  6.095540e-02    3.585475e-06
  6.125433e-02    3.611826e-06
  6.155326e-02    3.625896e-06
  6.185219e-02    3.585818e-06
  6.215112e-02    3.581237e-06
  6.245005e-02    3.567962e-06
  6.274898e-02    3.562694e-06
  6.304791e-02    3.579862e-06
  6.334684e-02    3.577409e-06
  6.364577e-02    3.599658e-06
  6.394470e-02    3.599352e-06
  6.424363e-02    3.583872e-06
  6.454256e-02    3.601420e-06
  6.484149e-02    3.606838e-06
  6.514042e-02    3.601271e-06
  6.543935e-02    3.608670e-06
  6.573828e-02    3.623618e-06
  6.603721e-02    3.607443e-06
  6.633614e-02    3.600320e-06
  6.663507e-02    3.628857e-06
  6.693400e-02    3.638607e-06
  6.723293e-02    3.640911e-06
  6.753186e-02    3.644733e-06
  6.783080e-02    3.662288e-06
  6.812973e-02    3.654184e-06
  6.842866e-02    3.635070e-06
  6.872759e-02    3.657939e-06
  6.902652e-02    3.657326e-06
  6.932545e-02    3.655286e-06
  6.962438e-02    3.675997e-06
  6.992331e-02    3.686775e-06
  7.022224e-02    3.677627e-06
  7.052117e-02    3.692362e-06
  7.082010e-02    3.708538e-06
  7.111903e-02    3.704885e-06
  7.141796e-02    3.696749e-06
  7.171689e-02    3.693935e-06
  7.201582e-02    3.700829e-06
  7.231475e-02    3.708348e-06
  7.261368e-02    3.720262e-06
  7.291261e-02    3.733441e-06
  7.321154e-02    3.745857e-06
  7.351047e-02    3.736672e-06
  7.380940e-02    3.718892e-06
  7.410833e-02    3.715324e-06
  7.440726e-02    3.725523e-06
  7.470619e-02    3.748455e-06
  7.500512e-02    3.737478e-06
  7.530405e-02    3.719533e-06
  7.560299e-02    3.716692e-06
  7.590192e-02    3.710702e-06
  7.620085e-02    3.738576e-06
  7.649978e-02    3.743098e-06
  7.679871e-02    3.744325e-06
  7.709764e-02    3.744341e-06
  7.739657e-02    3.712058e-06
  7.769550e-02    3.717818e-06
  7.799443e-02    3.721834e-06
  7.829336e-02    3.717076e-06
  7.859229e-02    3.717844e-06
  7.889122e-02    3.701426e-06
  7.919015e-02    3.695014e-06
  7.948908e-02    3.708288e-06
  7.978801e-02    3.719139e-06
  8.008694e-02    3.710460e-06
  8.038587e-02    3.697068e-06
  8.068480e-02    3.700645e-06
  8.098373e-02    3.716728e-06
  8.128266e-02    3.708827e-06
  8.158159e-02    3.700116e-06
  8.188052e-02    3.705533e-06
  8.217945e-02    3.696613e-06
  8.247838e-02    3.689298e-06
  8.277731e-02    3.680483e-06
  8.307624e-02    3.669160e-06
  8.337518e-02    3.672529e-06
  8.367411e-02    3.667887e-06
  8.397304e-02    3.647753e-06
  8.427197e-02    3.654960e-06
  8.457090e-02    3.650473e-06
  8.486983e-02    3.635335e-06
  8.516876e-02    3.646575e-06
  8.546769e-02    3.642185e-06
  8.576662e-02    3.635386e-06
  8.606555e-02    3.616628e-06
  8.636448e-02    3.624048e-06
  8.666341e-02    3.622733e-06
  8.696234e-02    3.609050e-06
  8.726127e-02    3.604359e-06
  8.756020e-02    3.596045e-06
  8.785913e-02    3.612412e-06
  8.815806e-02    3.603785e-06
  8.845699e-02    3.577320e-06
  8.875592e-02    3.571051e-06
  8.905485e-02    3.565724e-06
  8.935378e-02    3.555237e-06
  8.965271e-02    3.508975e-06
  8.995164e-02    3.521390e-06
  9.025057e-02    3.545053e-06
  9.054950e-02    3.531766e-06
  9.084843e-02    3.526834e-06
  9.114737e-02    3.514710e-06
  9.144630e-02    3.514625e-06
  9.174523e-02    3.503004e-06
  9.204416e-02    3.483709e-06
  9.234309e-02    3.502312e-06
  9.264202e-02    3.487597e-06
  9.294095e-02    3.469837e-06
  9.323988e-02    3.467273e-06
  9.353881e-02    3.468079e-06
  9.383774e-02    3.442612e-06
  9.413667e-02    3.441777e-06
  9.443560e-02    3.458165e-06
  9.473453e-02    3.456642e-06
  9.503346e-02    3.445692e-06
  9.533239e-02    3.439863e-06
  9.563132e-02    3.442576e-06
  9.593025e-02    3.433543e-06
  9.622918e-02    3.446135e-06
  9.652811e-02    3.458063e-06
  9.682704e-02    3.467290e-06
  9.712597e-02    3.454240e-06
  9.742490e-02    3.431687e-06
  9.772383e-02    3.409207e-06
  9.802276e-02    3.385027e-06
  9.832169e-02    3.370556e-06
  9.862062e-02    3.368000e-06
  9.891956e-02    3.352845e-06
  9.921849e-02    3.345393e-06
  9.951742e-02    3.354041e-06
  9.981635e-02    3.356249e-06
  1.001153e-01    3.348373e-06
  1.004142e-01    3.337074e-06
  1.007131e-01    3.318698e-06
  1.010121e-01    3.307345e-06
  1.013110e-01    3.312259e-06
  1.016099e-01    3.303639e-06
  1.019089e-01    3.280290e-06
  1.022078e-01    3.280914e-06
  1.025067e-01    3.284478e-06
  1.028057e-01    3.278260e-06
  1.031046e-01    3.271356e-06
  1.034035e-01    3.264581e-06
  1.037024e-01    3.239364e-06
  1.040014e-01    3.232479e-06
  1.043003e-01    3.221149e-06
  1.045992e-01    3.235714e-06
