# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 13836249.600000003
# --> MT-AL_F127_220301_8037e240-7f6b-405b-8e60-0e44140214eb_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.834665e-03
  4.756484e-03    1.439697e-03
  5.055415e-03    1.015205e-03
  5.354345e-03    7.061652e-04
  5.653276e-03    5.454315e-04
  5.952206e-03    8.837869e-04
  6.251136e-03    8.081411e-04
  6.550067e-03    7.016178e-04
  6.848997e-03    5.959478e-04
  7.147927e-03    5.037102e-04
  7.446858e-03    4.304696e-04
  7.745788e-03    3.691777e-04
  8.044719e-03    3.173006e-04
  8.343649e-03    2.772406e-04
  8.642579e-03    2.423186e-04
  8.941510e-03    2.131480e-04
  9.240440e-03    1.887989e-04
  9.539371e-03    1.675703e-04
  9.838301e-03    1.492733e-04
  1.013723e-02    1.335611e-04
  1.043616e-02    1.201876e-04
  1.073509e-02    1.081489e-04
  1.103402e-02    9.821825e-05
  1.133295e-02    8.915634e-05
  1.163188e-02    8.105280e-05
  1.193081e-02    7.414470e-05
  1.222974e-02    6.817605e-05
  1.252867e-02    6.260918e-05
  1.282760e-02    5.770652e-05
  1.312654e-02    5.325586e-05
  1.342547e-02    4.904265e-05
  1.372440e-02    4.568825e-05
  1.402333e-02    4.258128e-05
  1.432226e-02    3.946066e-05
  1.462119e-02    3.680406e-05
  1.492012e-02    3.438987e-05
  1.521905e-02    3.229561e-05
  1.551798e-02    3.033486e-05
  1.581691e-02    2.846893e-05
  1.611584e-02    2.691129e-05
  1.641477e-02    2.543347e-05
  1.671370e-02    2.403330e-05
  1.701263e-02    2.271871e-05
  1.731156e-02    2.160269e-05
  1.761049e-02    2.057463e-05
  1.790942e-02    1.960402e-05
  1.820835e-02    1.859466e-05
  1.850728e-02    1.769147e-05
  1.880621e-02    1.694971e-05
  1.910514e-02    1.625731e-05
  1.940407e-02    1.555245e-05
  1.970300e-02    1.493793e-05
  2.000193e-02    1.448332e-05
  2.030086e-02    1.399808e-05
  2.059979e-02    1.345224e-05
  2.089873e-02    1.299593e-05
  2.119766e-02    1.257428e-05
  2.149659e-02    1.218131e-05
  2.179552e-02    1.179069e-05
  2.209445e-02    1.142129e-05
  2.239338e-02    1.116838e-05
  2.269231e-02    1.089690e-05
  2.299124e-02    1.049945e-05
  2.329017e-02    1.019415e-05
  2.358910e-02    9.962998e-06
  2.388803e-02    9.753330e-06
  2.418696e-02    9.551816e-06
  2.448589e-02    9.374849e-06
  2.478482e-02    9.190984e-06
  2.508375e-02    8.990603e-06
  2.538268e-02    8.815375e-06
  2.568161e-02    8.671153e-06
  2.598054e-02    8.479697e-06
  2.627947e-02    8.272819e-06
  2.657840e-02    8.145644e-06
  2.687733e-02    8.090005e-06
  2.717626e-02    7.981233e-06
  2.747519e-02    7.861707e-06
  2.777412e-02    7.724374e-06
  2.807305e-02    7.601712e-06
  2.837198e-02    7.519615e-06
  2.867092e-02    7.425889e-06
  2.896985e-02    7.334834e-06
  2.926878e-02    7.272228e-06
  2.956771e-02    7.174249e-06
  2.986664e-02    7.105415e-06
  3.016557e-02    7.064741e-06
  3.046450e-02    6.926340e-06
  3.076343e-02    6.867564e-06
  3.106236e-02    6.805653e-06
  3.136129e-02    6.745564e-06
  3.166022e-02    6.654189e-06
  3.195915e-02    6.549395e-06
  3.225808e-02    6.540821e-06
  3.255701e-02    6.543869e-06
  3.285594e-02    6.495682e-06
  3.315487e-02    6.422095e-06
  3.345380e-02    6.305820e-06
  3.375273e-02    6.250554e-06
  3.405166e-02    6.195492e-06
  3.435059e-02    6.106578e-06
  3.464952e-02    6.090972e-06
  3.494845e-02    6.057547e-06
  3.524738e-02    6.000127e-06
  3.554631e-02    5.964813e-06
  3.584524e-02    5.895933e-06
  3.614417e-02    5.824177e-06
  3.644310e-02    5.770069e-06
  3.674204e-02    5.762562e-06
  3.704097e-02    5.739978e-06
  3.733990e-02    5.689357e-06
  3.763883e-02    5.635613e-06
  3.793776e-02    5.575512e-06
  3.823669e-02    5.551704e-06
  3.853562e-02    5.494334e-06
  3.883455e-02    5.448113e-06
  3.913348e-02    5.444482e-06
  3.943241e-02    5.412559e-06
  3.973134e-02    5.400768e-06
  4.003027e-02    5.365487e-06
  4.032920e-02    5.326535e-06
  4.062813e-02    5.324171e-06
  4.092706e-02    5.302604e-06
  4.122599e-02    5.304173e-06
  4.152492e-02    5.280208e-06
  4.182385e-02    5.210247e-06
  4.212278e-02    5.175254e-06
  4.242171e-02    5.183434e-06
  4.272064e-02    5.165342e-06
  4.301957e-02    5.133750e-06
  4.331850e-02    5.119885e-06
  4.361743e-02    5.110103e-06
  4.391636e-02    5.094594e-06
  4.421529e-02    5.087072e-06
  4.451423e-02    5.080663e-06
  4.481316e-02    5.029097e-06
  4.511209e-02    5.046380e-06
  4.541102e-02    5.052267e-06
  4.570995e-02    5.039745e-06
  4.600888e-02    5.017993e-06
  4.630781e-02    4.993350e-06
  4.660674e-02    5.026895e-06
  4.690567e-02    5.035482e-06
  4.720460e-02    5.032123e-06
  4.750353e-02    5.053696e-06
  4.780246e-02    5.048518e-06
  4.810139e-02    5.007859e-06
  4.840032e-02    4.986468e-06
  4.869925e-02    4.986241e-06
  4.899818e-02    4.979315e-06
  4.929711e-02    4.991326e-06
  4.959604e-02    5.021121e-06
  4.989497e-02    5.001489e-06
  5.019390e-02    4.997356e-06
  5.049283e-02    5.013736e-06
  5.079176e-02    4.997292e-06
  5.109069e-02    5.018012e-06
  5.138962e-02    5.042227e-06
  5.168855e-02    5.121191e-06
  5.198748e-02    5.219901e-06
  5.228642e-02    5.193567e-06
  5.258535e-02    5.057744e-06
  5.288428e-02    4.977035e-06
  5.318321e-02    4.950533e-06
  5.348214e-02    4.971122e-06
  5.378107e-02    4.978794e-06
  5.408000e-02    4.962727e-06
  5.437893e-02    4.963128e-06
  5.467786e-02    4.986001e-06
  5.497679e-02    4.983897e-06
  5.527572e-02    4.987953e-06
  5.557465e-02    4.988208e-06
  5.587358e-02    4.984997e-06
  5.617251e-02    4.991021e-06
  5.647144e-02    4.989200e-06
  5.677037e-02    4.985646e-06
  5.706930e-02    4.986748e-06
  5.736823e-02    4.977164e-06
  5.766716e-02    4.993520e-06
  5.796609e-02    5.007232e-06
  5.826502e-02    5.016544e-06
  5.856395e-02    4.993986e-06
  5.886288e-02    4.937350e-06
  5.916181e-02    4.974573e-06
  5.946074e-02    5.024762e-06
  5.975967e-02    5.045046e-06
  6.005861e-02    5.029022e-06
  6.035754e-02    5.006944e-06
  6.065647e-02    5.046269e-06
  6.095540e-02    5.127566e-06
  6.125433e-02    5.214319e-06
  6.155326e-02    5.205735e-06
  6.185219e-02    5.135496e-06
  6.215112e-02    5.091052e-06
  6.245005e-02    5.071724e-06
  6.274898e-02    5.102080e-06
  6.304791e-02    5.121111e-06
  6.334684e-02    5.111893e-06
  6.364577e-02    5.118837e-06
  6.394470e-02    5.125105e-06
  6.424363e-02    5.145368e-06
  6.454256e-02    5.161106e-06
  6.484149e-02    5.156915e-06
  6.514042e-02    5.159883e-06
  6.543935e-02    5.152321e-06
  6.573828e-02    5.136679e-06
  6.603721e-02    5.146286e-06
  6.633614e-02    5.185319e-06
  6.663507e-02    5.217033e-06
  6.693400e-02    5.219106e-06
  6.723293e-02    5.193641e-06
  6.753186e-02    5.214656e-06
  6.783080e-02    5.246065e-06
  6.812973e-02    5.264487e-06
  6.842866e-02    5.264600e-06
  6.872759e-02    5.247558e-06
  6.902652e-02    5.250000e-06
  6.932545e-02    5.289495e-06
  6.962438e-02    5.283518e-06
  6.992331e-02    5.256081e-06
  7.022224e-02    5.249432e-06
  7.052117e-02    5.274186e-06
  7.082010e-02    5.268219e-06
  7.111903e-02    5.292824e-06
  7.141796e-02    5.335268e-06
  7.171689e-02    5.339616e-06
  7.201582e-02    5.322832e-06
  7.231475e-02    5.321393e-06
  7.261368e-02    5.321115e-06
  7.291261e-02    5.363200e-06
  7.321154e-02    5.352453e-06
  7.351047e-02    5.332932e-06
  7.380940e-02    5.339220e-06
  7.410833e-02    5.334778e-06
  7.440726e-02    5.333166e-06
  7.470619e-02    5.354937e-06
  7.500512e-02    5.358579e-06
  7.530405e-02    5.339407e-06
  7.560299e-02    5.346466e-06
  7.590192e-02    5.362042e-06
  7.620085e-02    5.359533e-06
  7.649978e-02    5.348492e-06
  7.679871e-02    5.332619e-06
  7.709764e-02    5.318474e-06
  7.739657e-02    5.332660e-06
  7.769550e-02    5.371916e-06
  7.799443e-02    5.382355e-06
  7.829336e-02    5.357023e-06
  7.859229e-02    5.342040e-06
  7.889122e-02    5.351031e-06
  7.919015e-02    5.360943e-06
  7.948908e-02    5.346140e-06
  7.978801e-02    5.329942e-06
  8.008694e-02    5.322404e-06
  8.038587e-02    5.326373e-06
  8.068480e-02    5.331525e-06
  8.098373e-02    5.303131e-06
  8.128266e-02    5.288679e-06
  8.158159e-02    5.311313e-06
  8.188052e-02    5.307550e-06
  8.217945e-02    5.313370e-06
  8.247838e-02    5.320244e-06
  8.277731e-02    5.289105e-06
  8.307624e-02    5.273084e-06
  8.337518e-02    5.273057e-06
  8.367411e-02    5.275754e-06
  8.397304e-02    5.265065e-06
  8.427197e-02    5.253745e-06
  8.457090e-02    5.252414e-06
  8.486983e-02    5.239463e-06
  8.516876e-02    5.275794e-06
  8.546769e-02    5.240901e-06
  8.576662e-02    5.204934e-06
  8.606555e-02    5.210310e-06
  8.636448e-02    5.207596e-06
  8.666341e-02    5.195793e-06
  8.696234e-02    5.179656e-06
  8.726127e-02    5.180227e-06
  8.756020e-02    5.170806e-06
  8.785913e-02    5.173711e-06
  8.815806e-02    5.143857e-06
  8.845699e-02    5.104137e-06
  8.875592e-02    5.121776e-06
  8.905485e-02    5.123326e-06
  8.935378e-02    5.115046e-06
  8.965271e-02    5.104373e-06
  8.995164e-02    5.088332e-06
  9.025057e-02    5.078201e-06
  9.054950e-02    5.082951e-06
  9.084843e-02    5.077473e-06
  9.114737e-02    5.065055e-06
  9.144630e-02    5.038879e-06
  9.174523e-02    5.036382e-06
  9.204416e-02    5.017471e-06
  9.234309e-02    5.007004e-06
  9.264202e-02    5.006757e-06
  9.294095e-02    4.991900e-06
  9.323988e-02    4.979529e-06
  9.353881e-02    4.968776e-06
  9.383774e-02    4.968630e-06
  9.413667e-02    4.969310e-06
  9.443560e-02    4.972402e-06
  9.473453e-02    4.969869e-06
  9.503346e-02    4.948655e-06
  9.533239e-02    4.944337e-06
  9.563132e-02    4.944040e-06
  9.593025e-02    4.947678e-06
  9.622918e-02    4.951694e-06
  9.652811e-02    4.930471e-06
  9.682704e-02    4.936827e-06
  9.712597e-02    4.948339e-06
  9.742490e-02    4.955219e-06
  9.772383e-02    4.938900e-06
  9.802276e-02    4.895295e-06
  9.832169e-02    4.863236e-06
  9.862062e-02    4.857201e-06
  9.891956e-02    4.854483e-06
  9.921849e-02    4.836903e-06
  9.951742e-02    4.809152e-06
  9.981635e-02    4.801556e-06
  1.001153e-01    4.789750e-06
  1.004142e-01    4.777383e-06
  1.007131e-01    4.769374e-06
  1.010121e-01    4.744216e-06
  1.013110e-01    4.752259e-06
  1.016099e-01    4.736829e-06
  1.019089e-01    4.719540e-06
  1.022078e-01    4.718989e-06
