# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 26869274.6
# --> MT-AL_F127_220301_8561899e-6004-452b-b9ab-9279609848e7_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.698324e-03
  4.756484e-03    1.347589e-03
  5.055415e-03    9.772285e-04
  5.354345e-03    7.071315e-04
  5.653276e-03    5.626701e-04
  5.952206e-03    9.187880e-04
  6.251136e-03    8.317332e-04
  6.550067e-03    7.140152e-04
  6.848997e-03    6.020840e-04
  7.147927e-03    5.081732e-04
  7.446858e-03    4.336874e-04
  7.745788e-03    3.718601e-04
  8.044719e-03    3.206879e-04
  8.343649e-03    2.803192e-04
  8.642579e-03    2.453086e-04
  8.941510e-03    2.160548e-04
  9.240440e-03    1.915102e-04
  9.539371e-03    1.699531e-04
  9.838301e-03    1.514040e-04
  1.013723e-02    1.360172e-04
  1.043616e-02    1.227703e-04
  1.073509e-02    1.104330e-04
  1.103402e-02    9.985796e-05
  1.133295e-02    9.080569e-05
  1.163188e-02    8.288705e-05
  1.193081e-02    7.578859e-05
  1.222974e-02    6.938601e-05
  1.252867e-02    6.389094e-05
  1.282760e-02    5.891716e-05
  1.312654e-02    5.415312e-05
  1.342547e-02    5.014166e-05
  1.372440e-02    4.660423e-05
  1.402333e-02    4.324777e-05
  1.432226e-02    4.021394e-05
  1.462119e-02    3.756081e-05
  1.492012e-02    3.524231e-05
  1.521905e-02    3.302562e-05
  1.551798e-02    3.103583e-05
  1.581691e-02    2.914371e-05
  1.611584e-02    2.743771e-05
  1.641477e-02    2.591052e-05
  1.671370e-02    2.445794e-05
  1.701263e-02    2.320736e-05
  1.731156e-02    2.202672e-05
  1.761049e-02    2.090145e-05
  1.790942e-02    1.994885e-05
  1.820835e-02    1.900901e-05
  1.850728e-02    1.813478e-05
  1.880621e-02    1.738115e-05
  1.910514e-02    1.661143e-05
  1.940407e-02    1.585318e-05
  1.970300e-02    1.524313e-05
  2.000193e-02    1.468593e-05
  2.030086e-02    1.414461e-05
  2.059979e-02    1.363599e-05
  2.089873e-02    1.313077e-05
  2.119766e-02    1.269162e-05
  2.149659e-02    1.225883e-05
  2.179552e-02    1.190371e-05
  2.209445e-02    1.159159e-05
  2.239338e-02    1.122642e-05
  2.269231e-02    1.087253e-05
  2.299124e-02    1.060454e-05
  2.329017e-02    1.037869e-05
  2.358910e-02    1.016118e-05
  2.388803e-02    9.898222e-06
  2.418696e-02    9.618658e-06
  2.448589e-02    9.383480e-06
  2.478482e-02    9.176828e-06
  2.508375e-02    8.986942e-06
  2.538268e-02    8.834529e-06
  2.568161e-02    8.667044e-06
  2.598054e-02    8.512092e-06
  2.627947e-02    8.380038e-06
  2.657840e-02    8.190941e-06
  2.687733e-02    8.046577e-06
  2.717626e-02    7.944078e-06
  2.747519e-02    7.799965e-06
  2.777412e-02    7.675807e-06
  2.807305e-02    7.575210e-06
  2.837198e-02    7.450079e-06
  2.867092e-02    7.370721e-06
  2.896985e-02    7.290543e-06
  2.926878e-02    7.223753e-06
  2.956771e-02    7.114730e-06
  2.986664e-02    7.017281e-06
  3.016557e-02    6.956719e-06
  3.046450e-02    6.881774e-06
  3.076343e-02    6.816920e-06
  3.106236e-02    6.755646e-06
  3.136129e-02    6.676327e-06
  3.166022e-02    6.571899e-06
  3.195915e-02    6.529742e-06
  3.225808e-02    6.481270e-06
  3.255701e-02    6.422854e-06
  3.285594e-02    6.373790e-06
  3.315487e-02    6.300214e-06
  3.345380e-02    6.252151e-06
  3.375273e-02    6.205053e-06
  3.405166e-02    6.114661e-06
  3.435059e-02    6.064542e-06
  3.464952e-02    6.006493e-06
  3.494845e-02    5.986489e-06
  3.524738e-02    5.965814e-06
  3.554631e-02    5.903867e-06
  3.584524e-02    5.856906e-06
  3.614417e-02    5.791400e-06
  3.644310e-02    5.755388e-06
  3.674204e-02    5.709121e-06
  3.704097e-02    5.628774e-06
  3.733990e-02    5.570067e-06
  3.763883e-02    5.557077e-06
  3.793776e-02    5.538807e-06
  3.823669e-02    5.520124e-06
  3.853562e-02    5.499663e-06
  3.883455e-02    5.466978e-06
