# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6774897.800000002
# --> MT-AL_F127_220301_872c9841-987c-40d9-ab44-7c306a4edcf2_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.017120e-03
  4.756484e-03    1.555533e-03
  5.055415e-03    1.091497e-03
  5.354345e-03    7.474342e-04
  5.653276e-03    5.615096e-04
  5.952206e-03    9.036917e-04
  6.251136e-03    8.240973e-04
  6.550067e-03    7.178845e-04
  6.848997e-03    6.129403e-04
  7.147927e-03    5.180259e-04
  7.446858e-03    4.433120e-04
  7.745788e-03    3.802910e-04
  8.044719e-03    3.272686e-04
  8.343649e-03    2.854894e-04
  8.642579e-03    2.494250e-04
  8.941510e-03    2.192464e-04
  9.240440e-03    1.937150e-04
  9.539371e-03    1.719587e-04
  9.838301e-03    1.533215e-04
  1.013723e-02    1.377119e-04
  1.043616e-02    1.243446e-04
  1.073509e-02    1.113670e-04
  1.103402e-02    1.007444e-04
  1.133295e-02    9.133446e-05
  1.163188e-02    8.297918e-05
  1.193081e-02    7.598485e-05
  1.222974e-02    6.967327e-05
  1.252867e-02    6.404843e-05
  1.282760e-02    5.884853e-05
  1.312654e-02    5.444956e-05
  1.342547e-02    5.042944e-05
  1.372440e-02    4.667789e-05
  1.402333e-02    4.338789e-05
  1.432226e-02    4.021341e-05
  1.462119e-02    3.759485e-05
  1.492012e-02    3.519694e-05
  1.521905e-02    3.282247e-05
  1.551798e-02    3.086692e-05
  1.581691e-02    2.906279e-05
  1.611584e-02    2.739379e-05
  1.641477e-02    2.589625e-05
  1.671370e-02    2.435939e-05
  1.701263e-02    2.313097e-05
  1.731156e-02    2.189424e-05
  1.761049e-02    2.083000e-05
  1.790942e-02    1.990312e-05
  1.820835e-02    1.895213e-05
  1.850728e-02    1.798897e-05
  1.880621e-02    1.714493e-05
  1.910514e-02    1.643598e-05
  1.940407e-02    1.577911e-05
  1.970300e-02    1.522027e-05
  2.000193e-02    1.474949e-05
  2.030086e-02    1.424453e-05
  2.059979e-02    1.369284e-05
  2.089873e-02    1.315555e-05
  2.119766e-02    1.271003e-05
  2.149659e-02    1.238409e-05
  2.179552e-02    1.198038e-05
  2.209445e-02    1.156962e-05
  2.239338e-02    1.129337e-05
  2.269231e-02    1.095564e-05
  2.299124e-02    1.070590e-05
  2.329017e-02    1.039343e-05
  2.358910e-02    1.013860e-05
  2.388803e-02    9.942574e-06
  2.418696e-02    9.726952e-06
  2.448589e-02    9.492145e-06
  2.478482e-02    9.261395e-06
  2.508375e-02    9.178884e-06
  2.538268e-02    9.053212e-06
  2.568161e-02    8.846177e-06
  2.598054e-02    8.671292e-06
  2.627947e-02    8.541012e-06
  2.657840e-02    8.415976e-06
  2.687733e-02    8.248961e-06
  2.717626e-02    8.076760e-06
  2.747519e-02    7.938484e-06
  2.777412e-02    7.973013e-06
  2.807305e-02    7.843260e-06
  2.837198e-02    7.686280e-06
  2.867092e-02    7.591159e-06
  2.896985e-02    7.512142e-06
  2.926878e-02    7.423322e-06
  2.956771e-02    7.380376e-06
  2.986664e-02    7.274863e-06
  3.016557e-02    7.254065e-06
  3.046450e-02    7.145987e-06
  3.076343e-02    7.046945e-06
  3.106236e-02    6.944189e-06
  3.136129e-02    6.925276e-06
  3.166022e-02    6.833727e-06
  3.195915e-02    6.763616e-06
  3.225808e-02    6.725883e-06
  3.255701e-02    6.636519e-06
  3.285594e-02    6.600984e-06
  3.315487e-02    6.548533e-06
  3.345380e-02    6.487970e-06
  3.375273e-02    6.392230e-06
  3.405166e-02    6.364342e-06
  3.435059e-02    6.367568e-06
  3.464952e-02    6.307201e-06
  3.494845e-02    6.147597e-06
  3.524738e-02    6.082160e-06
  3.554631e-02    6.054112e-06
  3.584524e-02    6.018400e-06
  3.614417e-02    5.971128e-06
  3.644310e-02    5.886815e-06
  3.674204e-02    5.815053e-06
  3.704097e-02    5.791312e-06
  3.733990e-02    5.782623e-06
  3.763883e-02    5.746261e-06
  3.793776e-02    5.739440e-06
  3.823669e-02    5.636348e-06
  3.853562e-02    5.560448e-06
  3.883455e-02    5.549306e-06
  3.913348e-02    5.554005e-06
  3.943241e-02    5.518879e-06
  3.973134e-02    5.454886e-06
  4.003027e-02    5.380219e-06
  4.032920e-02    5.348540e-06
  4.062813e-02    5.344078e-06
  4.092706e-02    5.335240e-06
  4.122599e-02    5.293250e-06
  4.152492e-02    5.268234e-06
  4.182385e-02    5.222329e-06
  4.212278e-02    5.206848e-06
  4.242171e-02    5.204904e-06
  4.272064e-02    5.152716e-06
  4.301957e-02    5.118977e-06
  4.331850e-02    5.142481e-06
  4.361743e-02    5.143940e-06
  4.391636e-02    5.156101e-06
  4.421529e-02    5.112781e-06
  4.451423e-02    5.087515e-06
  4.481316e-02    5.109256e-06
  4.511209e-02    5.107194e-06
  4.541102e-02    5.093296e-06
  4.570995e-02    5.089889e-06
  4.600888e-02    5.075199e-06
  4.630781e-02    5.040811e-06
  4.660674e-02    5.059559e-06
  4.690567e-02    5.061849e-06
  4.720460e-02    5.074015e-06
  4.750353e-02    5.021231e-06
  4.780246e-02    5.043723e-06
  4.810139e-02    5.065927e-06
  4.840032e-02    5.026774e-06
  4.869925e-02    4.986622e-06
  4.899818e-02    4.996773e-06
  4.929711e-02    5.027906e-06
  4.959604e-02    5.013379e-06
  4.989497e-02    5.005997e-06
  5.019390e-02    5.011469e-06
  5.049283e-02    4.969473e-06
  5.079176e-02    4.977222e-06
  5.109069e-02    5.018700e-06
  5.138962e-02    5.075464e-06
  5.168855e-02    5.183509e-06
  5.198748e-02    5.259480e-06
  5.228642e-02    5.217522e-06
  5.258535e-02    5.016450e-06
  5.288428e-02    4.941565e-06
  5.318321e-02    4.970265e-06
  5.348214e-02    4.979209e-06
  5.378107e-02    4.984086e-06
  5.408000e-02    4.969566e-06
  5.437893e-02    4.942252e-06
  5.467786e-02    4.949427e-06
  5.497679e-02    4.993962e-06
  5.527572e-02    4.950939e-06
  5.557465e-02    4.917172e-06
  5.587358e-02    4.929574e-06
  5.617251e-02    4.966512e-06
  5.647144e-02    4.990068e-06
  5.677037e-02    4.987583e-06
  5.706930e-02    4.950272e-06
  5.736823e-02    4.952142e-06
  5.766716e-02    4.990815e-06
  5.796609e-02    4.970274e-06
  5.826502e-02    4.968175e-06
  5.856395e-02    4.951651e-06
  5.886288e-02    4.964879e-06
  5.916181e-02    4.962517e-06
  5.946074e-02    4.999448e-06
  5.975967e-02    4.987515e-06
  6.005861e-02    5.012089e-06
  6.035754e-02    5.020521e-06
  6.065647e-02    5.023976e-06
  6.095540e-02    5.077235e-06
  6.125433e-02    5.195580e-06
  6.155326e-02    5.200045e-06
  6.185219e-02    5.135844e-06
  6.215112e-02    5.056001e-06
  6.245005e-02    5.047288e-06
  6.274898e-02    5.060249e-06
  6.304791e-02    5.070693e-06
  6.334684e-02    5.067429e-06
  6.364577e-02    5.063272e-06
  6.394470e-02    5.104773e-06
  6.424363e-02    5.128670e-06
  6.454256e-02    5.106994e-06
  6.484149e-02    5.075054e-06
  6.514042e-02    5.092817e-06
  6.543935e-02    5.096457e-06
  6.573828e-02    5.143142e-06
  6.603721e-02    5.140571e-06
  6.633614e-02    5.146624e-06
  6.663507e-02    5.181619e-06
  6.693400e-02    5.170788e-06
  6.723293e-02    5.177324e-06
  6.753186e-02    5.190648e-06
  6.783080e-02    5.217530e-06
  6.812973e-02    5.199187e-06
  6.842866e-02    5.179430e-06
  6.872759e-02    5.164584e-06
  6.902652e-02    5.168328e-06
  6.932545e-02    5.218583e-06
  6.962438e-02    5.247660e-06
  6.992331e-02    5.220797e-06
  7.022224e-02    5.225069e-06
  7.052117e-02    5.240413e-06
  7.082010e-02    5.227705e-06
  7.111903e-02    5.260029e-06
  7.141796e-02    5.261042e-06
  7.171689e-02    5.275723e-06
  7.201582e-02    5.278494e-06
  7.231475e-02    5.258290e-06
  7.261368e-02    5.268683e-06
  7.291261e-02    5.285843e-06
  7.321154e-02    5.298344e-06
  7.351047e-02    5.313188e-06
  7.380940e-02    5.290319e-06
  7.410833e-02    5.263849e-06
  7.440726e-02    5.266143e-06
  7.470619e-02    5.297193e-06
  7.500512e-02    5.338510e-06
  7.530405e-02    5.338464e-06
  7.560299e-02    5.344460e-06
  7.590192e-02    5.327834e-06
  7.620085e-02    5.334375e-06
  7.649978e-02    5.314402e-06
  7.679871e-02    5.293638e-06
  7.709764e-02    5.285082e-06
  7.739657e-02    5.285403e-06
  7.769550e-02    5.285719e-06
  7.799443e-02    5.326537e-06
  7.829336e-02    5.312174e-06
  7.859229e-02    5.281012e-06
  7.889122e-02    5.298195e-06
  7.919015e-02    5.307410e-06
  7.948908e-02    5.318937e-06
  7.978801e-02    5.310592e-06
  8.008694e-02    5.278378e-06
  8.038587e-02    5.275872e-06
  8.068480e-02    5.279697e-06
  8.098373e-02    5.241171e-06
  8.128266e-02    5.249029e-06
  8.158159e-02    5.249203e-06
  8.188052e-02    5.211317e-06
  8.217945e-02    5.219650e-06
  8.247838e-02    5.209525e-06
  8.277731e-02    5.234241e-06
  8.307624e-02    5.233455e-06
  8.337518e-02    5.227656e-06
  8.367411e-02    5.243082e-06
  8.397304e-02    5.219859e-06
  8.427197e-02    5.198442e-06
  8.457090e-02    5.196340e-06
  8.486983e-02    5.184914e-06
  8.516876e-02    5.165494e-06
  8.546769e-02    5.151151e-06
  8.576662e-02    5.142192e-06
  8.606555e-02    5.126191e-06
  8.636448e-02    5.155155e-06
  8.666341e-02    5.156748e-06
  8.696234e-02    5.122344e-06
  8.726127e-02    5.102950e-06
  8.756020e-02    5.095981e-06
  8.785913e-02    5.110925e-06
  8.815806e-02    5.070174e-06
  8.845699e-02    5.056657e-06
  8.875592e-02    5.040811e-06
  8.905485e-02    5.052194e-06
  8.935378e-02    5.035927e-06
  8.965271e-02    5.027198e-06
  8.995164e-02    4.995573e-06
  9.025057e-02    4.966886e-06
  9.054950e-02    4.975248e-06
  9.084843e-02    4.986074e-06
  9.114737e-02    4.968320e-06
  9.144630e-02    4.966783e-06
  9.174523e-02    4.954336e-06
  9.204416e-02    4.964117e-06
  9.234309e-02    4.935384e-06
  9.264202e-02    4.932890e-06
