# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 10241370.4
# --> MT-AL_F127_220301_8998a976-ecfc-4220-861c-2ed148312fab_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.449347e-03
  4.756484e-03    1.107136e-03
  5.055415e-03    7.663837e-04
  5.354345e-03    5.279216e-04
  5.653276e-03    3.976963e-04
  5.952206e-03    6.301060e-04
  6.251136e-03    5.759688e-04
  6.550067e-03    5.014634e-04
  6.848997e-03    4.286901e-04
  7.147927e-03    3.626509e-04
  7.446858e-03    3.093438e-04
  7.745788e-03    2.649929e-04
  8.044719e-03    2.277390e-04
  8.343649e-03    1.989037e-04
  8.642579e-03    1.743573e-04
  8.941510e-03    1.537854e-04
  9.240440e-03    1.357270e-04
  9.539371e-03    1.207801e-04
  9.838301e-03    1.078165e-04
  1.013723e-02    9.621679e-05
  1.043616e-02    8.637553e-05
  1.073509e-02    7.754105e-05
  1.103402e-02    7.032190e-05
  1.133295e-02    6.400512e-05
  1.163188e-02    5.823813e-05
  1.193081e-02    5.328710e-05
  1.222974e-02    4.867760e-05
  1.252867e-02    4.462198e-05
  1.282760e-02    4.126022e-05
  1.312654e-02    3.821672e-05
  1.342547e-02    3.538120e-05
  1.372440e-02    3.262520e-05
  1.402333e-02    3.024349e-05
  1.432226e-02    2.815348e-05
  1.462119e-02    2.634679e-05
  1.492012e-02    2.466324e-05
  1.521905e-02    2.306259e-05
  1.551798e-02    2.160786e-05
  1.581691e-02    2.035649e-05
  1.611584e-02    1.920910e-05
  1.641477e-02    1.806126e-05
  1.671370e-02    1.712680e-05
  1.701263e-02    1.631004e-05
  1.731156e-02    1.541051e-05
  1.761049e-02    1.465091e-05
  1.790942e-02    1.404207e-05
  1.820835e-02    1.339301e-05
  1.850728e-02    1.278528e-05
