# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 17816775.2
# --> MT-AL_F127_220301_96848edc-eb55-4d31-b1ef-74f06ec1440b_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.798020e-03
  4.756484e-03    1.399069e-03
  5.055415e-03    9.936533e-04
  5.354345e-03    6.966594e-04
  5.653276e-03    5.401830e-04
  5.952206e-03    8.795182e-04
  6.251136e-03    8.006053e-04
  6.550067e-03    6.919574e-04
  6.848997e-03    5.873657e-04
  7.147927e-03    4.972770e-04
  7.446858e-03    4.244943e-04
  7.745788e-03    3.633574e-04
  8.044719e-03    3.132620e-04
  8.343649e-03    2.735311e-04
  8.642579e-03    2.390850e-04
  8.941510e-03    2.106426e-04
  9.240440e-03    1.861706e-04
  9.539371e-03    1.654641e-04
  9.838301e-03    1.474505e-04
  1.013723e-02    1.320806e-04
  1.043616e-02    1.186412e-04
  1.073509e-02    1.065193e-04
  1.103402e-02    9.661799e-05
  1.133295e-02    8.785288e-05
  1.163188e-02    8.029673e-05
  1.193081e-02    7.339405e-05
  1.222974e-02    6.701970e-05
  1.252867e-02    6.165769e-05
  1.282760e-02    5.690987e-05
  1.312654e-02    5.274230e-05
  1.342547e-02    4.886766e-05
  1.372440e-02    4.515517e-05
  1.402333e-02    4.194041e-05
  1.432226e-02    3.916926e-05
  1.462119e-02    3.657479e-05
  1.492012e-02    3.423707e-05
  1.521905e-02    3.207841e-05
  1.551798e-02    3.016161e-05
  1.581691e-02    2.828312e-05
  1.611584e-02    2.665952e-05
  1.641477e-02    2.519821e-05
  1.671370e-02    2.386686e-05
  1.701263e-02    2.258470e-05
  1.731156e-02    2.155008e-05
  1.761049e-02    2.049938e-05
  1.790942e-02    1.948999e-05
  1.820835e-02    1.861753e-05
  1.850728e-02    1.776740e-05
  1.880621e-02    1.703746e-05
  1.910514e-02    1.628823e-05
  1.940407e-02    1.560975e-05
  1.970300e-02    1.503724e-05
  2.000193e-02    1.455267e-05
  2.030086e-02    1.397750e-05
  2.059979e-02    1.346794e-05
  2.089873e-02    1.299353e-05
  2.119766e-02    1.256958e-05
  2.149659e-02    1.219011e-05
  2.179552e-02    1.180471e-05
  2.209445e-02    1.144347e-05
  2.239338e-02    1.112937e-05
  2.269231e-02    1.076465e-05
  2.299124e-02    1.050773e-05
  2.329017e-02    1.027095e-05
  2.358910e-02    1.002004e-05
  2.388803e-02    9.792612e-06
  2.418696e-02    9.635156e-06
  2.448589e-02    9.393629e-06
  2.478482e-02    9.157178e-06
  2.508375e-02    8.994102e-06
  2.538268e-02    8.838107e-06
  2.568161e-02    8.715408e-06
  2.598054e-02    8.542627e-06
  2.627947e-02    8.364963e-06
  2.657840e-02    8.234811e-06
  2.687733e-02    8.151461e-06
  2.717626e-02    7.983950e-06
  2.747519e-02    7.831426e-06
  2.777412e-02    7.791322e-06
  2.807305e-02    7.724599e-06
  2.837198e-02    7.584167e-06
  2.867092e-02    7.466347e-06
  2.896985e-02    7.400048e-06
  2.926878e-02    7.324219e-06
  2.956771e-02    7.270135e-06
  2.986664e-02    7.180754e-06
  3.016557e-02    7.057478e-06
  3.046450e-02    6.966861e-06
  3.076343e-02    6.911402e-06
  3.106236e-02    6.819326e-06
  3.136129e-02    6.727024e-06
  3.166022e-02    6.714515e-06
  3.195915e-02    6.661169e-06
  3.225808e-02    6.602408e-06
  3.255701e-02    6.545541e-06
  3.285594e-02    6.461142e-06
  3.315487e-02    6.424100e-06
  3.345380e-02    6.364411e-06
  3.375273e-02    6.318190e-06
