# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 25463232.6
# --> MT-AL_F127_220301_aa851f73-c1d2-4fe0-9a3d-3508e92792e4_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.743883e-03
  4.756484e-03    1.385262e-03
  5.055415e-03    1.006974e-03
  5.354345e-03    7.217803e-04
  5.653276e-03    5.706567e-04
  5.952206e-03    9.270486e-04
  6.251136e-03    8.407955e-04
  6.550067e-03    7.234251e-04
  6.848997e-03    6.109997e-04
  7.147927e-03    5.156313e-04
  7.446858e-03    4.402039e-04
  7.745788e-03    3.779966e-04
  8.044719e-03    3.263486e-04
  8.343649e-03    2.852050e-04
  8.642579e-03    2.498560e-04
  8.941510e-03    2.198556e-04
  9.240440e-03    1.947616e-04
  9.539371e-03    1.729795e-04
  9.838301e-03    1.541981e-04
  1.013723e-02    1.384242e-04
  1.043616e-02    1.247713e-04
  1.073509e-02    1.121497e-04
  1.103402e-02    1.016025e-04
  1.133295e-02    9.225500e-05
  1.163188e-02    8.405060e-05
  1.193081e-02    7.689018e-05
  1.222974e-02    7.044651e-05
  1.252867e-02    6.481682e-05
  1.282760e-02    5.967450e-05
  1.312654e-02    5.496790e-05
  1.342547e-02    5.084032e-05
  1.372440e-02    4.714737e-05
  1.402333e-02    4.376889e-05
  1.432226e-02    4.082631e-05
  1.462119e-02    3.802981e-05
  1.492012e-02    3.559651e-05
  1.521905e-02    3.329424e-05
  1.551798e-02    3.131371e-05
  1.581691e-02    2.941144e-05
  1.611584e-02    2.764044e-05
  1.641477e-02    2.609438e-05
  1.671370e-02    2.470396e-05
  1.701263e-02    2.336878e-05
  1.731156e-02    2.209501e-05
  1.761049e-02    2.103523e-05
  1.790942e-02    2.005335e-05
  1.820835e-02    1.908531e-05
  1.850728e-02    1.820773e-05
  1.880621e-02    1.740127e-05
  1.910514e-02    1.665205e-05
  1.940407e-02    1.590817e-05
  1.970300e-02    1.529451e-05
  2.000193e-02    1.476365e-05
  2.030086e-02    1.422432e-05
  2.059979e-02    1.366069e-05
  2.089873e-02    1.315233e-05
  2.119766e-02    1.272304e-05
  2.149659e-02    1.235303e-05
  2.179552e-02    1.197535e-05
  2.209445e-02    1.161987e-05
  2.239338e-02    1.128242e-05
  2.269231e-02    1.092907e-05
  2.299124e-02    1.063005e-05
  2.329017e-02    1.035560e-05
  2.358910e-02    1.008945e-05
  2.388803e-02    9.857461e-06
  2.418696e-02    9.627661e-06
  2.448589e-02    9.382303e-06
  2.478482e-02    9.194262e-06
  2.508375e-02    9.016280e-06
  2.538268e-02    8.842206e-06
  2.568161e-02    8.683887e-06
  2.598054e-02    8.507694e-06
  2.627947e-02    8.342261e-06
  2.657840e-02    8.201249e-06
  2.687733e-02    8.098767e-06
  2.717626e-02    7.969837e-06
  2.747519e-02    7.845714e-06
  2.777412e-02    7.740364e-06
  2.807305e-02    7.601144e-06
  2.837198e-02    7.474837e-06
  2.867092e-02    7.387217e-06
  2.896985e-02    7.290031e-06
  2.926878e-02    7.208573e-06
  2.956771e-02    7.132276e-06
  2.986664e-02    7.028536e-06
  3.016557e-02    6.993216e-06
  3.046450e-02    6.936172e-06
  3.076343e-02    6.854244e-06
  3.106236e-02    6.758618e-06
  3.136129e-02    6.664713e-06
  3.166022e-02    6.590248e-06
  3.195915e-02    6.545012e-06
  3.225808e-02    6.443742e-06
  3.255701e-02    6.378222e-06
  3.285594e-02    6.353537e-06
  3.315487e-02    6.310018e-06
  3.345380e-02    6.266907e-06
  3.375273e-02    6.190438e-06
  3.405166e-02    6.112895e-06
  3.435059e-02    6.058856e-06
  3.464952e-02    6.024878e-06
  3.494845e-02    5.970746e-06
  3.524738e-02    5.919877e-06
  3.554631e-02    5.882329e-06
  3.584524e-02    5.841702e-06
  3.614417e-02    5.788982e-06
  3.644310e-02    5.737038e-06
  3.674204e-02    5.728270e-06
  3.704097e-02    5.711287e-06
  3.733990e-02    5.636547e-06
  3.763883e-02    5.618566e-06
  3.793776e-02    5.596060e-06
  3.823669e-02    5.561745e-06
  3.853562e-02    5.521048e-06
  3.883455e-02    5.472025e-06
  3.913348e-02    5.437349e-06
  3.943241e-02    5.425243e-06
  3.973134e-02    5.396922e-06
  4.003027e-02    5.349678e-06
  4.032920e-02    5.314801e-06
  4.062813e-02    5.302918e-06
  4.092706e-02    5.292014e-06
  4.122599e-02    5.269174e-06
  4.152492e-02    5.236320e-06
  4.182385e-02    5.205653e-06
  4.212278e-02    5.224459e-06
  4.242171e-02    5.233430e-06
  4.272064e-02    5.179700e-06
  4.301957e-02    5.153312e-06
  4.331850e-02    5.157965e-06
  4.361743e-02    5.144509e-06
  4.391636e-02    5.096175e-06
  4.421529e-02    5.071476e-06
  4.451423e-02    5.106289e-06
  4.481316e-02    5.115734e-06
  4.511209e-02    5.087757e-06
  4.541102e-02    5.087755e-06
  4.570995e-02    5.083039e-06
  4.600888e-02    5.065398e-06
  4.630781e-02    5.050556e-06
  4.660674e-02    5.034627e-06
  4.690567e-02    5.041909e-06
  4.720460e-02    5.051921e-06
  4.750353e-02    5.069554e-06
  4.780246e-02    5.044566e-06
  4.810139e-02    5.033311e-06
  4.840032e-02    5.030249e-06
  4.869925e-02    5.016853e-06
  4.899818e-02    4.994167e-06
  4.929711e-02    5.011557e-06
  4.959604e-02    5.013042e-06
  4.989497e-02    5.013908e-06
  5.019390e-02    5.009549e-06
  5.049283e-02    5.017662e-06
  5.079176e-02    5.037741e-06
  5.109069e-02    5.033366e-06
  5.138962e-02    5.059053e-06
  5.168855e-02    5.123188e-06
  5.198748e-02    5.181542e-06
  5.228642e-02    5.153798e-06
  5.258535e-02    5.042358e-06
  5.288428e-02    5.023518e-06
  5.318321e-02    5.019019e-06
  5.348214e-02    4.992695e-06
  5.378107e-02    4.995087e-06
  5.408000e-02    5.014411e-06
  5.437893e-02    5.021494e-06
  5.467786e-02    5.020926e-06
  5.497679e-02    5.004665e-06
  5.527572e-02    5.014987e-06
  5.557465e-02    5.031847e-06
  5.587358e-02    5.040672e-06
  5.617251e-02    5.044774e-06
  5.647144e-02    5.044988e-06
  5.677037e-02    5.033293e-06
  5.706930e-02    5.014312e-06
  5.736823e-02    5.050930e-06
  5.766716e-02    5.069398e-06
  5.796609e-02    5.076523e-06
  5.826502e-02    5.083259e-06
  5.856395e-02    5.099779e-06
  5.886288e-02    5.080994e-06
  5.916181e-02    5.091736e-06
  5.946074e-02    5.111578e-06
  5.975967e-02    5.115496e-06
  6.005861e-02    5.123418e-06
  6.035754e-02    5.148361e-06
  6.065647e-02    5.147377e-06
  6.095540e-02    5.171374e-06
  6.125433e-02    5.219196e-06
  6.155326e-02    5.255661e-06
  6.185219e-02    5.212185e-06
  6.215112e-02    5.208839e-06
  6.245005e-02    5.199458e-06
  6.274898e-02    5.177465e-06
  6.304791e-02    5.182093e-06
  6.334684e-02    5.187417e-06
  6.364577e-02    5.190428e-06
  6.394470e-02    5.201048e-06
  6.424363e-02    5.221475e-06
  6.454256e-02    5.218051e-06
  6.484149e-02    5.223444e-06
  6.514042e-02    5.223399e-06
  6.543935e-02    5.245164e-06
  6.573828e-02    5.239468e-06
  6.603721e-02    5.236747e-06
  6.633614e-02    5.252040e-06
  6.663507e-02    5.251455e-06
  6.693400e-02    5.276594e-06
  6.723293e-02    5.296567e-06
  6.753186e-02    5.293830e-06
  6.783080e-02    5.290716e-06
  6.812973e-02    5.302731e-06
  6.842866e-02    5.329677e-06
  6.872759e-02    5.324280e-06
  6.902652e-02    5.324262e-06
  6.932545e-02    5.334423e-06
  6.962438e-02    5.367111e-06
  6.992331e-02    5.386893e-06
  7.022224e-02    5.384895e-06
  7.052117e-02    5.374435e-06
  7.082010e-02    5.383201e-06
  7.111903e-02    5.376517e-06
  7.141796e-02    5.375060e-06
  7.171689e-02    5.378090e-06
  7.201582e-02    5.396055e-06
  7.231475e-02    5.415589e-06
  7.261368e-02    5.400921e-06
  7.291261e-02    5.420691e-06
  7.321154e-02    5.448503e-06
  7.351047e-02    5.441714e-06
  7.380940e-02    5.430415e-06
  7.410833e-02    5.433577e-06
  7.440726e-02    5.433027e-06
  7.470619e-02    5.432766e-06
  7.500512e-02    5.430782e-06
  7.530405e-02    5.421613e-06
  7.560299e-02    5.417498e-06
  7.590192e-02    5.419440e-06
  7.620085e-02    5.435808e-06
  7.649978e-02    5.438416e-06
  7.679871e-02    5.432758e-06
  7.709764e-02    5.446595e-06
  7.739657e-02    5.454617e-06
  7.769550e-02    5.456472e-06
  7.799443e-02    5.459745e-06
  7.829336e-02    5.462269e-06
  7.859229e-02    5.453443e-06
  7.889122e-02    5.436697e-06
  7.919015e-02    5.431890e-06
  7.948908e-02    5.434571e-06
  7.978801e-02    5.423835e-06
  8.008694e-02    5.416592e-06
  8.038587e-02    5.411848e-06
  8.068480e-02    5.431094e-06
  8.098373e-02    5.419704e-06
  8.128266e-02    5.403836e-06
  8.158159e-02    5.401968e-06
  8.188052e-02    5.394381e-06
  8.217945e-02    5.406015e-06
  8.247838e-02    5.401554e-06
  8.277731e-02    5.393997e-06
  8.307624e-02    5.389521e-06
  8.337518e-02    5.381925e-06
  8.367411e-02    5.380161e-06
  8.397304e-02    5.361916e-06
  8.427197e-02    5.360178e-06
  8.457090e-02    5.354880e-06
  8.486983e-02    5.352446e-06
  8.516876e-02    5.344592e-06
  8.546769e-02    5.327064e-06
  8.576662e-02    5.320704e-06
  8.606555e-02    5.319816e-06
  8.636448e-02    5.314415e-06
  8.666341e-02    5.320781e-06
  8.696234e-02    5.307692e-06
  8.726127e-02    5.294584e-06
  8.756020e-02    5.293232e-06
  8.785913e-02    5.284512e-06
  8.815806e-02    5.286623e-06
  8.845699e-02    5.266666e-06
  8.875592e-02    5.238355e-06
  8.905485e-02    5.239304e-06
  8.935378e-02    5.222847e-06
  8.965271e-02    5.196996e-06
  8.995164e-02    5.194413e-06
  9.025057e-02    5.187929e-06
  9.054950e-02    5.179835e-06
  9.084843e-02    5.186279e-06
  9.114737e-02    5.178929e-06
  9.144630e-02    5.160583e-06
  9.174523e-02    5.150419e-06
  9.204416e-02    5.153721e-06
  9.234309e-02    5.146715e-06
  9.264202e-02    5.135526e-06
  9.294095e-02    5.123968e-06
  9.323988e-02    5.108300e-06
  9.353881e-02    5.118232e-06
  9.383774e-02    5.101149e-06
  9.413667e-02    5.080870e-06
  9.443560e-02    5.083158e-06
  9.473453e-02    5.065917e-06
  9.503346e-02    5.057218e-06
  9.533239e-02    5.043340e-06
  9.563132e-02    5.044811e-06
  9.593025e-02    5.037320e-06
  9.622918e-02    5.039541e-06
  9.652811e-02    5.050956e-06
  9.682704e-02    5.049989e-06
  9.712597e-02    5.034331e-06
  9.742490e-02    5.028503e-06
  9.772383e-02    5.009488e-06
  9.802276e-02    4.992865e-06
  9.832169e-02    4.972736e-06
  9.862062e-02    4.942901e-06
  9.891956e-02    4.944226e-06
  9.921849e-02    4.953313e-06
  9.951742e-02    4.928747e-06
  9.981635e-02    4.910794e-06
  1.001153e-01    4.904647e-06
  1.004142e-01    4.895641e-06
  1.007131e-01    4.884172e-06
  1.010121e-01    4.873755e-06
  1.013110e-01    4.876235e-06
  1.016099e-01    4.859676e-06
  1.019089e-01    4.847655e-06
  1.022078e-01    4.841888e-06
  1.025067e-01    4.855244e-06
  1.028057e-01    4.832661e-06
  1.031046e-01    4.797303e-06
  1.034035e-01    4.788805e-06
  1.037024e-01    4.802751e-06
  1.040014e-01    4.783288e-06
  1.043003e-01    4.769356e-06
  1.045992e-01    4.778457e-06
  1.048982e-01    4.767301e-06
  1.051971e-01    4.743596e-06
  1.054960e-01    4.733106e-06
  1.057950e-01    4.706657e-06
  1.060939e-01    4.700994e-06
  1.063928e-01    4.702366e-06
  1.066917e-01    4.687375e-06
  1.069907e-01    4.692055e-06
  1.072896e-01    4.688392e-06
  1.075885e-01    4.665212e-06
  1.078875e-01    4.646329e-06
  1.081864e-01    4.647663e-06
  1.084853e-01    4.655833e-06
  1.087843e-01    4.650283e-06
  1.090832e-01    4.647279e-06
  1.093821e-01    4.624907e-06
  1.096810e-01    4.591897e-06
  1.099800e-01    4.572282e-06
  1.102789e-01    4.577739e-06
  1.105778e-01    4.565624e-06
  1.108768e-01    4.548264e-06
  1.111757e-01    4.532193e-06
  1.114746e-01    4.521356e-06
  1.117736e-01    4.522122e-06
  1.120725e-01    4.530005e-06
  1.123714e-01    4.519951e-06
  1.126704e-01    4.507842e-06
  1.129693e-01    4.473039e-06
  1.132682e-01    4.469347e-06
  1.135671e-01    4.468529e-06
  1.138661e-01    4.452982e-06
  1.141650e-01    4.401919e-06
  1.144639e-01    4.404150e-06
  1.147629e-01    4.425124e-06
  1.150618e-01    4.424460e-06
  1.153607e-01    4.414263e-06
  1.156597e-01    4.390942e-06
  1.159586e-01    4.397819e-06
  1.162575e-01    4.401850e-06
  1.165564e-01    4.388317e-06
  1.168554e-01    4.354857e-06
  1.171543e-01    4.323201e-06
  1.174532e-01    4.336493e-06
  1.177522e-01    4.339041e-06
  1.180511e-01    4.295585e-06
  1.183500e-01    4.295714e-06
  1.186490e-01    4.314204e-06
  1.189479e-01    4.344981e-06
  1.192468e-01    4.313070e-06
  1.195458e-01    4.311838e-06
  1.198447e-01    4.346072e-06
  1.201436e-01    4.277375e-06
  1.204425e-01    4.242839e-06
  1.207415e-01    4.295604e-06
  1.210404e-01    4.441792e-06
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
  1.285137e-01    0.000000e+00
  1.288126e-01    0.000000e+00
  1.291115e-01    0.000000e+00
  1.294105e-01    0.000000e+00
  1.297094e-01    0.000000e+00
  1.300083e-01    0.000000e+00
  1.303072e-01    0.000000e+00
  1.306062e-01    0.000000e+00
  1.309051e-01    0.000000e+00
  1.312040e-01    0.000000e+00
  1.315030e-01    0.000000e+00
  1.318019e-01    0.000000e+00
  1.321008e-01    0.000000e+00
  1.323998e-01    0.000000e+00
  1.326987e-01    0.000000e+00
  1.329976e-01    0.000000e+00
  1.332965e-01    0.000000e+00
  1.335955e-01    0.000000e+00
  1.338944e-01    0.000000e+00
  1.341933e-01    0.000000e+00
  1.344923e-01    0.000000e+00
  1.347912e-01    0.000000e+00
  1.350901e-01    0.000000e+00
  1.353891e-01    0.000000e+00
  1.356880e-01    0.000000e+00
  1.359869e-01    0.000000e+00
  1.362859e-01    0.000000e+00
  1.365848e-01    0.000000e+00
  1.368837e-01    0.000000e+00
  1.371826e-01    0.000000e+00
  1.374816e-01    0.000000e+00
  1.377805e-01    0.000000e+00
  1.380794e-01    0.000000e+00
  1.383784e-01    0.000000e+00
  1.386773e-01    0.000000e+00
  1.389762e-01    0.000000e+00
  1.392752e-01    0.000000e+00
  1.395741e-01    0.000000e+00
  1.398730e-01    0.000000e+00
  1.401719e-01    0.000000e+00
  1.404709e-01    0.000000e+00
  1.407698e-01    0.000000e+00
  1.410687e-01    0.000000e+00
  1.413677e-01    0.000000e+00
  1.416666e-01    0.000000e+00
  1.419655e-01    0.000000e+00
  1.422645e-01    0.000000e+00
  1.425634e-01    0.000000e+00
  1.428623e-01    0.000000e+00
  1.431613e-01    0.000000e+00
  1.434602e-01    0.000000e+00
  1.437591e-01    0.000000e+00
  1.440580e-01    0.000000e+00
  1.443570e-01    0.000000e+00
  1.446559e-01    0.000000e+00
  1.449548e-01    0.000000e+00
  1.452538e-01    0.000000e+00
  1.455527e-01    0.000000e+00
  1.458516e-01    0.000000e+00
  1.461506e-01    0.000000e+00
  1.464495e-01    0.000000e+00
  1.467484e-01    0.000000e+00
  1.470473e-01    0.000000e+00
  1.473463e-01    0.000000e+00
  1.476452e-01    0.000000e+00
  1.479441e-01    0.000000e+00
  1.482431e-01    0.000000e+00
  1.485420e-01    0.000000e+00
  1.488409e-01    0.000000e+00
  1.491399e-01    0.000000e+00
  1.494388e-01    0.000000e+00
  1.497377e-01    0.000000e+00
  1.500367e-01    0.000000e+00
  1.503356e-01    0.000000e+00
  1.506345e-01    0.000000e+00
  1.509334e-01    0.000000e+00
  1.512324e-01    0.000000e+00
  1.515313e-01    0.000000e+00
  1.518302e-01    0.000000e+00
  1.521292e-01    0.000000e+00
  1.524281e-01    0.000000e+00
  1.527270e-01    0.000000e+00
  1.530260e-01    0.000000e+00
  1.533249e-01    0.000000e+00
  1.536238e-01    0.000000e+00
