# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 13770837.600000001
# --> MT-AL_F127_220301_ab1af57e-0d05-41e4-94d1-75eaa1e98c9f_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.825385e-03
  4.756484e-03    1.426722e-03
  5.055415e-03    1.006591e-03
  5.354345e-03    7.010283e-04
  5.653276e-03    5.390292e-04
  5.952206e-03    8.682272e-04
  6.251136e-03    7.946055e-04
  6.550067e-03    6.922443e-04
  6.848997e-03    5.897823e-04
  7.147927e-03    4.977788e-04
  7.446858e-03    4.237975e-04
  7.745788e-03    3.642830e-04
  8.044719e-03    3.139753e-04
  8.343649e-03    2.736715e-04
  8.642579e-03    2.396206e-04
  8.941510e-03    2.107175e-04
  9.240440e-03    1.865184e-04
  9.539371e-03    1.653389e-04
  9.838301e-03    1.473188e-04
  1.013723e-02    1.320625e-04
  1.043616e-02    1.187524e-04
  1.073509e-02    1.066681e-04
  1.103402e-02    9.675137e-05
  1.133295e-02    8.793053e-05
  1.163188e-02    7.982831e-05
  1.193081e-02    7.296811e-05
  1.222974e-02    6.684089e-05
  1.252867e-02    6.135728e-05
  1.282760e-02    5.660688e-05
  1.312654e-02    5.228792e-05
  1.342547e-02    4.846005e-05
  1.372440e-02    4.497452e-05
  1.402333e-02    4.170405e-05
  1.432226e-02    3.884003e-05
  1.462119e-02    3.623840e-05
  1.492012e-02    3.385037e-05
  1.521905e-02    3.162431e-05
  1.551798e-02    2.969713e-05
  1.581691e-02    2.799293e-05
  1.611584e-02    2.632130e-05
  1.641477e-02    2.498877e-05
  1.671370e-02    2.359441e-05
  1.701263e-02    2.229393e-05
  1.731156e-02    2.118712e-05
  1.761049e-02    2.014330e-05
  1.790942e-02    1.923648e-05
  1.820835e-02    1.821868e-05
  1.850728e-02    1.735743e-05
  1.880621e-02    1.666005e-05
  1.910514e-02    1.603075e-05
  1.940407e-02    1.533211e-05
  1.970300e-02    1.474694e-05
  2.000193e-02    1.425480e-05
  2.030086e-02    1.369974e-05
  2.059979e-02    1.326695e-05
  2.089873e-02    1.280640e-05
  2.119766e-02    1.229772e-05
  2.149659e-02    1.194961e-05
  2.179552e-02    1.157562e-05
  2.209445e-02    1.123344e-05
  2.239338e-02    1.093962e-05
  2.269231e-02    1.067107e-05
  2.299124e-02    1.040805e-05
  2.329017e-02    1.007210e-05
  2.358910e-02    9.814259e-06
  2.388803e-02    9.605113e-06
  2.418696e-02    9.391708e-06
  2.448589e-02    9.136583e-06
  2.478482e-02    8.946629e-06
  2.508375e-02    8.787409e-06
  2.538268e-02    8.637287e-06
  2.568161e-02    8.485775e-06
  2.598054e-02    8.327758e-06
  2.627947e-02    8.200676e-06
  2.657840e-02    8.068994e-06
  2.687733e-02    7.945622e-06
  2.717626e-02    7.814760e-06
  2.747519e-02    7.689681e-06
  2.777412e-02    7.585452e-06
  2.807305e-02    7.465253e-06
  2.837198e-02    7.383553e-06
  2.867092e-02    7.306179e-06
  2.896985e-02    7.181455e-06
  2.926878e-02    7.103440e-06
  2.956771e-02    7.059131e-06
  2.986664e-02    6.967660e-06
  3.016557e-02    6.897889e-06
  3.046450e-02    6.833267e-06
  3.076343e-02    6.777372e-06
  3.106236e-02    6.714299e-06
  3.136129e-02    6.624312e-06
  3.166022e-02    6.526463e-06
  3.195915e-02    6.484426e-06
  3.225808e-02    6.475732e-06
  3.255701e-02    6.443888e-06
  3.285594e-02    6.388005e-06
  3.315487e-02    6.315334e-06
  3.345380e-02    6.204602e-06
  3.375273e-02    6.130671e-06
  3.405166e-02    6.108572e-06
  3.435059e-02    6.052510e-06
  3.464952e-02    6.014975e-06
  3.494845e-02    5.988729e-06
  3.524738e-02    5.912000e-06
  3.554631e-02    5.847243e-06
  3.584524e-02    5.835696e-06
  3.614417e-02    5.733832e-06
  3.644310e-02    5.659020e-06
  3.674204e-02    5.623755e-06
  3.704097e-02    5.600693e-06
  3.733990e-02    5.567803e-06
  3.763883e-02    5.558963e-06
  3.793776e-02    5.504537e-06
  3.823669e-02    5.391490e-06
  3.853562e-02    5.391609e-06
  3.883455e-02    5.379077e-06
  3.913348e-02    5.332461e-06
  3.943241e-02    5.304893e-06
  3.973134e-02    5.278852e-06
  4.003027e-02    5.281051e-06
  4.032920e-02    5.238033e-06
  4.062813e-02    5.179174e-06
  4.092706e-02    5.156357e-06
  4.122599e-02    5.172290e-06
  4.152492e-02    5.150948e-06
  4.182385e-02    5.129257e-06
  4.212278e-02    5.090109e-06
  4.242171e-02    5.074841e-06
  4.272064e-02    5.061219e-06
  4.301957e-02    5.053192e-06
  4.331850e-02    5.027206e-06
  4.361743e-02    4.994371e-06
  4.391636e-02    5.004941e-06
  4.421529e-02    4.992730e-06
  4.451423e-02    4.994011e-06
  4.481316e-02    4.982689e-06
