# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 13649367.200000001
# --> MT-AL_F127_220301_ad3fba48-e661-4598-b1ce-8116f20c968e_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.879869e-03
  4.756484e-03    1.470192e-03
  5.055415e-03    1.044936e-03
  5.354345e-03    7.322570e-04
  5.653276e-03    5.637174e-04
  5.952206e-03    9.046338e-04
  6.251136e-03    8.266211e-04
  6.550067e-03    7.204766e-04
  6.848997e-03    6.140283e-04
  7.147927e-03    5.187977e-04
  7.446858e-03    4.423362e-04
  7.745788e-03    3.796833e-04
  8.044719e-03    3.275885e-04
  8.343649e-03    2.852652e-04
  8.642579e-03    2.497221e-04
  8.941510e-03    2.199238e-04
  9.240440e-03    1.948465e-04
  9.539371e-03    1.727995e-04
  9.838301e-03    1.537735e-04
  1.013723e-02    1.376887e-04
  1.043616e-02    1.239721e-04
  1.073509e-02    1.114950e-04
  1.103402e-02    1.011125e-04
  1.133295e-02    9.168314e-05
  1.163188e-02    8.336540e-05
  1.193081e-02    7.595200e-05
  1.222974e-02    6.995207e-05
  1.252867e-02    6.446376e-05
  1.282760e-02    5.914290e-05
  1.312654e-02    5.472523e-05
  1.342547e-02    5.064846e-05
  1.372440e-02    4.703221e-05
  1.402333e-02    4.365996e-05
  1.432226e-02    4.069129e-05
  1.462119e-02    3.790355e-05
  1.492012e-02    3.540077e-05
  1.521905e-02    3.308221e-05
  1.551798e-02    3.116388e-05
  1.581691e-02    2.934780e-05
  1.611584e-02    2.757753e-05
  1.641477e-02    2.588176e-05
  1.671370e-02    2.456959e-05
  1.701263e-02    2.337074e-05
  1.731156e-02    2.218788e-05
  1.761049e-02    2.108404e-05
  1.790942e-02    2.000386e-05
  1.820835e-02    1.898970e-05
  1.850728e-02    1.815710e-05
  1.880621e-02    1.748245e-05
  1.910514e-02    1.674862e-05
  1.940407e-02    1.596046e-05
  1.970300e-02    1.532555e-05
  2.000193e-02    1.476516e-05
  2.030086e-02    1.426560e-05
  2.059979e-02    1.371722e-05
  2.089873e-02    1.318595e-05
  2.119766e-02    1.279925e-05
  2.149659e-02    1.240187e-05
  2.179552e-02    1.201273e-05
  2.209445e-02    1.161038e-05
  2.239338e-02    1.127286e-05
  2.269231e-02    1.095387e-05
  2.299124e-02    1.067294e-05
  2.329017e-02    1.047876e-05
  2.358910e-02    1.024564e-05
  2.388803e-02    9.951046e-06
  2.418696e-02    9.716199e-06
  2.448589e-02    9.509559e-06
  2.478482e-02    9.326994e-06
  2.508375e-02    9.134421e-06
  2.538268e-02    8.950864e-06
  2.568161e-02    8.795312e-06
  2.598054e-02    8.677334e-06
  2.627947e-02    8.540180e-06
  2.657840e-02    8.358787e-06
  2.687733e-02    8.223605e-06
  2.717626e-02    8.060708e-06
  2.747519e-02    7.948028e-06
  2.777412e-02    7.846042e-06
  2.807305e-02    7.736694e-06
  2.837198e-02    7.589325e-06
  2.867092e-02    7.531712e-06
  2.896985e-02    7.467601e-06
  2.926878e-02    7.346853e-06
  2.956771e-02    7.268561e-06
  2.986664e-02    7.199327e-06
  3.016557e-02    7.106365e-06
  3.046450e-02    7.006181e-06
  3.076343e-02    6.893172e-06
  3.106236e-02    6.870036e-06
  3.136129e-02    6.871247e-06
  3.166022e-02    6.759543e-06
  3.195915e-02    6.634569e-06
  3.225808e-02    6.602919e-06
  3.255701e-02    6.581355e-06
  3.285594e-02    6.520749e-06
  3.315487e-02    6.439646e-06
  3.345380e-02    6.380586e-06
  3.375273e-02    6.358343e-06
  3.405166e-02    6.286687e-06
  3.435059e-02    6.203959e-06
  3.464952e-02    6.161975e-06
  3.494845e-02    6.101664e-06
  3.524738e-02    6.043999e-06
  3.554631e-02    6.017608e-06
  3.584524e-02    5.966098e-06
  3.614417e-02    5.892168e-06
  3.644310e-02    5.847221e-06
  3.674204e-02    5.793931e-06
  3.704097e-02    5.743819e-06
  3.733990e-02    5.700200e-06
  3.763883e-02    5.644476e-06
  3.793776e-02    5.631829e-06
  3.823669e-02    5.614403e-06
  3.853562e-02    5.557700e-06
  3.883455e-02    5.549058e-06
  3.913348e-02    5.479804e-06
  3.943241e-02    5.436577e-06
  3.973134e-02    5.426230e-06
  4.003027e-02    5.406851e-06
  4.032920e-02    5.364045e-06
  4.062813e-02    5.352469e-06
  4.092706e-02    5.314230e-06
  4.122599e-02    5.258059e-06
  4.152492e-02    5.249868e-06
  4.182385e-02    5.241354e-06
  4.212278e-02    5.257198e-06
  4.242171e-02    5.218698e-06
  4.272064e-02    5.221125e-06
  4.301957e-02    5.166674e-06
  4.331850e-02    5.129914e-06
  4.361743e-02    5.150044e-06
  4.391636e-02    5.128444e-06
  4.421529e-02    5.112955e-06
  4.451423e-02    5.113043e-06
  4.481316e-02    5.083205e-06
  4.511209e-02    5.072503e-06
  4.541102e-02    5.073231e-06
  4.570995e-02    5.089089e-06
  4.600888e-02    5.075478e-06
  4.630781e-02    5.058593e-06
  4.660674e-02    5.055948e-06
  4.690567e-02    5.071498e-06
  4.720460e-02    5.051287e-06
  4.750353e-02    5.044940e-06
  4.780246e-02    5.041508e-06
  4.810139e-02    5.024971e-06
  4.840032e-02    5.001846e-06
  4.869925e-02    5.028659e-06
  4.899818e-02    5.030830e-06
  4.929711e-02    5.028132e-06
  4.959604e-02    5.009176e-06
