# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4634693.0
# --> MT-AL_F127_220301_b35610e5-ffeb-437f-aec7-00063f67e9cb_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    9.651008e-03
  4.756484e-03    7.642186e-03
  5.055415e-03    5.536138e-03
  5.354345e-03    3.972724e-03
  5.653276e-03    3.139304e-03
  5.952206e-03    5.116815e-03
  6.251136e-03    4.635249e-03
  6.550067e-03    3.985975e-03
  6.848997e-03    3.366234e-03
  7.147927e-03    2.836127e-03
  7.446858e-03    2.421975e-03
  7.745788e-03    2.077630e-03
  8.044719e-03    1.791553e-03
  8.343649e-03    1.566823e-03
  8.642579e-03    1.370915e-03
  8.941510e-03    1.205425e-03
  9.240440e-03    1.069744e-03
  9.539371e-03    9.515528e-04
  9.838301e-03    8.482967e-04
  1.013723e-02    7.609029e-04
  1.043616e-02    6.852908e-04
  1.073509e-02    6.161476e-04
  1.103402e-02    5.594239e-04
  1.133295e-02    5.082163e-04
  1.163188e-02    4.625348e-04
  1.193081e-02    4.226759e-04
  1.222974e-02    3.867631e-04
  1.252867e-02    3.548334e-04
  1.282760e-02    3.268779e-04
  1.312654e-02    3.014233e-04
  1.342547e-02    2.794743e-04
  1.372440e-02    2.597393e-04
  1.402333e-02    2.412331e-04
  1.432226e-02    2.245462e-04
  1.462119e-02    2.091308e-04
  1.492012e-02    1.957574e-04
  1.521905e-02    1.830424e-04
  1.551798e-02    1.716317e-04
  1.581691e-02    1.616866e-04
  1.611584e-02    1.523650e-04
  1.641477e-02    1.435900e-04
  1.671370e-02    1.355649e-04
  1.701263e-02    1.282918e-04
  1.731156e-02    1.221522e-04
  1.761049e-02    1.164500e-04
  1.790942e-02    1.104081e-04
  1.820835e-02    1.050369e-04
  1.850728e-02    1.002585e-04
  1.880621e-02    9.611785e-05
  1.910514e-02    9.220490e-05
  1.940407e-02    8.827581e-05
  1.970300e-02    8.463595e-05
  2.000193e-02    8.157068e-05
  2.030086e-02    7.841347e-05
  2.059979e-02    7.555332e-05
  2.089873e-02    7.320294e-05
  2.119766e-02    7.102078e-05
  2.149659e-02    6.837196e-05
  2.179552e-02    6.627941e-05
  2.209445e-02    6.435431e-05
  2.239338e-02    6.233251e-05
  2.269231e-02    6.067481e-05
  2.299124e-02    5.909022e-05
  2.329017e-02    5.763569e-05
  2.358910e-02    5.602093e-05
  2.388803e-02    5.450300e-05
  2.418696e-02    5.316579e-05
  2.448589e-02    5.213706e-05
  2.478482e-02    5.111437e-05
  2.508375e-02    4.990782e-05
  2.538268e-02    4.883922e-05
  2.568161e-02    4.793339e-05
  2.598054e-02    4.732417e-05
  2.627947e-02    4.662115e-05
  2.657840e-02    4.589009e-05
  2.687733e-02    4.491971e-05
  2.717626e-02    4.402176e-05
  2.747519e-02    4.334036e-05
