# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 747861.4000000001
# --> MT-AL_F127_220301_b425f2ad-de44-4ff9-850b-951a81a4e330_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.365185e-02
  4.756484e-03    2.614168e-02
  5.055415e-03    1.841700e-02
  5.354345e-03    1.280676e-02
  5.653276e-03    9.797550e-03
  5.952206e-03    1.577402e-02
  6.251136e-03    1.443037e-02
  6.550067e-03    1.257433e-02
  6.848997e-03    1.071499e-02
  7.147927e-03    9.052791e-03
  7.446858e-03    7.712744e-03
  7.745788e-03    6.609395e-03
  8.044719e-03    5.680759e-03
  8.343649e-03    4.956815e-03
  8.642579e-03    4.338039e-03
  8.941510e-03    3.820802e-03
  9.240440e-03    3.387358e-03
  9.539371e-03    3.001427e-03
  9.838301e-03    2.668499e-03
  1.013723e-02    2.394782e-03
  1.043616e-02    2.158230e-03
  1.073509e-02    1.943618e-03
  1.103402e-02    1.756957e-03
  1.133295e-02    1.592111e-03
  1.163188e-02    1.446480e-03
  1.193081e-02    1.322273e-03
  1.222974e-02    1.213903e-03
  1.252867e-02    1.114635e-03
  1.282760e-02    1.025976e-03
  1.312654e-02    9.462517e-04
  1.342547e-02    8.765722e-04
  1.372440e-02    8.146415e-04
  1.402333e-02    7.593515e-04
  1.432226e-02    7.057560e-04
  1.462119e-02    6.587600e-04
  1.492012e-02    6.179473e-04
  1.521905e-02    5.765891e-04
  1.551798e-02    5.413750e-04
  1.581691e-02    5.096591e-04
  1.611584e-02    4.807808e-04
  1.641477e-02    4.513624e-04
  1.671370e-02    4.286275e-04
  1.701263e-02    4.075419e-04
  1.731156e-02    3.851711e-04
  1.761049e-02    3.658989e-04
  1.790942e-02    3.492929e-04
  1.820835e-02    3.330395e-04
  1.850728e-02    3.181339e-04
  1.880621e-02    3.042305e-04
  1.910514e-02    2.909987e-04
  1.940407e-02    2.788310e-04
  1.970300e-02    2.682408e-04
  2.000193e-02    2.587860e-04
  2.030086e-02    2.487702e-04
  2.059979e-02    2.408717e-04
  2.089873e-02    2.335437e-04
  2.119766e-02    2.244224e-04
  2.149659e-02    2.171722e-04
  2.179552e-02    2.115918e-04
  2.209445e-02    2.047409e-04
  2.239338e-02    1.986380e-04
  2.269231e-02    1.933056e-04
  2.299124e-02    1.878867e-04
  2.329017e-02    1.835353e-04
  2.358910e-02    1.797544e-04
  2.388803e-02    1.739160e-04
  2.418696e-02    1.705827e-04
  2.448589e-02    1.683372e-04
  2.478482e-02    1.641306e-04
  2.508375e-02    1.603326e-04
  2.538268e-02    1.573715e-04
  2.568161e-02    1.536289e-04
  2.598054e-02    1.512161e-04
  2.627947e-02    1.498087e-04
  2.657840e-02    1.470150e-04
  2.687733e-02    1.446741e-04
  2.717626e-02    1.425911e-04
  2.747519e-02    1.399285e-04
  2.777412e-02    1.376190e-04
  2.807305e-02    1.356573e-04
  2.837198e-02    1.346601e-04
  2.867092e-02    1.333412e-04
  2.896985e-02    1.313730e-04
  2.926878e-02    1.296362e-04
  2.956771e-02    1.282959e-04
  2.986664e-02    1.268658e-04
  3.016557e-02    1.256343e-04
  3.046450e-02    1.236465e-04
  3.076343e-02    1.219906e-04
  3.106236e-02    1.225361e-04
  3.136129e-02    1.217497e-04
  3.166022e-02    1.197509e-04
  3.195915e-02    1.187977e-04
  3.225808e-02    1.182656e-04
  3.255701e-02    1.172828e-04
  3.285594e-02    1.158912e-04
  3.315487e-02    1.139079e-04
  3.345380e-02    1.139376e-04
  3.375273e-02    1.127842e-04
  3.405166e-02    1.109190e-04
  3.435059e-02    1.100255e-04
  3.464952e-02    1.084899e-04
  3.494845e-02    1.076127e-04
  3.524738e-02    1.071939e-04
  3.554631e-02    1.060657e-04
  3.584524e-02    1.053388e-04
  3.614417e-02    1.048290e-04
  3.644310e-02    1.039434e-04
  3.674204e-02    1.033325e-04
  3.704097e-02    1.019869e-04
  3.733990e-02    1.012393e-04
  3.763883e-02    9.980597e-05
  3.793776e-02    9.941952e-05
  3.823669e-02    9.913136e-05
  3.853562e-02    9.811764e-05
  3.883455e-02    9.785646e-05
  3.913348e-02    9.738083e-05
  3.943241e-02    9.729165e-05
  3.973134e-02    9.645558e-05
  4.003027e-02    9.554169e-05
  4.032920e-02    9.512987e-05
  4.062813e-02    9.429364e-05
  4.092706e-02    9.386317e-05
  4.122599e-02    9.312761e-05
  4.152492e-02    9.312623e-05
  4.182385e-02    9.278509e-05
  4.212278e-02    9.243724e-05
  4.242171e-02    9.211790e-05
  4.272064e-02    9.155219e-05
  4.301957e-02    9.163543e-05
  4.331850e-02    9.152290e-05
  4.361743e-02    9.109749e-05
  4.391636e-02    9.109222e-05
  4.421529e-02    9.079641e-05
  4.451423e-02    9.085375e-05
  4.481316e-02    9.091393e-05
  4.511209e-02    9.032599e-05
  4.541102e-02    8.974902e-05
  4.570995e-02    8.991220e-05
  4.600888e-02    9.049611e-05
  4.630781e-02    8.979980e-05
  4.660674e-02    8.943983e-05
  4.690567e-02    8.893291e-05
  4.720460e-02    8.943567e-05
  4.750353e-02    8.970781e-05
  4.780246e-02    8.972014e-05
  4.810139e-02    8.914999e-05
  4.840032e-02    8.874424e-05
  4.869925e-02    8.865348e-05
  4.899818e-02    8.909408e-05
  4.929711e-02    8.896119e-05
  4.959604e-02    8.906842e-05
  4.989497e-02    8.900143e-05
  5.019390e-02    8.922645e-05
  5.049283e-02    8.899753e-05
  5.079176e-02    8.894445e-05
  5.109069e-02    8.943847e-05
  5.138962e-02    8.980154e-05
  5.168855e-02    9.158637e-05
  5.198748e-02    9.343512e-05
  5.228642e-02    9.249119e-05
  5.258535e-02    8.933941e-05
  5.288428e-02    8.786251e-05
  5.318321e-02    8.831230e-05
  5.348214e-02    8.867968e-05
  5.378107e-02    8.836357e-05
  5.408000e-02    8.840870e-05
  5.437893e-02    8.848773e-05
  5.467786e-02    8.818668e-05
  5.497679e-02    8.837760e-05
  5.527572e-02    8.869049e-05
  5.557465e-02    8.854854e-05
  5.587358e-02    8.833056e-05
  5.617251e-02    8.827532e-05
  5.647144e-02    8.790049e-05
  5.677037e-02    8.836418e-05
  5.706930e-02    8.929954e-05
  5.736823e-02    8.908359e-05
  5.766716e-02    8.857378e-05
  5.796609e-02    8.859961e-05
  5.826502e-02    8.897734e-05
  5.856395e-02    8.926592e-05
  5.886288e-02    8.929044e-05
  5.916181e-02    8.930944e-05
  5.946074e-02    8.985939e-05
  5.975967e-02    8.985188e-05
  6.005861e-02    9.023212e-05
  6.035754e-02    9.045535e-05
  6.065647e-02    9.071646e-05
  6.095540e-02    9.117856e-05
  6.125433e-02    9.241735e-05
  6.155326e-02    9.259099e-05
  6.185219e-02    9.134644e-05
  6.215112e-02    9.076935e-05
  6.245005e-02    9.102070e-05
  6.274898e-02    9.119424e-05
  6.304791e-02    9.101001e-05
  6.334684e-02    9.099471e-05
  6.364577e-02    9.120990e-05
  6.394470e-02    9.138168e-05
  6.424363e-02    9.151101e-05
  6.454256e-02    9.191560e-05
  6.484149e-02    9.164680e-05
  6.514042e-02    9.165105e-05
  6.543935e-02    9.184913e-05
  6.573828e-02    9.166382e-05
  6.603721e-02    9.162568e-05
  6.633614e-02    9.159280e-05
  6.663507e-02    9.208947e-05
  6.693400e-02    9.270146e-05
  6.723293e-02    9.258666e-05
  6.753186e-02    9.275460e-05
  6.783080e-02    9.307786e-05
  6.812973e-02    9.355481e-05
  6.842866e-02    9.374149e-05
  6.872759e-02    9.346927e-05
  6.902652e-02    9.345292e-05
  6.932545e-02    9.346206e-05
  6.962438e-02    9.391721e-05
  6.992331e-02    9.414359e-05
  7.022224e-02    9.415233e-05
  7.052117e-02    9.404630e-05
  7.082010e-02    9.469782e-05
  7.111903e-02    9.462052e-05
  7.141796e-02    9.454430e-05
  7.171689e-02    9.496213e-05
  7.201582e-02    9.498095e-05
  7.231475e-02    9.511629e-05
  7.261368e-02    9.517398e-05
  7.291261e-02    9.483928e-05
  7.321154e-02    9.493255e-05
  7.351047e-02    9.498153e-05
  7.380940e-02    9.487745e-05
  7.410833e-02    9.462853e-05
  7.440726e-02    9.489848e-05
  7.470619e-02    9.548075e-05
  7.500512e-02    9.550228e-05
  7.530405e-02    9.519170e-05
  7.560299e-02    9.512262e-05
  7.590192e-02    9.503798e-05
  7.620085e-02    9.497520e-05
  7.649978e-02    9.497615e-05
  7.679871e-02    9.491722e-05
  7.709764e-02    9.493039e-05
  7.739657e-02    9.467494e-05
  7.769550e-02    9.490849e-05
  7.799443e-02    9.488817e-05
  7.829336e-02    9.522256e-05
  7.859229e-02    9.475584e-05
  7.889122e-02    9.406969e-05
  7.919015e-02    9.453494e-05
  7.948908e-02    9.497926e-05
  7.978801e-02    9.517209e-05
  8.008694e-02    9.508734e-05
  8.038587e-02    9.457911e-05
  8.068480e-02    9.455572e-05
  8.098373e-02    9.482908e-05
  8.128266e-02    9.506787e-05
  8.158159e-02    9.467721e-05
  8.188052e-02    9.440307e-05
  8.217945e-02    9.452602e-05
  8.247838e-02    9.454379e-05
  8.277731e-02    9.437455e-05
  8.307624e-02    9.379700e-05
  8.337518e-02    9.371753e-05
  8.367411e-02    9.351078e-05
  8.397304e-02    9.367189e-05
  8.427197e-02    9.357923e-05
  8.457090e-02    9.347410e-05
  8.486983e-02    9.353216e-05
  8.516876e-02    9.332101e-05
  8.546769e-02    9.292582e-05
  8.576662e-02    9.268586e-05
  8.606555e-02    9.292654e-05
  8.636448e-02    9.270060e-05
