# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3552630.000000001
# --> MT-AL_F127_220301_c7cebd52-aecd-4793-97d8-f56d634c8c11_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.228049e-02
  4.756484e-03    9.680342e-03
  5.055415e-03    6.983397e-03
  5.354345e-03    5.022109e-03
  5.653276e-03    3.967641e-03
  5.952206e-03    6.423055e-03
  6.251136e-03    5.836167e-03
  6.550067e-03    5.025100e-03
  6.848997e-03    4.247991e-03
  7.147927e-03    3.581962e-03
  7.446858e-03    3.058148e-03
  7.745788e-03    2.626616e-03
  8.044719e-03    2.264672e-03
  8.343649e-03    1.978795e-03
  8.642579e-03    1.729219e-03
  8.941510e-03    1.523697e-03
  9.240440e-03    1.353359e-03
  9.539371e-03    1.203162e-03
  9.838301e-03    1.071728e-03
  1.013723e-02    9.605394e-04
  1.043616e-02    8.654095e-04
  1.073509e-02    7.781364e-04
  1.103402e-02    7.044987e-04
  1.133295e-02    6.397173e-04
  1.163188e-02    5.830457e-04
  1.193081e-02    5.328551e-04
  1.222974e-02    4.892246e-04
  1.252867e-02    4.478756e-04
  1.282760e-02    4.121313e-04
  1.312654e-02    3.810728e-04
  1.342547e-02    3.528057e-04
  1.372440e-02    3.277737e-04
  1.402333e-02    3.040855e-04
  1.432226e-02    2.828866e-04
  1.462119e-02    2.634217e-04
  1.492012e-02    2.468808e-04
  1.521905e-02    2.311533e-04
  1.551798e-02    2.172529e-04
  1.581691e-02    2.047531e-04
  1.611584e-02    1.929366e-04
  1.641477e-02    1.822167e-04
  1.671370e-02    1.717236e-04
  1.701263e-02    1.618926e-04
  1.731156e-02    1.540682e-04
  1.761049e-02    1.468976e-04
  1.790942e-02    1.397503e-04
  1.820835e-02    1.332488e-04
  1.850728e-02    1.271979e-04
  1.880621e-02    1.218270e-04
  1.910514e-02    1.163597e-04
  1.940407e-02    1.112865e-04
  1.970300e-02    1.071906e-04
  2.000193e-02    1.033919e-04
  2.030086e-02    9.955061e-05
  2.059979e-02    9.612782e-05
  2.089873e-02    9.286092e-05
  2.119766e-02    8.962585e-05
  2.149659e-02    8.641140e-05
  2.179552e-02    8.393849e-05
  2.209445e-02    8.121293e-05
  2.239338e-02    7.907161e-05
  2.269231e-02    7.681461e-05
  2.299124e-02    7.461446e-05
  2.329017e-02    7.249452e-05
  2.358910e-02    7.071142e-05
  2.388803e-02    6.919436e-05
  2.418696e-02    6.748534e-05
  2.448589e-02    6.574219e-05
  2.478482e-02    6.438850e-05
  2.508375e-02    6.338987e-05
  2.538268e-02    6.220039e-05
  2.568161e-02    6.104853e-05
  2.598054e-02    5.996022e-05
  2.627947e-02    5.906383e-05
  2.657840e-02    5.800869e-05
  2.687733e-02    5.693873e-05
  2.717626e-02    5.591659e-05
  2.747519e-02    5.512223e-05
  2.777412e-02    5.422142e-05
  2.807305e-02    5.346147e-05
  2.837198e-02    5.271686e-05
  2.867092e-02    5.191086e-05
  2.896985e-02    5.135276e-05
  2.926878e-02    5.081355e-05
  2.956771e-02    5.002587e-05
  2.986664e-02    4.932315e-05
  3.016557e-02    4.880249e-05
  3.046450e-02    4.825888e-05
  3.076343e-02    4.779869e-05
  3.106236e-02    4.745373e-05
  3.136129e-02    4.708023e-05
  3.166022e-02    4.638589e-05
  3.195915e-02    4.620086e-05
  3.225808e-02    4.587485e-05
  3.255701e-02    4.549210e-05
  3.285594e-02    4.496596e-05
  3.315487e-02    4.459307e-05
  3.345380e-02    4.397932e-05
  3.375273e-02    4.344791e-05
  3.405166e-02    4.343208e-05
  3.435059e-02    4.313342e-05
  3.464952e-02    4.267829e-05
  3.494845e-02    4.209762e-05
  3.524738e-02    4.191955e-05
  3.554631e-02    4.174966e-05
  3.584524e-02    4.129741e-05
  3.614417e-02    4.086188e-05
