# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 18638454.200000003
# --> MT-AL_F127_220301_ce9829d5-490c-4f7c-b079-d2297bd0ad55_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.780055e-03
  4.756484e-03    1.395394e-03
  5.055415e-03    9.999693e-04
  5.354345e-03    7.067994e-04
  5.653276e-03    5.498137e-04
  5.952206e-03    8.924467e-04
  6.251136e-03    8.127074e-04
  6.550067e-03    7.041876e-04
  6.848997e-03    5.980039e-04
  7.147927e-03    5.053358e-04
  7.446858e-03    4.310480e-04
  7.745788e-03    3.699781e-04
  8.044719e-03    3.186819e-04
  8.343649e-03    2.782992e-04
  8.642579e-03    2.437580e-04
  8.941510e-03    2.141963e-04
  9.240440e-03    1.899498e-04
  9.539371e-03    1.684049e-04
  9.838301e-03    1.501942e-04
  1.013723e-02    1.346997e-04
  1.043616e-02    1.211777e-04
  1.073509e-02    1.087491e-04
  1.103402e-02    9.849812e-05
  1.133295e-02    8.949273e-05
  1.163188e-02    8.170274e-05
  1.193081e-02    7.466194e-05
  1.222974e-02    6.842790e-05
  1.252867e-02    6.289138e-05
  1.282760e-02    5.793849e-05
  1.312654e-02    5.341900e-05
  1.342547e-02    4.949258e-05
  1.372440e-02    4.601489e-05
  1.402333e-02    4.258546e-05
  1.432226e-02    3.964591e-05
  1.462119e-02    3.703385e-05
  1.492012e-02    3.454542e-05
  1.521905e-02    3.227455e-05
  1.551798e-02    3.035020e-05
  1.581691e-02    2.852518e-05
  1.611584e-02    2.695930e-05
  1.641477e-02    2.548763e-05
  1.671370e-02    2.411580e-05
  1.701263e-02    2.281119e-05
  1.731156e-02    2.155587e-05
  1.761049e-02    2.053271e-05
  1.790942e-02    1.958942e-05
  1.820835e-02    1.868177e-05
  1.850728e-02    1.784997e-05
  1.880621e-02    1.706386e-05
  1.910514e-02    1.631167e-05
  1.940407e-02    1.561439e-05
  1.970300e-02    1.498992e-05
  2.000193e-02    1.446530e-05
  2.030086e-02    1.392812e-05
  2.059979e-02    1.343877e-05
  2.089873e-02    1.298983e-05
  2.119766e-02    1.251187e-05
  2.149659e-02    1.212057e-05
  2.179552e-02    1.174348e-05
  2.209445e-02    1.136959e-05
  2.239338e-02    1.104169e-05
  2.269231e-02    1.070491e-05
  2.299124e-02    1.046851e-05
  2.329017e-02    1.023238e-05
  2.358910e-02    1.002575e-05
  2.388803e-02    9.745017e-06
  2.418696e-02    9.494491e-06
  2.448589e-02    9.259429e-06
  2.478482e-02    9.112873e-06
  2.508375e-02    8.937689e-06
  2.538268e-02    8.786273e-06
  2.568161e-02    8.592433e-06
  2.598054e-02    8.392229e-06
  2.627947e-02    8.268404e-06
  2.657840e-02    8.140309e-06
  2.687733e-02    7.995111e-06
  2.717626e-02    7.854507e-06
  2.747519e-02    7.757004e-06
  2.777412e-02    7.669977e-06
  2.807305e-02    7.588287e-06
  2.837198e-02    7.504754e-06
  2.867092e-02    7.404040e-06
  2.896985e-02    7.297889e-06
  2.926878e-02    7.199392e-06
  2.956771e-02    7.131960e-06
  2.986664e-02    7.032247e-06
  3.016557e-02    6.973953e-06
  3.046450e-02    6.894863e-06
  3.076343e-02    6.821595e-06
  3.106236e-02    6.756064e-06
  3.136129e-02    6.670934e-06
  3.166022e-02    6.625257e-06
  3.195915e-02    6.569894e-06
  3.225808e-02    6.516792e-06
  3.255701e-02    6.426586e-06
  3.285594e-02    6.339883e-06
  3.315487e-02    6.305775e-06
  3.345380e-02    6.265674e-06
  3.375273e-02    6.191111e-06
  3.405166e-02    6.116788e-06
  3.435059e-02    6.049917e-06
  3.464952e-02    6.016728e-06
  3.494845e-02    6.000977e-06
  3.524738e-02    5.953140e-06
  3.554631e-02    5.867081e-06
  3.584524e-02    5.827300e-06
  3.614417e-02    5.795379e-06
  3.644310e-02    5.745305e-06
  3.674204e-02    5.721241e-06
  3.704097e-02    5.671841e-06
  3.733990e-02    5.610920e-06
  3.763883e-02    5.564964e-06
  3.793776e-02    5.522189e-06
  3.823669e-02    5.504151e-06
  3.853562e-02    5.458832e-06
  3.883455e-02    5.420862e-06
  3.913348e-02    5.419834e-06
  3.943241e-02    5.394330e-06
  3.973134e-02    5.356571e-06
  4.003027e-02    5.313333e-06
  4.032920e-02    5.292552e-06
  4.062813e-02    5.273477e-06
  4.092706e-02    5.227953e-06
  4.122599e-02    5.210218e-06
  4.152492e-02    5.195457e-06
  4.182385e-02    5.161461e-06
  4.212278e-02    5.141229e-06
  4.242171e-02    5.131771e-06
  4.272064e-02    5.112844e-06
  4.301957e-02    5.110633e-06
  4.331850e-02    5.087742e-06
  4.361743e-02    5.069358e-06
  4.391636e-02    5.085165e-06
  4.421529e-02    5.083877e-06
  4.451423e-02    5.053425e-06
  4.481316e-02    5.046040e-06
  4.511209e-02    5.021102e-06
  4.541102e-02    5.010922e-06
  4.570995e-02    5.032903e-06
  4.600888e-02    5.020705e-06
  4.630781e-02    4.994884e-06
  4.660674e-02    4.998753e-06
  4.690567e-02    4.998808e-06
  4.720460e-02    4.996852e-06
  4.750353e-02    5.014530e-06
  4.780246e-02    5.005119e-06
  4.810139e-02    4.968766e-06
  4.840032e-02    4.968384e-06
  4.869925e-02    4.988317e-06
  4.899818e-02    4.972488e-06
  4.929711e-02    4.957158e-06
  4.959604e-02    4.957195e-06
  4.989497e-02    4.954079e-06
  5.019390e-02    4.979629e-06
  5.049283e-02    4.995706e-06
  5.079176e-02    4.977521e-06
  5.109069e-02    4.987215e-06
  5.138962e-02    5.057065e-06
  5.168855e-02    5.128938e-06
  5.198748e-02    5.181648e-06
  5.228642e-02    5.152922e-06
  5.258535e-02    5.010478e-06
  5.288428e-02    4.965753e-06
  5.318321e-02    4.974469e-06
  5.348214e-02    4.939311e-06
  5.378107e-02    4.947165e-06
  5.408000e-02    4.960887e-06
  5.437893e-02    4.946824e-06
  5.467786e-02    4.942039e-06
  5.497679e-02    4.955822e-06
  5.527572e-02    4.977630e-06
  5.557465e-02    4.960209e-06
  5.587358e-02    4.972134e-06
  5.617251e-02    4.983705e-06
  5.647144e-02    4.970779e-06
  5.677037e-02    4.988319e-06
  5.706930e-02    4.984441e-06
  5.736823e-02    4.963772e-06
  5.766716e-02    4.983232e-06
  5.796609e-02    5.002318e-06
  5.826502e-02    5.014036e-06
  5.856395e-02    5.025731e-06
  5.886288e-02    5.017185e-06
  5.916181e-02    5.021249e-06
  5.946074e-02    5.036515e-06
  5.975967e-02    5.041805e-06
  6.005861e-02    5.026851e-06
  6.035754e-02    5.039542e-06
  6.065647e-02    5.059158e-06
  6.095540e-02    5.106711e-06
  6.125433e-02    5.173921e-06
  6.155326e-02    5.186177e-06
  6.185219e-02    5.149778e-06
  6.215112e-02    5.123659e-06
  6.245005e-02    5.090973e-06
  6.274898e-02    5.063814e-06
  6.304791e-02    5.083240e-06
  6.334684e-02    5.082069e-06
  6.364577e-02    5.095441e-06
  6.394470e-02    5.112877e-06
  6.424363e-02    5.112910e-06
  6.454256e-02    5.144906e-06
  6.484149e-02    5.152413e-06
  6.514042e-02    5.146690e-06
  6.543935e-02    5.149999e-06
  6.573828e-02    5.159648e-06
  6.603721e-02    5.173906e-06
  6.633614e-02    5.174971e-06
  6.663507e-02    5.191186e-06
  6.693400e-02    5.225989e-06
  6.723293e-02    5.217846e-06
  6.753186e-02    5.195298e-06
  6.783080e-02    5.207008e-06
  6.812973e-02    5.230344e-06
  6.842866e-02    5.240235e-06
  6.872759e-02    5.227505e-06
  6.902652e-02    5.241503e-06
  6.932545e-02    5.250104e-06
  6.962438e-02    5.274691e-06
  6.992331e-02    5.289590e-06
  7.022224e-02    5.286397e-06
  7.052117e-02    5.269627e-06
  7.082010e-02    5.279918e-06
  7.111903e-02    5.291615e-06
  7.141796e-02    5.286428e-06
  7.171689e-02    5.304490e-06
  7.201582e-02    5.324783e-06
  7.231475e-02    5.320755e-06
  7.261368e-02    5.330030e-06
  7.291261e-02    5.334397e-06
  7.321154e-02    5.322670e-06
  7.351047e-02    5.328265e-06
  7.380940e-02    5.344327e-06
  7.410833e-02    5.339372e-06
  7.440726e-02    5.353647e-06
  7.470619e-02    5.361290e-06
  7.500512e-02    5.355067e-06
  7.530405e-02    5.370002e-06
  7.560299e-02    5.381322e-06
  7.590192e-02    5.372457e-06
  7.620085e-02    5.348154e-06
  7.649978e-02    5.351706e-06
  7.679871e-02    5.332762e-06
  7.709764e-02    5.332583e-06
  7.739657e-02    5.353384e-06
  7.769550e-02    5.366471e-06
  7.799443e-02    5.367337e-06
  7.829336e-02    5.366614e-06
  7.859229e-02    5.347644e-06
  7.889122e-02    5.351073e-06
  7.919015e-02    5.339423e-06
  7.948908e-02    5.343408e-06
  7.978801e-02    5.346302e-06
  8.008694e-02    5.332228e-06
  8.038587e-02    5.339426e-06
  8.068480e-02    5.333157e-06
  8.098373e-02    5.309497e-06
  8.128266e-02    5.308986e-06
  8.158159e-02    5.319569e-06
  8.188052e-02    5.295202e-06
  8.217945e-02    5.285950e-06
  8.247838e-02    5.299969e-06
