# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 9490712.399999999
# --> MT-AL_F127_220301_d0f94195-e515-458f-9331-24fc5d45bd1c_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.958352e-03
  4.756484e-03    1.527406e-03
  5.055415e-03    1.075893e-03
  5.354345e-03    7.485969e-04
  5.653276e-03    5.698502e-04
  5.952206e-03    9.089403e-04
  6.251136e-03    8.321828e-04
  6.550067e-03    7.259891e-04
  6.848997e-03    6.189572e-04
  7.147927e-03    5.232011e-04
  7.446858e-03    4.466349e-04
  7.745788e-03    3.831715e-04
  8.044719e-03    3.298941e-04
  8.343649e-03    2.877334e-04
  8.642579e-03    2.518513e-04
  8.941510e-03    2.221127e-04
  9.240440e-03    1.963187e-04
  9.539371e-03    1.739517e-04
  9.838301e-03    1.550178e-04
  1.013723e-02    1.391560e-04
  1.043616e-02    1.252360e-04
  1.073509e-02    1.126519e-04
  1.103402e-02    1.017283e-04
  1.133295e-02    9.228096e-05
  1.163188e-02    8.401996e-05
  1.193081e-02    7.677341e-05
  1.222974e-02    7.012238e-05
  1.252867e-02    6.437377e-05
  1.282760e-02    5.937073e-05
  1.312654e-02    5.474267e-05
  1.342547e-02    5.048356e-05
  1.372440e-02    4.677087e-05
  1.402333e-02    4.353852e-05
  1.432226e-02    4.041344e-05
  1.462119e-02    3.775848e-05
  1.492012e-02    3.541627e-05
  1.521905e-02    3.310261e-05
  1.551798e-02    3.108654e-05
  1.581691e-02    2.927236e-05
  1.611584e-02    2.753192e-05
  1.641477e-02    2.591266e-05
  1.671370e-02    2.462959e-05
  1.701263e-02    2.337473e-05
  1.731156e-02    2.223320e-05
  1.761049e-02    2.093970e-05
  1.790942e-02    1.979349e-05
  1.820835e-02    1.883057e-05
  1.850728e-02    1.798232e-05
  1.880621e-02    1.726609e-05
  1.910514e-02    1.657572e-05
  1.940407e-02    1.592474e-05
  1.970300e-02    1.527351e-05
  2.000193e-02    1.474481e-05
  2.030086e-02    1.417608e-05
  2.059979e-02    1.365379e-05
  2.089873e-02    1.317772e-05
  2.119766e-02    1.269137e-05
  2.149659e-02    1.231106e-05
  2.179552e-02    1.199096e-05
  2.209445e-02    1.169285e-05
  2.239338e-02    1.143896e-05
  2.269231e-02    1.103574e-05
  2.299124e-02    1.074195e-05
  2.329017e-02    1.049673e-05
  2.358910e-02    1.019643e-05
  2.388803e-02    9.894742e-06
  2.418696e-02    9.699032e-06
  2.448589e-02    9.603608e-06
  2.478482e-02    9.378999e-06
  2.508375e-02    9.155410e-06
  2.538268e-02    8.956998e-06
  2.568161e-02    8.772883e-06
  2.598054e-02    8.593127e-06
  2.627947e-02    8.451506e-06
  2.657840e-02    8.347064e-06
  2.687733e-02    8.198741e-06
  2.717626e-02    8.081005e-06
  2.747519e-02    7.986511e-06
  2.777412e-02    7.898965e-06
  2.807305e-02    7.772747e-06
  2.837198e-02    7.664758e-06
  2.867092e-02    7.595940e-06
  2.896985e-02    7.487371e-06
  2.926878e-02    7.411822e-06
  2.956771e-02    7.373839e-06
  2.986664e-02    7.281954e-06
  3.016557e-02    7.161713e-06
  3.046450e-02    7.106300e-06
  3.076343e-02    7.054925e-06
  3.106236e-02    6.959348e-06
  3.136129e-02    6.882617e-06
  3.166022e-02    6.789837e-06
  3.195915e-02    6.736470e-06
  3.225808e-02    6.657030e-06
  3.255701e-02    6.624105e-06
  3.285594e-02    6.551680e-06
  3.315487e-02    6.452584e-06
  3.345380e-02    6.442446e-06
  3.375273e-02    6.429384e-06
  3.405166e-02    6.326874e-06
  3.435059e-02    6.241600e-06
  3.464952e-02    6.217011e-06
  3.494845e-02    6.159834e-06
  3.524738e-02    6.078138e-06
  3.554631e-02    6.029566e-06
  3.584524e-02    5.976465e-06
  3.614417e-02    5.980955e-06
  3.644310e-02    5.921760e-06
  3.674204e-02    5.823716e-06
  3.704097e-02    5.803406e-06
  3.733990e-02    5.765600e-06
  3.763883e-02    5.637352e-06
  3.793776e-02    5.600784e-06
  3.823669e-02    5.603839e-06
  3.853562e-02    5.578523e-06
  3.883455e-02    5.544126e-06
  3.913348e-02    5.500328e-06
  3.943241e-02    5.436150e-06
  3.973134e-02    5.404681e-06
  4.003027e-02    5.375460e-06
  4.032920e-02    5.361889e-06
  4.062813e-02    5.359922e-06
  4.092706e-02    5.331907e-06
  4.122599e-02    5.303887e-06
  4.152492e-02    5.288546e-06
  4.182385e-02    5.248804e-06
  4.212278e-02    5.222015e-06
  4.242171e-02    5.194462e-06
  4.272064e-02    5.192720e-06
  4.301957e-02    5.221697e-06
  4.331850e-02    5.199401e-06
  4.361743e-02    5.148578e-06
  4.391636e-02    5.132725e-06
  4.421529e-02    5.163071e-06
  4.451423e-02    5.151214e-06
  4.481316e-02    5.116167e-06
  4.511209e-02    5.084456e-06
  4.541102e-02    5.085685e-06
  4.570995e-02    5.080474e-06
  4.600888e-02    5.043826e-06
  4.630781e-02    5.057558e-06
  4.660674e-02    5.051091e-06
  4.690567e-02    5.030317e-06
  4.720460e-02    5.059826e-06
  4.750353e-02    5.028053e-06
  4.780246e-02    4.987350e-06
  4.810139e-02    5.027097e-06
  4.840032e-02    5.045155e-06
  4.869925e-02    5.018489e-06
  4.899818e-02    5.015304e-06
  4.929711e-02    4.994726e-06
  4.959604e-02    4.996611e-06
  4.989497e-02    5.008930e-06
  5.019390e-02    4.998289e-06
  5.049283e-02    5.004974e-06
  5.079176e-02    5.049104e-06
  5.109069e-02    5.067142e-06
  5.138962e-02    5.121250e-06
  5.168855e-02    5.226324e-06
  5.198748e-02    5.312731e-06
  5.228642e-02    5.256046e-06
  5.258535e-02    5.095531e-06
  5.288428e-02    5.006059e-06
  5.318321e-02    4.963939e-06
  5.348214e-02    4.990241e-06
  5.378107e-02    4.999174e-06
  5.408000e-02    4.988769e-06
  5.437893e-02    4.995190e-06
  5.467786e-02    4.978866e-06
  5.497679e-02    4.973058e-06
  5.527572e-02    4.968240e-06
  5.557465e-02    4.982367e-06
  5.587358e-02    4.973235e-06
  5.617251e-02    4.954571e-06
  5.647144e-02    4.973096e-06
  5.677037e-02    5.025277e-06
  5.706930e-02    4.981515e-06
  5.736823e-02    4.946065e-06
  5.766716e-02    4.966094e-06
  5.796609e-02    5.010463e-06
  5.826502e-02    5.020819e-06
  5.856395e-02    5.033776e-06
  5.886288e-02    5.007128e-06
  5.916181e-02    4.991045e-06
  5.946074e-02    5.037058e-06
  5.975967e-02    5.039419e-06
  6.005861e-02    5.010587e-06
  6.035754e-02    5.051421e-06
  6.065647e-02    5.073316e-06
  6.095540e-02    5.131596e-06
  6.125433e-02    5.213079e-06
  6.155326e-02    5.207848e-06
  6.185219e-02    5.144452e-06
  6.215112e-02    5.102876e-06
  6.245005e-02    5.100629e-06
  6.274898e-02    5.096196e-06
  6.304791e-02    5.088780e-06
  6.334684e-02    5.123867e-06
  6.364577e-02    5.099348e-06
  6.394470e-02    5.116927e-06
  6.424363e-02    5.123788e-06
  6.454256e-02    5.127261e-06
  6.484149e-02    5.160968e-06
  6.514042e-02    5.141680e-06
  6.543935e-02    5.138033e-06
  6.573828e-02    5.170073e-06
  6.603721e-02    5.195958e-06
  6.633614e-02    5.198322e-06
  6.663507e-02    5.210380e-06
  6.693400e-02    5.226691e-06
  6.723293e-02    5.217694e-06
  6.753186e-02    5.215818e-06
  6.783080e-02    5.208577e-06
  6.812973e-02    5.215124e-06
  6.842866e-02    5.246465e-06
  6.872759e-02    5.242284e-06
  6.902652e-02    5.236547e-06
  6.932545e-02    5.279609e-06
  6.962438e-02    5.252045e-06
  6.992331e-02    5.245466e-06
  7.022224e-02    5.304565e-06
  7.052117e-02    5.328096e-06
  7.082010e-02    5.313358e-06
  7.111903e-02    5.314915e-06
  7.141796e-02    5.313061e-06
  7.171689e-02    5.291529e-06
  7.201582e-02    5.309448e-06
  7.231475e-02    5.332086e-06
  7.261368e-02    5.340048e-06
  7.291261e-02    5.350626e-06
  7.321154e-02    5.339085e-06
  7.351047e-02    5.337431e-06
  7.380940e-02    5.343283e-06
  7.410833e-02    5.347302e-06
  7.440726e-02    5.372937e-06
  7.470619e-02    5.370872e-06
  7.500512e-02    5.376085e-06
  7.530405e-02    5.364218e-06
  7.560299e-02    5.321588e-06
  7.590192e-02    5.348998e-06
  7.620085e-02    5.350169e-06
  7.649978e-02    5.359155e-06
  7.679871e-02    5.387334e-06
  7.709764e-02    5.383982e-06
  7.739657e-02    5.352433e-06
  7.769550e-02    5.344009e-06
  7.799443e-02    5.354253e-06
  7.829336e-02    5.358774e-06
  7.859229e-02    5.322315e-06
  7.889122e-02    5.306204e-06
  7.919015e-02    5.329432e-06
  7.948908e-02    5.306283e-06
  7.978801e-02    5.306932e-06
  8.008694e-02    5.339414e-06
  8.038587e-02    5.317675e-06
  8.068480e-02    5.320575e-06
  8.098373e-02    5.326626e-06
  8.128266e-02    5.308960e-06
  8.158159e-02    5.291100e-06
  8.188052e-02    5.306118e-06
  8.217945e-02    5.290853e-06
  8.247838e-02    5.286174e-06
  8.277731e-02    5.324973e-06
  8.307624e-02    5.290476e-06
  8.337518e-02    5.247638e-06
  8.367411e-02    5.235873e-06
  8.397304e-02    5.220583e-06
  8.427197e-02    5.244968e-06
  8.457090e-02    5.252996e-06
  8.486983e-02    5.234627e-06
  8.516876e-02    5.232771e-06
  8.546769e-02    5.250015e-06
  8.576662e-02    5.247418e-06
  8.606555e-02    5.205794e-06
  8.636448e-02    5.209625e-06
  8.666341e-02    5.195810e-06
  8.696234e-02    5.177442e-06
  8.726127e-02    5.176431e-06
  8.756020e-02    5.158169e-06
  8.785913e-02    5.130436e-06
  8.815806e-02    5.155677e-06
  8.845699e-02    5.133931e-06
  8.875592e-02    5.115940e-06
  8.905485e-02    5.131473e-06
  8.935378e-02    5.099436e-06
  8.965271e-02    5.072503e-06
  8.995164e-02    5.066594e-06
  9.025057e-02    5.070865e-06
  9.054950e-02    5.058358e-06
  9.084843e-02    5.063749e-06
  9.114737e-02    5.067922e-06
  9.144630e-02    5.034114e-06
  9.174523e-02    5.010982e-06
  9.204416e-02    4.993856e-06
  9.234309e-02    4.999689e-06
  9.264202e-02    5.003074e-06
  9.294095e-02    4.957365e-06
  9.323988e-02    4.941372e-06
  9.353881e-02    4.952385e-06
  9.383774e-02    4.941257e-06
  9.413667e-02    4.928791e-06
  9.443560e-02    4.939178e-06
  9.473453e-02    4.946230e-06
  9.503346e-02    4.929744e-06
  9.533239e-02    4.919485e-06
  9.563132e-02    4.930685e-06
  9.593025e-02    4.911017e-06
  9.622918e-02    4.924521e-06
  9.652811e-02    4.933490e-06
  9.682704e-02    4.945346e-06
  9.712597e-02    4.932729e-06
  9.742490e-02    4.921739e-06
  9.772383e-02    4.899032e-06
  9.802276e-02    4.882999e-06
  9.832169e-02    4.823019e-06
  9.862062e-02    4.819665e-06
  9.891956e-02    4.810895e-06
  9.921849e-02    4.766193e-06
  9.951742e-02    4.761233e-06
  9.981635e-02    4.744363e-06
  1.001153e-01    4.744802e-06
  1.004142e-01    4.736864e-06
  1.007131e-01    4.740366e-06
  1.010121e-01    4.729834e-06
  1.013110e-01    4.719743e-06
  1.016099e-01    4.699967e-06
  1.019089e-01    4.692250e-06
  1.022078e-01    4.701301e-06
  1.025067e-01    4.705653e-06
  1.028057e-01    4.713203e-06
  1.031046e-01    4.694371e-06
  1.034035e-01    4.642328e-06
  1.037024e-01    4.647213e-06
  1.040014e-01    4.647546e-06
  1.043003e-01    4.656759e-06
  1.045992e-01    4.639410e-06
  1.048982e-01    4.642902e-06
  1.051971e-01    4.623882e-06
  1.054960e-01    4.600554e-06
  1.057950e-01    4.577648e-06
  1.060939e-01    4.564111e-06
  1.063928e-01    4.591188e-06
  1.066917e-01    4.591804e-06
  1.069907e-01    4.554777e-06
  1.072896e-01    4.556678e-06
  1.075885e-01    4.545939e-06
  1.078875e-01    4.530974e-06
  1.081864e-01    4.530501e-06
  1.084853e-01    4.517054e-06
  1.087843e-01    4.514920e-06
  1.090832e-01    4.510370e-06
  1.093821e-01    4.490150e-06
  1.096810e-01    4.497491e-06
  1.099800e-01    4.484002e-06
  1.102789e-01    4.464323e-06
  1.105778e-01    4.444438e-06
  1.108768e-01    4.445564e-06
  1.111757e-01    4.439460e-06
  1.114746e-01    4.427412e-06
