# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 10902805.8
# --> MT-AL_F127_220301_d49c2890-4af5-493b-9a5b-bfbf7899fbea_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.892261e-03
  4.756484e-03    1.463027e-03
  5.055415e-03    1.025658e-03
  5.354345e-03    7.119762e-04
  5.653276e-03    5.455487e-04
  5.952206e-03    8.774354e-04
  6.251136e-03    8.018521e-04
  6.550067e-03    6.985576e-04
  6.848997e-03    5.956952e-04
  7.147927e-03    5.037222e-04
  7.446858e-03    4.295874e-04
  7.745788e-03    3.682885e-04
  8.044719e-03    3.169268e-04
  8.343649e-03    2.765035e-04
  8.642579e-03    2.413460e-04
  8.941510e-03    2.128023e-04
  9.240440e-03    1.889508e-04
  9.539371e-03    1.676296e-04
  9.838301e-03    1.489302e-04
  1.013723e-02    1.336138e-04
  1.043616e-02    1.200056e-04
  1.073509e-02    1.078167e-04
  1.103402e-02    9.791231e-05
  1.133295e-02    8.913784e-05
  1.163188e-02    8.093075e-05
  1.193081e-02    7.411789e-05
  1.222974e-02    6.789570e-05
  1.252867e-02    6.236933e-05
  1.282760e-02    5.729301e-05
  1.312654e-02    5.288185e-05
  1.342547e-02    4.903937e-05
  1.372440e-02    4.540284e-05
  1.402333e-02    4.234302e-05
  1.432226e-02    3.932936e-05
  1.462119e-02    3.648211e-05
  1.492012e-02    3.423344e-05
  1.521905e-02    3.192104e-05
  1.551798e-02    2.993504e-05
  1.581691e-02    2.825644e-05
