# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 9646532.0
# --> MT-AL_F127_220301_dd101086-72da-4bd0-8fc4-fc9f06668594_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.502422e-03
  4.756484e-03    1.166701e-03
  5.055415e-03    8.146811e-04
  5.354345e-03    5.576820e-04
  5.653276e-03    4.185013e-04
  5.952206e-03    6.608284e-04
  6.251136e-03    6.054954e-04
  6.550067e-03    5.283370e-04
  6.848997e-03    4.505978e-04
  7.147927e-03    3.810930e-04
  7.446858e-03    3.254937e-04
  7.745788e-03    2.794287e-04
  8.044719e-03    2.407005e-04
  8.343649e-03    2.098017e-04
  8.642579e-03    1.829489e-04
  8.941510e-03    1.612543e-04
  9.240440e-03    1.431573e-04
  9.539371e-03    1.273762e-04
  9.838301e-03    1.132928e-04
  1.013723e-02    1.014320e-04
  1.043616e-02    9.123469e-05
  1.073509e-02    8.201457e-05
  1.103402e-02    7.419613e-05
  1.133295e-02    6.693467e-05
  1.163188e-02    6.123759e-05
  1.193081e-02    5.605150e-05
  1.222974e-02    5.144954e-05
  1.252867e-02    4.745672e-05
  1.282760e-02    4.357336e-05
  1.312654e-02    4.018050e-05
  1.342547e-02    3.717291e-05
  1.372440e-02    3.444458e-05
  1.402333e-02    3.196576e-05
  1.432226e-02    2.972351e-05
  1.462119e-02    2.776041e-05
  1.492012e-02    2.601157e-05
  1.521905e-02    2.431050e-05
  1.551798e-02    2.288700e-05
  1.581691e-02    2.148443e-05
  1.611584e-02    2.023445e-05
  1.641477e-02    1.911274e-05
  1.671370e-02    1.801023e-05
  1.701263e-02    1.700311e-05
  1.731156e-02    1.616426e-05
  1.761049e-02    1.537152e-05
  1.790942e-02    1.467666e-05
  1.820835e-02    1.407049e-05
  1.850728e-02    1.339638e-05
  1.880621e-02    1.281253e-05
