# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6073456.8
# --> MT-AL_F127_220301_ecbc2c36-173d-427d-8625-2ff89e238e0f_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    8.344281e-03
  4.756484e-03    6.654237e-03
  5.055415e-03    4.908476e-03
  5.354345e-03    3.597784e-03
  5.653276e-03    2.881972e-03
  5.952206e-03    4.712382e-03
  6.251136e-03    4.251138e-03
  6.550067e-03    3.632660e-03
  6.848997e-03    3.040556e-03
  7.147927e-03    2.555286e-03
  7.446858e-03    2.182425e-03
  7.745788e-03    1.875246e-03
  8.044719e-03    1.619387e-03
  8.343649e-03    1.417280e-03
  8.642579e-03    1.240643e-03
  8.941510e-03    1.094177e-03
  9.240440e-03    9.716281e-04
  9.539371e-03    8.637022e-04
  9.838301e-03    7.692327e-04
  1.013723e-02    6.920919e-04
  1.043616e-02    6.238606e-04
  1.073509e-02    5.611631e-04
  1.103402e-02    5.086541e-04
  1.133295e-02    4.618877e-04
  1.163188e-02    4.211714e-04
  1.193081e-02    3.858026e-04
  1.222974e-02    3.529858e-04
  1.252867e-02    3.241626e-04
  1.282760e-02    2.989443e-04
  1.312654e-02    2.758136e-04
  1.342547e-02    2.556254e-04
  1.372440e-02    2.371046e-04
  1.402333e-02    2.200409e-04
  1.432226e-02    2.043419e-04
  1.462119e-02    1.907748e-04
  1.492012e-02    1.786144e-04
  1.521905e-02    1.673170e-04
  1.551798e-02    1.570436e-04
  1.581691e-02    1.477281e-04
  1.611584e-02    1.390761e-04
  1.641477e-02    1.314255e-04
  1.671370e-02    1.242417e-04
  1.701263e-02    1.176016e-04
  1.731156e-02    1.118374e-04
  1.761049e-02    1.062158e-04
  1.790942e-02    1.009800e-04
  1.820835e-02    9.630805e-05
  1.850728e-02    9.171431e-05
  1.880621e-02    8.778473e-05
  1.910514e-02    8.402133e-05
  1.940407e-02    8.043661e-05
  1.970300e-02    7.745229e-05
  2.000193e-02    7.465879e-05
  2.030086e-02    7.193850e-05
  2.059979e-02    6.918636e-05
  2.089873e-02    6.672088e-05
  2.119766e-02    6.460175e-05
  2.149659e-02    6.250096e-05
  2.179552e-02    6.034192e-05
  2.209445e-02    5.854150e-05
  2.239338e-02    5.702730e-05
  2.269231e-02    5.543422e-05
  2.299124e-02    5.410317e-05
  2.329017e-02    5.238568e-05
  2.358910e-02    5.086973e-05
  2.388803e-02    4.975521e-05
  2.418696e-02    4.866247e-05
  2.448589e-02    4.777019e-05
  2.478482e-02    4.663906e-05
  2.508375e-02    4.553040e-05
  2.538268e-02    4.452610e-05
  2.568161e-02    4.375441e-05
  2.598054e-02    4.300166e-05
  2.627947e-02    4.216092e-05
  2.657840e-02    4.141930e-05
  2.687733e-02    4.069007e-05
  2.717626e-02    3.996212e-05
  2.747519e-02    3.934467e-05
  2.777412e-02    3.888576e-05
  2.807305e-02    3.842127e-05
  2.837198e-02    3.793385e-05
  2.867092e-02    3.729986e-05
  2.896985e-02    3.671561e-05
  2.926878e-02    3.635022e-05
  2.956771e-02    3.579929e-05
  2.986664e-02    3.523433e-05
  3.016557e-02    3.498883e-05
  3.046450e-02    3.472915e-05
  3.076343e-02    3.430750e-05
  3.106236e-02    3.395084e-05
  3.136129e-02    3.356249e-05
  3.166022e-02    3.313557e-05
  3.195915e-02    3.286493e-05
  3.225808e-02    3.249970e-05
  3.255701e-02    3.215101e-05
  3.285594e-02    3.189751e-05
  3.315487e-02    3.168769e-05
  3.345380e-02    3.137684e-05
  3.375273e-02    3.115891e-05
  3.405166e-02    3.089337e-05
  3.435059e-02    3.056873e-05
  3.464952e-02    3.030306e-05
  3.494845e-02    3.016600e-05
  3.524738e-02    2.988730e-05
  3.554631e-02    2.962465e-05
  3.584524e-02    2.940900e-05
  3.614417e-02    2.919319e-05
  3.644310e-02    2.907060e-05
