# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 19602143.600000005
# --> MT-F127_138.317_hexanes_3.772_EtOH_0.000_NaCl_100.286mgml_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.582874e-04
  4.756484e-03    2.014012e-04
  5.055415e-03    1.446917e-04
  5.354345e-03    1.030063e-04
  5.653276e-03    7.858029e-05
  5.952206e-03    1.237815e-04
  6.251136e-03    1.130253e-04
  6.550067e-03    9.862986e-05
  6.848997e-03    8.407525e-05
  7.147927e-03    7.142005e-05
  7.446858e-03    6.129767e-05
  7.745788e-03    5.263898e-05
  8.044719e-03    4.528973e-05
  8.343649e-03    3.976186e-05
  8.642579e-03    3.488691e-05
  8.941510e-03    3.065594e-05
  9.240440e-03    2.721348e-05
  9.539371e-03    2.429500e-05
  9.838301e-03    2.161294e-05
  1.013723e-02    1.923034e-05
  1.043616e-02    1.729686e-05
  1.073509e-02    1.566259e-05
  1.103402e-02    1.425417e-05
  1.133295e-02    1.280171e-05
  1.163188e-02    1.161070e-05
  1.193081e-02    1.065128e-05
  1.222974e-02    9.702731e-06
  1.252867e-02    8.897822e-06
  1.282760e-02    8.237092e-06
  1.312654e-02    7.577378e-06
  1.342547e-02    6.954514e-06
  1.372440e-02    6.416140e-06
  1.402333e-02    5.985489e-06
  1.432226e-02    5.556529e-06
  1.462119e-02    5.219112e-06
  1.492012e-02    4.859345e-06
  1.521905e-02    4.539932e-06
  1.551798e-02    4.252644e-06
  1.581691e-02    3.978812e-06
  1.611584e-02    3.745974e-06
  1.641477e-02    3.560578e-06
  1.671370e-02    3.341948e-06
  1.701263e-02    3.131844e-06
  1.731156e-02    2.945673e-06
  1.761049e-02    2.799837e-06
  1.790942e-02    2.638223e-06
  1.820835e-02    2.508346e-06
  1.850728e-02    2.414762e-06
  1.880621e-02    2.302654e-06
  1.910514e-02    2.210783e-06
  1.940407e-02    2.123699e-06
  1.970300e-02    2.028541e-06
  2.000193e-02    1.937950e-06
  2.030086e-02    1.889535e-06
  2.059979e-02    1.814927e-06
  2.089873e-02    1.733413e-06
  2.119766e-02    1.680414e-06
  2.149659e-02    1.631767e-06
  2.179552e-02    1.568055e-06
  2.209445e-02    1.525902e-06
  2.239338e-02    1.475943e-06
  2.269231e-02    1.442447e-06
  2.299124e-02    1.412301e-06
  2.329017e-02    1.367112e-06
  2.358910e-02    1.331676e-06
  2.388803e-02    1.306748e-06
  2.418696e-02    1.268474e-06
  2.448589e-02    1.233300e-06
  2.478482e-02    1.194651e-06
  2.508375e-02    1.178904e-06
  2.538268e-02    1.162254e-06
  2.568161e-02    1.133056e-06
  2.598054e-02    1.120492e-06
  2.627947e-02    1.114766e-06
  2.657840e-02    1.086916e-06
  2.687733e-02    1.069169e-06
  2.717626e-02    1.066450e-06
  2.747519e-02    1.040059e-06
  2.777412e-02    1.017412e-06
  2.807305e-02    9.981843e-07
  2.837198e-02    9.676370e-07
  2.867092e-02    9.643803e-07
  2.896985e-02    9.635506e-07
  2.926878e-02    9.553164e-07
  2.956771e-02    9.397502e-07
  2.986664e-02    9.277915e-07
  3.016557e-02    9.052322e-07
  3.046450e-02    8.917762e-07
  3.076343e-02    8.938197e-07
  3.106236e-02    8.884230e-07
  3.136129e-02    8.762552e-07
  3.166022e-02    8.635894e-07
  3.195915e-02    8.620019e-07
  3.225808e-02    8.644656e-07
  3.255701e-02    8.496422e-07
  3.285594e-02    8.397992e-07
  3.315487e-02    8.161240e-07
  3.345380e-02    8.202452e-07
  3.375273e-02    8.118042e-07
  3.405166e-02    7.893760e-07
  3.435059e-02    7.856856e-07
  3.464952e-02    7.899782e-07
  3.494845e-02    7.766573e-07
  3.524738e-02    7.617563e-07
  3.554631e-02    7.557912e-07
  3.584524e-02    7.488996e-07
  3.614417e-02    7.409910e-07
  3.644310e-02    7.385873e-07
  3.674204e-02    7.284927e-07
  3.704097e-02    7.165842e-07
  3.733990e-02    7.123361e-07
  3.763883e-02    7.104344e-07
  3.793776e-02    7.003195e-07
  3.823669e-02    6.999896e-07
  3.853562e-02    6.960587e-07
  3.883455e-02    6.719345e-07
  3.913348e-02    6.659656e-07
  3.943241e-02    6.682063e-07
  3.973134e-02    6.585727e-07
  4.003027e-02    6.554285e-07
  4.032920e-02    6.542268e-07
  4.062813e-02    6.622898e-07
  4.092706e-02    6.587379e-07
  4.122599e-02    6.499307e-07
  4.152492e-02    6.319262e-07
  4.182385e-02    6.305942e-07
  4.212278e-02    6.426474e-07
  4.242171e-02    6.494506e-07
  4.272064e-02    6.344951e-07
  4.301957e-02    6.250795e-07
  4.331850e-02    6.185296e-07
  4.361743e-02    6.219550e-07
  4.391636e-02    6.215389e-07
  4.421529e-02    6.219233e-07
  4.451423e-02    6.210255e-07
  4.481316e-02    6.132104e-07
  4.511209e-02    6.090250e-07
  4.541102e-02    6.095256e-07
  4.570995e-02    6.103114e-07
  4.600888e-02    6.144978e-07
  4.630781e-02    6.071515e-07
  4.660674e-02    6.129122e-07
  4.690567e-02    6.094510e-07
  4.720460e-02    5.996994e-07
  4.750353e-02    5.985850e-07
  4.780246e-02    5.900681e-07
  4.810139e-02    5.991860e-07
  4.840032e-02    6.038504e-07
  4.869925e-02    5.985135e-07
  4.899818e-02    5.924317e-07
  4.929711e-02    5.986709e-07
  4.959604e-02    6.096909e-07
  4.989497e-02    6.034719e-07
  5.019390e-02    5.987482e-07
  5.049283e-02    5.993080e-07
  5.079176e-02    5.939746e-07
  5.109069e-02    6.007679e-07
  5.138962e-02    6.127377e-07
  5.168855e-02    6.208796e-07
  5.198748e-02    6.312151e-07
  5.228642e-02    6.315865e-07
  5.258535e-02    6.027927e-07
  5.288428e-02    5.901006e-07
  5.318321e-02    5.874506e-07
  5.348214e-02    5.961338e-07
  5.378107e-02    5.951691e-07
  5.408000e-02    5.867536e-07
  5.437893e-02    5.890085e-07
  5.467786e-02    5.780561e-07
  5.497679e-02    5.787539e-07
  5.527572e-02    5.898909e-07
  5.557465e-02    5.875806e-07
  5.587358e-02    5.832493e-07
  5.617251e-02    5.831714e-07
  5.647144e-02    5.805220e-07
  5.677037e-02    5.826172e-07
  5.706930e-02    5.890896e-07
  5.736823e-02    5.844606e-07
  5.766716e-02    5.781627e-07
  5.796609e-02    5.808928e-07
  5.826502e-02    5.851567e-07
  5.856395e-02    5.851662e-07
  5.886288e-02    5.869749e-07
  5.916181e-02    5.891884e-07
  5.946074e-02    5.844265e-07
  5.975967e-02    5.838905e-07
  6.005861e-02    5.919591e-07
  6.035754e-02    5.939327e-07
  6.065647e-02    5.954256e-07
  6.095540e-02    6.019583e-07
  6.125433e-02    6.058080e-07
  6.155326e-02    6.086791e-07
  6.185219e-02    5.994185e-07
  6.215112e-02    5.949399e-07
  6.245005e-02    5.974092e-07
  6.274898e-02    6.019871e-07
  6.304791e-02    5.984285e-07
  6.334684e-02    5.931519e-07
  6.364577e-02    5.892958e-07
  6.394470e-02    5.871860e-07
  6.424363e-02    5.945462e-07
  6.454256e-02    5.879711e-07
  6.484149e-02    5.846404e-07
  6.514042e-02    5.946292e-07
  6.543935e-02    5.984585e-07
  6.573828e-02    6.016987e-07
  6.603721e-02    5.970070e-07
  6.633614e-02    6.019105e-07
  6.663507e-02    6.072932e-07
  6.693400e-02    6.097600e-07
  6.723293e-02    6.034693e-07
  6.753186e-02    6.027169e-07
  6.783080e-02    6.001595e-07
  6.812973e-02    5.984047e-07
  6.842866e-02    6.018294e-07
  6.872759e-02    6.030911e-07
  6.902652e-02    6.001118e-07
  6.932545e-02    6.024973e-07
  6.962438e-02    6.050303e-07
  6.992331e-02    6.053792e-07
  7.022224e-02    6.103654e-07
  7.052117e-02    6.097223e-07
  7.082010e-02    6.089991e-07
  7.111903e-02    6.081037e-07
  7.141796e-02    6.036807e-07
  7.171689e-02    6.031329e-07
  7.201582e-02    6.067540e-07
  7.231475e-02    6.170471e-07
  7.261368e-02    6.180653e-07
  7.291261e-02    6.160466e-07
  7.321154e-02    6.136091e-07
  7.351047e-02    6.046465e-07
  7.380940e-02    6.060982e-07
  7.410833e-02    6.158997e-07
  7.440726e-02    6.101189e-07
  7.470619e-02    6.099735e-07
  7.500512e-02    6.079473e-07
  7.530405e-02    6.090688e-07
  7.560299e-02    6.098715e-07
  7.590192e-02    6.116090e-07
  7.620085e-02    6.101101e-07
  7.649978e-02    6.045784e-07
  7.679871e-02    6.015534e-07
  7.709764e-02    6.043454e-07
  7.739657e-02    6.097670e-07
  7.769550e-02    6.073222e-07
  7.799443e-02    6.125968e-07
  7.829336e-02    6.086899e-07
  7.859229e-02    6.096058e-07
  7.889122e-02    6.045349e-07
  7.919015e-02    6.021151e-07
  7.948908e-02    6.050018e-07
  7.978801e-02    6.036691e-07
  8.008694e-02    6.029269e-07
  8.038587e-02    6.041984e-07
  8.068480e-02    6.022678e-07
  8.098373e-02    6.046291e-07
  8.128266e-02    6.039455e-07
  8.158159e-02    5.988085e-07
  8.188052e-02    5.993239e-07
  8.217945e-02    6.027581e-07
  8.247838e-02    6.025770e-07
  8.277731e-02    6.012071e-07
  8.307624e-02    5.922985e-07
  8.337518e-02    5.924697e-07
  8.367411e-02    5.932619e-07
  8.397304e-02    5.941818e-07
  8.427197e-02    5.872687e-07
  8.457090e-02    5.936606e-07
  8.486983e-02    5.889685e-07
  8.516876e-02    5.873299e-07
  8.546769e-02    5.907260e-07
  8.576662e-02    5.834549e-07
  8.606555e-02    5.837211e-07
  8.636448e-02    5.851566e-07
  8.666341e-02    5.792892e-07
  8.696234e-02    5.808584e-07
  8.726127e-02    5.819122e-07
  8.756020e-02    5.851230e-07
  8.785913e-02    5.800731e-07
  8.815806e-02    5.803395e-07
  8.845699e-02    5.767070e-07
  8.875592e-02    5.763559e-07
  8.905485e-02    5.745086e-07
  8.935378e-02    5.724081e-07
  8.965271e-02    5.747184e-07
  8.995164e-02    5.680140e-07
  9.025057e-02    5.673616e-07
  9.054950e-02    5.690897e-07
  9.084843e-02    5.680932e-07
  9.114737e-02    5.653009e-07
  9.144630e-02    5.621231e-07
  9.174523e-02    5.647689e-07
  9.204416e-02    5.641544e-07
  9.234309e-02    5.614413e-07
  9.264202e-02    5.592608e-07
  9.294095e-02    5.589294e-07
  9.323988e-02    5.574899e-07
  9.353881e-02    5.583572e-07
  9.383774e-02    5.535763e-07
  9.413667e-02    5.570133e-07
  9.443560e-02    5.603505e-07
  9.473453e-02    5.545826e-07
  9.503346e-02    5.532515e-07
  9.533239e-02    5.519016e-07
  9.563132e-02    5.462568e-07
  9.593025e-02    5.474516e-07
  9.622918e-02    5.574960e-07
  9.652811e-02    5.573265e-07
  9.682704e-02    5.563601e-07
  9.712597e-02    5.597328e-07
  9.742490e-02    5.606814e-07
  9.772383e-02    5.585881e-07
  9.802276e-02    5.591053e-07
  9.832169e-02    5.557913e-07
  9.862062e-02    5.450239e-07
  9.891956e-02    5.390549e-07
  9.921849e-02    5.359385e-07
  9.951742e-02    5.373478e-07
  9.981635e-02    5.355236e-07
  1.001153e-01    5.393233e-07
  1.004142e-01    5.364776e-07
  1.007131e-01    5.398254e-07
  1.010121e-01    5.378697e-07
  1.013110e-01    5.353684e-07
  1.016099e-01    5.407689e-07
  1.019089e-01    5.305046e-07
  1.022078e-01    5.265678e-07
  1.025067e-01    5.268648e-07
  1.028057e-01    5.287418e-07
  1.031046e-01    5.273444e-07
  1.034035e-01    5.237845e-07
  1.037024e-01    5.175583e-07
  1.040014e-01    5.217868e-07
  1.043003e-01    5.186127e-07
  1.045992e-01    5.213532e-07
  1.048982e-01    5.222641e-07
  1.051971e-01    5.237677e-07
  1.054960e-01    5.234449e-07
  1.057950e-01    5.224154e-07
  1.060939e-01    5.223554e-07
  1.063928e-01    5.238426e-07
  1.066917e-01    5.158573e-07
  1.069907e-01    5.146982e-07
  1.072896e-01    5.127856e-07
  1.075885e-01    5.088715e-07
  1.078875e-01    5.114297e-07
  1.081864e-01    5.121300e-07
  1.084853e-01    5.099030e-07
  1.087843e-01    5.144726e-07
  1.090832e-01    5.285895e-07
  1.093821e-01    5.154795e-07
  1.096810e-01    5.104885e-07
  1.099800e-01    5.105219e-07
  1.102789e-01    5.036311e-07
  1.105778e-01    5.012613e-07
  1.108768e-01    5.006693e-07
  1.111757e-01    5.030137e-07
  1.114746e-01    5.044806e-07
  1.117736e-01    4.971612e-07
  1.120725e-01    4.936886e-07
  1.123714e-01    4.975004e-07
  1.126704e-01    4.973280e-07
  1.129693e-01    4.856466e-07
  1.132682e-01    4.797735e-07
  1.135671e-01    4.889250e-07
  1.138661e-01    4.864737e-07
  1.141650e-01    4.845105e-07
  1.144639e-01    4.852116e-07
  1.147629e-01    4.929483e-07
  1.150618e-01    4.916264e-07
  1.153607e-01    4.768693e-07
  1.156597e-01    4.653748e-07
  1.159586e-01    4.709305e-07
  1.162575e-01    4.842445e-07
  1.165564e-01    4.832877e-07
  1.168554e-01    4.853644e-07
  1.171543e-01    4.891451e-07
  1.174532e-01    4.912261e-07
  1.177522e-01    4.834546e-07
  1.180511e-01    4.798746e-07
  1.183500e-01    4.834376e-07
  1.186490e-01    4.857986e-07
  1.189479e-01    4.767090e-07
  1.192468e-01    4.664847e-07
  1.195458e-01    4.795999e-07
  1.198447e-01    4.703285e-07
  1.201436e-01    4.688509e-07
  1.204425e-01    4.676787e-07
  1.207415e-01    4.697162e-07
  1.210404e-01    5.106104e-07
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
  1.285137e-01    0.000000e+00
  1.288126e-01    0.000000e+00
  1.291115e-01    0.000000e+00
  1.294105e-01    0.000000e+00
  1.297094e-01    0.000000e+00
  1.300083e-01    0.000000e+00
  1.303072e-01    0.000000e+00
  1.306062e-01    0.000000e+00
  1.309051e-01    0.000000e+00
  1.312040e-01    0.000000e+00
  1.315030e-01    0.000000e+00
  1.318019e-01    0.000000e+00
  1.321008e-01    0.000000e+00
  1.323998e-01    0.000000e+00
  1.326987e-01    0.000000e+00
  1.329976e-01    0.000000e+00
  1.332965e-01    0.000000e+00
  1.335955e-01    0.000000e+00
  1.338944e-01    0.000000e+00
  1.341933e-01    0.000000e+00
  1.344923e-01    0.000000e+00
  1.347912e-01    0.000000e+00
  1.350901e-01    0.000000e+00
  1.353891e-01    0.000000e+00
  1.356880e-01    0.000000e+00
  1.359869e-01    0.000000e+00
  1.362859e-01    0.000000e+00
  1.365848e-01    0.000000e+00
  1.368837e-01    0.000000e+00
  1.371826e-01    0.000000e+00
  1.374816e-01    0.000000e+00
  1.377805e-01    0.000000e+00
  1.380794e-01    0.000000e+00
  1.383784e-01    0.000000e+00
  1.386773e-01    0.000000e+00
  1.389762e-01    0.000000e+00
  1.392752e-01    0.000000e+00
  1.395741e-01    0.000000e+00
  1.398730e-01    0.000000e+00
  1.401719e-01    0.000000e+00
  1.404709e-01    0.000000e+00
  1.407698e-01    0.000000e+00
  1.410687e-01    0.000000e+00
  1.413677e-01    0.000000e+00
  1.416666e-01    0.000000e+00
  1.419655e-01    0.000000e+00
  1.422645e-01    0.000000e+00
  1.425634e-01    0.000000e+00
  1.428623e-01    0.000000e+00
  1.431613e-01    0.000000e+00
  1.434602e-01    0.000000e+00
  1.437591e-01    0.000000e+00
  1.440580e-01    0.000000e+00
  1.443570e-01    0.000000e+00
  1.446559e-01    0.000000e+00
  1.449548e-01    0.000000e+00
  1.452538e-01    0.000000e+00
  1.455527e-01    0.000000e+00
  1.458516e-01    0.000000e+00
  1.461506e-01    0.000000e+00
  1.464495e-01    0.000000e+00
  1.467484e-01    0.000000e+00
  1.470473e-01    0.000000e+00
  1.473463e-01    0.000000e+00
  1.476452e-01    0.000000e+00
  1.479441e-01    0.000000e+00
  1.482431e-01    0.000000e+00
  1.485420e-01    0.000000e+00
  1.488409e-01    0.000000e+00
  1.491399e-01    0.000000e+00
  1.494388e-01    0.000000e+00
  1.497377e-01    0.000000e+00
  1.500367e-01    0.000000e+00
  1.503356e-01    0.000000e+00
  1.506345e-01    0.000000e+00
  1.509334e-01    0.000000e+00
  1.512324e-01    0.000000e+00
  1.515313e-01    0.000000e+00
  1.518302e-01    0.000000e+00
  1.521292e-01    0.000000e+00
  1.524281e-01    0.000000e+00
  1.527270e-01    0.000000e+00
  1.530260e-01    0.000000e+00
  1.533249e-01    0.000000e+00
  1.536238e-01    0.000000e+00
