# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 14148931.600000001
# --> MT-F127_24.419_hexanes_21.977_NaCl_50.000mgml_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.975657e-03
  4.756484e-03    1.537392e-03
  5.055415e-03    1.088987e-03
  5.354345e-03    7.618103e-04
  5.653276e-03    5.851926e-04
  5.952206e-03    9.705165e-04
  6.251136e-03    8.842826e-04
  6.550067e-03    7.661759e-04
  6.848997e-03    6.503653e-04
  7.147927e-03    5.487711e-04
  7.446858e-03    4.672942e-04
  7.745788e-03    3.992714e-04
  8.044719e-03    3.432534e-04
  8.343649e-03    2.988091e-04
  8.642579e-03    2.609954e-04
  8.941510e-03    2.298632e-04
  9.240440e-03    2.033637e-04
  9.539371e-03    1.802646e-04
  9.838301e-03    1.604345e-04
  1.013723e-02    1.435459e-04
  1.043616e-02    1.288547e-04
  1.073509e-02    1.157870e-04
  1.103402e-02    1.048171e-04
  1.133295e-02    9.507305e-05
  1.163188e-02    8.660024e-05
  1.193081e-02    7.910871e-05
  1.222974e-02    7.254344e-05
  1.252867e-02    6.665479e-05
  1.282760e-02    6.129070e-05
  1.312654e-02    5.642093e-05
  1.342547e-02    5.236935e-05
  1.372440e-02    4.868414e-05
  1.402333e-02    4.509293e-05
  1.432226e-02    4.204885e-05
  1.462119e-02    3.901438e-05
  1.492012e-02    3.650916e-05
  1.521905e-02    3.416674e-05
  1.551798e-02    3.205103e-05
  1.581691e-02    3.010921e-05
  1.611584e-02    2.834757e-05
  1.641477e-02    2.683090e-05
  1.671370e-02    2.546546e-05
  1.701263e-02    2.414708e-05
  1.731156e-02    2.291670e-05
  1.761049e-02    2.173116e-05
  1.790942e-02    2.065687e-05
  1.820835e-02    1.971496e-05
  1.850728e-02    1.882969e-05
  1.880621e-02    1.799595e-05
  1.910514e-02    1.721502e-05
  1.940407e-02    1.651087e-05
  1.970300e-02    1.588738e-05
  2.000193e-02    1.530862e-05
  2.030086e-02    1.465191e-05
  2.059979e-02    1.410808e-05
  2.089873e-02    1.367912e-05
