# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 11171737.6
# --> MT-F127_59.151_hexanes_0.000_NaCl_0.000mgml_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.025213e-03
  4.756484e-03    2.382406e-03
  5.055415e-03    1.714637e-03
  5.354345e-03    1.223135e-03
  5.653276e-03    9.594082e-04
  5.952206e-03    1.623963e-03
  6.251136e-03    1.476339e-03
  6.550067e-03    1.276382e-03
  6.848997e-03    1.077979e-03
  7.147927e-03    9.074406e-04
  7.446858e-03    7.738732e-04
  7.745788e-03    6.632258e-04
  8.044719e-03    5.710734e-04
  8.343649e-03    4.984931e-04
  8.642579e-03    4.354879e-04
  8.941510e-03    3.826449e-04
  9.240440e-03    3.393219e-04
  9.539371e-03    3.008773e-04
  9.838301e-03    2.682099e-04
  1.013723e-02    2.403326e-04
  1.043616e-02    2.161018e-04
  1.073509e-02    1.942208e-04
  1.103402e-02    1.763329e-04
  1.133295e-02    1.600936e-04
  1.163188e-02    1.457498e-04
  1.193081e-02    1.335128e-04
  1.222974e-02    1.223892e-04
  1.252867e-02    1.124519e-04
  1.282760e-02    1.033635e-04
  1.312654e-02    9.535781e-05
  1.342547e-02    8.826987e-05
  1.372440e-02    8.212629e-05
  1.402333e-02    7.619648e-05
  1.432226e-02    7.089893e-05
  1.462119e-02    6.620784e-05
  1.492012e-02    6.210958e-05
  1.521905e-02    5.824806e-05
  1.551798e-02    5.452346e-05
  1.581691e-02    5.131097e-05
  1.611584e-02    4.827999e-05
  1.641477e-02    4.558132e-05
  1.671370e-02    4.309163e-05
  1.701263e-02    4.073788e-05
  1.731156e-02    3.882713e-05
  1.761049e-02    3.698283e-05
