# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6904189.200000002
# --> MT-F127_80.845_NaCl_0.000_limonene_0.000mgml_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.204082e-03
  4.756484e-03    1.744328e-03
  5.055415e-03    1.248082e-03
  5.354345e-03    8.797189e-04
  5.653276e-03    6.685475e-04
  5.952206e-03    1.034081e-03
  6.251136e-03    9.490729e-04
  6.550067e-03    8.268193e-04
  6.848997e-03    7.065810e-04
  7.147927e-03    5.974355e-04
  7.446858e-03    5.104099e-04
  7.745788e-03    4.385095e-04
  8.044719e-03    3.778573e-04
  8.343649e-03    3.296040e-04
  8.642579e-03    2.887775e-04
  8.941510e-03    2.547863e-04
  9.240440e-03    2.256214e-04
  9.539371e-03    2.001184e-04
  9.838301e-03    1.775730e-04
  1.013723e-02    1.588164e-04
  1.043616e-02    1.434222e-04
  1.073509e-02    1.283341e-04
  1.103402e-02    1.158668e-04
  1.133295e-02    1.053248e-04
  1.163188e-02    9.565733e-05
  1.193081e-02    8.744055e-05
  1.222974e-02    7.975836e-05
  1.252867e-02    7.304485e-05
  1.282760e-02    6.710683e-05
  1.312654e-02    6.183442e-05
  1.342547e-02    5.698938e-05
  1.372440e-02    5.286860e-05
  1.402333e-02    4.890890e-05
  1.432226e-02    4.546278e-05
  1.462119e-02    4.222721e-05
  1.492012e-02    3.930393e-05
  1.521905e-02    3.681965e-05
  1.551798e-02    3.460265e-05
  1.581691e-02    3.236647e-05
  1.611584e-02    3.045386e-05
  1.641477e-02    2.860939e-05
  1.671370e-02    2.692176e-05
  1.701263e-02    2.551692e-05
  1.731156e-02    2.418159e-05
  1.761049e-02    2.294054e-05
  1.790942e-02    2.190647e-05
  1.820835e-02    2.069245e-05
  1.850728e-02    1.972225e-05
  1.880621e-02    1.889250e-05
  1.910514e-02    1.816738e-05
