# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 11630.380000000001
# --> MT-latex_CL3252_TiO2_R706_phiT_0.090_PVC_1.000_DOP_0.010_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.466867e-02
  4.756484e-03    3.512558e-02
  5.055415e-03    2.516341e-02
  5.354345e-03    1.743615e-02
  5.653276e-03    1.313790e-02
  5.952206e-03    2.140151e-02
  6.251136e-03    1.974267e-02
  6.550067e-03    1.725968e-02
  6.848997e-03    1.457128e-02
  7.147927e-03    1.244050e-02
  7.446858e-03    1.053366e-02
  7.745788e-03    8.922351e-03
  8.044719e-03    7.681945e-03
  8.343649e-03    6.667465e-03
  8.642579e-03    5.793188e-03
  8.941510e-03    5.114008e-03
  9.240440e-03    4.516517e-03
  9.539371e-03    3.939460e-03
  9.838301e-03    3.527006e-03
  1.013723e-02    3.213999e-03
  1.043616e-02    2.886885e-03
  1.073509e-02    2.611669e-03
  1.103402e-02    2.330511e-03
  1.133295e-02    2.084710e-03
  1.163188e-02    1.922359e-03
  1.193081e-02    1.765417e-03
  1.222974e-02    1.611003e-03
  1.252867e-02    1.479427e-03
  1.282760e-02    1.348248e-03
  1.312654e-02    1.244914e-03
  1.342547e-02    1.158458e-03
  1.372440e-02    1.070644e-03
  1.402333e-02    9.744023e-04
  1.432226e-02    8.854239e-04
  1.462119e-02    8.420041e-04
  1.492012e-02    7.936271e-04
  1.521905e-02    7.237762e-04
  1.551798e-02    6.830872e-04
  1.581691e-02    6.468603e-04
  1.611584e-02    6.180216e-04
  1.641477e-02    5.739719e-04
  1.671370e-02    5.458794e-04
  1.701263e-02    5.198052e-04
  1.731156e-02    4.816002e-04
  1.761049e-02    4.493206e-04
  1.790942e-02    4.498305e-04
  1.820835e-02    4.219148e-04
  1.850728e-02    3.941248e-04
  1.880621e-02    3.748601e-04
  1.910514e-02    3.503638e-04
  1.940407e-02    3.318909e-04
  1.970300e-02    3.202883e-04
  2.000193e-02    3.115317e-04
  2.030086e-02    2.897554e-04
  2.059979e-02    2.780128e-04
  2.089873e-02    2.757976e-04
  2.119766e-02    2.694655e-04
  2.149659e-02    2.643201e-04
  2.179552e-02    2.619301e-04
  2.209445e-02    2.524666e-04
  2.239338e-02    2.427042e-04
  2.269231e-02    2.273770e-04
  2.299124e-02    2.267402e-04
  2.329017e-02    2.188414e-04
  2.358910e-02    2.180197e-04
  2.388803e-02    2.111653e-04
  2.418696e-02    1.997819e-04
  2.448589e-02    2.026491e-04
  2.478482e-02    1.960352e-04
  2.508375e-02    1.879238e-04
  2.538268e-02    1.876502e-04
  2.568161e-02    1.897169e-04
  2.598054e-02    1.850491e-04
