# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2146.4300000000003
# --> latex_CL3252_TiO2_R706_phiT_0.010_PVC_1.000_DOP_0.000_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    6.670776e+01
  4.756484e-03    5.872223e+01
  5.055415e-03    4.909856e+01
  5.354345e-03    4.028297e+01
  5.653276e-03    3.418380e+01
  5.952206e-03    6.766535e+01
  6.251136e-03    6.276722e+01
  6.550067e-03    5.471122e+01
  6.848997e-03    4.578263e+01
  7.147927e-03    3.762817e+01
  7.446858e-03    3.110883e+01
  7.745788e-03    2.577769e+01
  8.044719e-03    2.146142e+01
  8.343649e-03    1.812449e+01
  8.642579e-03    1.534605e+01
  8.941510e-03    1.309217e+01
  9.240440e-03    1.124672e+01
  9.539371e-03    9.678778e+00
  9.838301e-03    8.363008e+00
  1.013723e-02    7.286004e+00
  1.043616e-02    6.374275e+00
  1.073509e-02    5.554055e+00
  1.103402e-02    4.889983e+00
  1.133295e-02    4.321144e+00
  1.163188e-02    3.845784e+00
  1.193081e-02    3.439749e+00
  1.222974e-02    3.080396e+00
  1.252867e-02    2.764073e+00
  1.282760e-02    2.492476e+00
  1.312654e-02    2.252797e+00
  1.342547e-02    2.042331e+00
  1.372440e-02    1.853266e+00
  1.402333e-02    1.684160e+00
  1.432226e-02    1.531488e+00
  1.462119e-02    1.397732e+00
  1.492012e-02    1.282525e+00
  1.521905e-02    1.172987e+00
  1.551798e-02    1.077492e+00
  1.581691e-02    9.895893e-01
  1.611584e-02    9.110987e-01
  1.641477e-02    8.402998e-01
  1.671370e-02    7.759441e-01
  1.701263e-02    7.191436e-01
  1.731156e-02    6.662259e-01
  1.761049e-02    6.178837e-01
  1.790942e-02    5.742978e-01
  1.820835e-02    5.332328e-01
  1.850728e-02    4.966034e-01
  1.880621e-02    4.632797e-01
  1.910514e-02    4.312408e-01
  1.940407e-02    4.016266e-01
  1.970300e-02    3.761746e-01
  2.000193e-02    3.530063e-01
  2.030086e-02    3.300990e-01
  2.059979e-02    3.094518e-01
  2.089873e-02    2.906476e-01
  2.119766e-02    2.727033e-01
  2.149659e-02    2.561842e-01
  2.179552e-02    2.417818e-01
  2.209445e-02    2.281073e-01
  2.239338e-02    2.154443e-01
